"time","y_0","y_1","y_2"
1.67,-1.7675683084895408E+002,4.6251950499999936E+001,6.9055376699999954E+001
1.68,-1.9613906112030708E+002,4.6251950499999936E+001,6.9055376699999954E+001
1.69,-2.1538438988345851E+002,4.5368658399999944E+001,6.7707952399999954E+001
1.7,-2.3447948155647379E+002,4.5368658399999944E+001,6.7707952399999954E+001
1.71,-2.5341111893410442E+002,4.4472418999999938E+001,6.7707952399999954E+001
1.72,-2.7216623600215854E+002,4.4472418999999938E+001,6.7707952399999954E+001
1.73,-2.9073191821630809E+002,4.3564521799999945E+001,6.6299798799999962E+001
1.74,-3.0909542447474485E+002,4.3564521799999945E+001,6.6299798799999962E+001
1.75,-3.2724416925894656E+002,4.2646255199999935E+001,6.6299798799999962E+001
1.76,-3.4516576630778860E+002,4.2646255199999935E+001,6.6299798799999962E+001
1.77,-3.6284803484894957E+002,4.1718896799999939E+001,6.4841062799999946E+001
1.78,-3.8027898882252390E+002,4.1718896799999939E+001,6.4841062799999946E+001
1.79,-3.9744685430062231E+002,4.0783715999999934E+001,6.4841062799999946E+001
1.8,-4.1434012411603459E+002,4.0783715999999934E+001,6.4841062799999946E+001
1.81,-4.3094749101500202E+002,3.9841973099999940E+001,6.3341780099999951E+001
1.82,-4.4725789788757055E+002,3.9841973099999940E+001,6.3341780099999951E+001
1.83,-4.6326056273797644E+002,3.8894911099999931E+001,6.3341780099999951E+001
1.84,-4.7894498788970208E+002,3.8894911099999931E+001,6.3341780099999951E+001
1.85,-4.9430088812190201E+002,3.7943763999999938E+001,6.1811812999999944E+001
1.86,-5.0931835105848205E+002,3.7943763999999938E+001,6.1811812999999944E+001
1.87,-5.2398767045804584E+002,3.6989742999999933E+001,6.1811812999999944E+001
1.88,-5.3829952431849790E+002,3.6989742999999933E+001,6.1811812999999944E+001
1.89,-5.5224481155084209E+002,3.6034045999999925E+001,6.0260788999999939E+001
1.9,-5.6581481211066603E+002,3.6034045999999925E+001,6.0260788999999939E+001
1.91,-5.7900117971863403E+002,3.5077845999999923E+001,6.0260788999999939E+001
1.92,-5.9179574682277394E+002,3.5077845999999923E+001,6.0260788999999939E+001
1.93,-6.0419086908315182E+002,3.4122298999999920E+001,5.8698045999999934E+001
1.94,-6.1617905569283880E+002,3.4122298999999920E+001,5.8698045999999934E+001
1.95,-6.2775338209647066E+002,3.3168531999999921E+001,5.8698045999999934E+001
1.96,-6.3890705012947967E+002,3.3168531999999921E+001,5.8698045999999934E+001
1.97,-6.4963384548537761E+002,3.2217649999999928E+001,5.7132570999999942E+001
1.98,-6.5992773539994153E+002,3.2217649999999928E+001,5.7132570999999942E+001
1.99,-6.6978324330496753E+002,3.1270730999999934E+001,5.7132570999999942E+001
2,-6.7919512982744538E+002,3.1270730999999934E+001,5.7132570999999942E+001
2.01,-6.8815856069955123E+002,3.0328820999999948E+001,5.5572950999999961E+001
2.02,-6.9666915687846495E+002,3.0328820999999948E+001,5.5572950999999961E+001
2.03,-7.0472285883588063E+002,2.9392941999999955E+001,5.5572950999999961E+001
2.04,-7.1231604750920565E+002,2.9392941999999955E+001,5.5572950999999961E+001
2.05,-7.1944548888971519E+002,2.8464077999999972E+001,5.4027318999999977E+001
2.06,-7.2610829858995635E+002,2.8464077999999972E+001,5.4027318999999977E+001
2.07,-7.3230210262834396E+002,2.7543185000000001E+001,5.4027318999999977E+001
2.08,-7.3802484169816398E+002,2.7543185000000001E+001,5.4027318999999977E+001
2.09,-7.4327488053673164E+002,2.6631181000000019E+001,5.2503308000000018E+001
2.1,-7.4805099066280195E+002,2.6631181000000019E+001,5.2503308000000018E+001
2.11,-7.5235234534901963E+002,2.5728953000000040E+001,5.2503308000000018E+001
2.12,-7.5617861459681069E+002,2.5728953000000040E+001,5.2503308000000018E+001
2.13,-7.5952967980422341E+002,2.4837348000000055E+001,5.1008012000000051E+001
2.14,-7.6240602675633568E+002,2.4837348000000055E+001,5.1008012000000051E+001
2.15,-7.6480845319808952E+002,2.3957177000000087E+001,5.1008012000000051E+001
2.16,-7.6673818415585981E+002,2.3957177000000087E+001,5.1008012000000051E+001
2.17,-7.6819677898059876E+002,2.3089210000000097E+001,4.9547944000000079E+001
2.18,-7.6918635672799985E+002,2.3089210000000097E+001,4.9547944000000079E+001
2.19,-7.6970924997534883E+002,2.2234180000000112E+001,4.9547944000000079E+001
2.2,-7.6976835800895003E+002,2.2234180000000112E+001,4.9547944000000079E+001
2.21,-7.6936683165761997E+002,2.1392779000000122E+001,4.8129000000000104E+001
2.22,-7.6850833907148012E+002,2.1392779000000122E+001,4.8129000000000104E+001
2.23,-7.6719686748960657E+002,2.0565655000000145E+001,4.8129000000000104E+001
2.24,-7.6543669995809250E+002,2.0565655000000145E+001,4.8129000000000104E+001
2.25,-7.6323272375448073E+002,1.9753416000000158E+001,4.6756429000000125E+001
2.26,-7.6058997300332135E+002,1.9753416000000158E+001,4.6756429000000125E+001
2.27,-7.5751401636116600E+002,1.8956628000000151E+001,4.6756429000000125E+001
2.28,-7.5401071571188947E+002,1.8956628000000151E+001,4.6756429000000125E+001
2.29,-7.5008622128787681E+002,1.8175810000000169E+001,4.5434815000000143E+001
2.3,-7.4574719841012518E+002,1.8175810000000169E+001,4.5434815000000143E+001
2.31,-7.4100056576702218E+002,1.7411441000000188E+001,4.5434815000000143E+001
2.32,-7.3585353333159469E+002,1.7411441000000188E+001,4.5434815000000143E+001
2.33,-7.3031376247021501E+002,1.6663951000000196E+001,4.4168044000000165E+001
2.34,-7.2438915263064337E+002,1.6663951000000196E+001,4.4168044000000165E+001
2.35,-7.1808796521240367E+002,1.5933730000000207E+001,4.4168044000000165E+001
2.36,-7.1141875441962395E+002,1.5933730000000207E+001,4.4168044000000165E+001
2.37,-7.0439036730850239E+002,1.5221117000000216E+001,4.2959297000000177E+001
2.38,-6.9701197258940397E+002,1.5221117000000216E+001,4.2959297000000177E+001
2.39,-6.8929298703266909E+002,1.4526413000000222E+001,4.2959297000000177E+001
2.4,-6.8124318534311067E+002,1.4526413000000222E+001,4.2959297000000177E+001
2.41,-6.7287250851943395E+002,1.3849867000000241E+001,4.1811040000000204E+001
2.42,-6.6419123238180657E+002,1.3849867000000241E+001,4.1811040000000204E+001
2.43,-6.5520984911750691E+002,1.3191685000000248E+001,4.1811040000000204E+001
2.44,-6.4593910499519745E+002,1.3191685000000248E+001,4.1811040000000204E+001
2.45,-6.3638997072525740E+002,1.2552027000000248E+001,4.0725008000000201E+001
2.46,-6.2657358770322833E+002,1.2552027000000248E+001,4.0725008000000201E+001
2.47,-6.1650143697072144E+002,1.1931008000000254E+001,4.0725008000000201E+001
2.48,-6.0618506757887917E+002,1.1931008000000254E+001,4.0725008000000201E+001
2.49,-5.9563627513199128E+002,1.1328699000000267E+001,3.9702219000000227E+001
2.5,-5.8486701921434201E+002,1.1328699000000267E+001,3.9702219000000227E+001
2.51,-5.7388944799540525E+002,1.0745122000000272E+001,3.9702219000000227E+001
2.52,-5.6271588596438835E+002,1.0745122000000272E+001,3.9702219000000227E+001
2.53,-5.5135868611484307E+002,1.0180256000000270E+001,3.8742966000000223E+001
2.54,-5.3983044496889920E+002,1.0180256000000270E+001,3.8742966000000223E+001
2.55,-5.2814391126687588E+002,9.6340400000002759E+000,3.8742966000000223E+001
2.56,-5.1631178592669607E+002,9.6340400000002759E+000,3.8742966000000223E+001
2.57,-5.0434699601076068E+002,9.1063630000002789E+000,3.7846839000000230E+001
2.58,-4.9226256738760372E+002,9.1063630000002789E+000,3.7846839000000230E+001
2.59,-4.8007150540439841E+002,8.5970720000002814E+000,3.7846839000000230E+001
2.6,-4.6778697479903161E+002,8.5970720000002814E+000,3.7846839000000230E+001
2.61,-4.5542209124243118E+002,8.1059760000002790E+000,3.7012722000000231E+001
2.62,-4.4299008693560927E+002,8.1059760000002790E+000,3.7012722000000231E+001
2.63,-4.3050418557818693E+002,7.6328360000002782E+000,3.7012722000000231E+001
2.64,-4.1797766773529492E+002,7.6328360000002782E+000,3.7012722000000231E+001
2.65,-4.0542374310692054E+002,7.1773760000002795E+000,3.6238829000000230E+001
2.66,-3.9285565384793841E+002,7.1773760000002795E+000,3.6238829000000230E+001
2.67,-3.8028662493547114E+002,6.7392780000002794E+000,3.6238829000000230E+001
2.68,-3.6772983428381502E+002,6.7392780000002794E+000,3.6238829000000230E+001
2.69,-3.5519843412768847E+002,6.3181860000002779E+000,3.5522722000000229E+001
2.7,-3.4270548490130250E+002,6.3181860000002779E+000,3.5522722000000229E+001
2.71,-3.3026399927827697E+002,5.9137040000002781E+000,3.5522722000000229E+001
