"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
1.141,2.8172669922317666E+000,4.8172669922317670E+000,1.3172669922317666E+000,1.5446769433970016E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.7031171662602906E+000
1.161,2.8336062175435339E+000,4.8336062175435339E+000,1.3336062175435337E+000,1.5585652849120035E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.9270146964068600E+000
1.181,2.8492120248160404E+000,4.8492120248160404E+000,1.3492120248160406E+000,1.5718302210936346E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.1433071799159857E+000
1.201,2.8640781719344526E+000,4.8640781719344526E+000,1.3640781719344526E+000,1.5844664461442848E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.3511410091698921E+000
1.221,2.8781987126381354E+000,4.8781987126381354E+000,1.3781987126381352E+000,1.5964689057424151E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.5496959589947585E+000
1.241,2.8915679988990779E+000,4.8915679988990775E+000,1.3915679988990779E+000,1.6078327990642163E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.7381884237147549E+000
1.261,2.9041806831810315E+000,4.9041806831810320E+000,1.4041806831810315E+000,1.6185535807038769E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.9158745096856453E+000
1.281,2.9160317205784496E+000,4.9160317205784496E+000,1.4160317205784498E+000,1.6286269624916825E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.0820529711031575E+000
1.301,2.9271163708343861E+000,4.9271163708343861E+000,1.4271163708343859E+000,1.6380489152092279E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.2360679774997894E+000
1.321,2.9374302002365305E+000,4.9374302002365305E+000,1.4374302002365305E+000,1.6468156702010508E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.3773117020080612E+000
