"time","heatCapacitor_T","switch_Controll"
5.9,3.1407727731507856E+002,0
5.92,3.1422007256894369E+002,0
5.94,3.1436248715977013E+002,0
5.96,3.1450452220033549E+002,0
5.98,3.1464617879951714E+002,0
6,3.1478745806231143E+002,0
6.02,3.1492836108985085E+002,0
6.04,3.1506888897942298E+002,0
6.06,3.1520904282448726E+002,0
6.08,3.1534882371469388E+002,0
6.1,3.1548823273590045E+002,0
6.12,3.1562727097019041E+002,0
6.14,3.1576593949588982E+002,0
6.16,3.1590423938758499E+002,0
6.18,3.1604217171613925E+002,0
6.2,3.1617973754871088E+002,0
6.22,3.1631693794876929E+002,0
6.24,3.1645377397611207E+002,0
6.26,3.1659024668688232E+002,0
6.28,3.1672635713358426E+002,0
6.3,3.1686210636510100E+002,0
6.32,3.1699749542670980E+002,0
6.34,3.1713252536009941E+002,0
6.36,3.1726719720338571E+002,0
6.38,3.1740151199112819E+002,1
6.4,3.1735305501957112E+002,1
6.42,3.1730469486994389E+002,1
6.44,3.1725643134878624E+002,1
6.46,3.1720826426302500E+002,1
6.48,3.1716019341997219E+002,1
6.5,3.1711221862732532E+002,1
6.52,3.1706433969316589E+002,1
6.54,3.1701655642595915E+002,1
6.56,3.1696886863455262E+002,1
6.58,3.1692127612817598E+002,1
6.6,3.1687377871644014E+002,1
6.62,3.1682637620933650E+002,1
6.64,3.1677906841723598E+002,1
6.66,3.1673185515088841E+002,1
6.68,3.1668473622142170E+002,1
6.7,3.1676578481929067E+002,0
6.72,3.1690142943234474E+002,0
6.74,3.1703671417812797E+002,0
6.76,3.1717164009729072E+002,0
6.78,3.1730620822691509E+002,0
6.8,3.1744041960053158E+002,0
6.82,3.1757427524813494E+002,0
6.84,3.1770777619619940E+002,0
6.86,3.1784092346769575E+002,0
6.88,3.1797371808210596E+002,0
6.9,3.1810616105543943E+002,0
6.92,3.1823825340024780E+002,0
6.94,3.1836999612564165E+002,0
6.96,3.1850139023730418E+002,0
6.98,3.1863243673750793E+002,0
7,3.1876313662512882E+002,0
7.02,3.1889349089566235E+002,0
7.04,3.1902350054123730E+002,0
7.06,3.1915316655063145E+002,0
7.08,3.1928248990928586E+002,0
7.1,3.1941147159932001E+002,0
7.12,3.1954011259954603E+002,0
7.14,3.1966841388548346E+002,0
7.16,3.1979637642937359E+002,0
7.18,3.1992400120019357E+002,0
7.2,3.2005128916367096E+002,0
7.22,3.2017824128229773E+002,0
7.24,3.2030485851534462E+002,0
7.26,3.2043114181887461E+002,0
7.28,3.2055709214575722E+002,0
7.3,3.2068271044568223E+002,0
7.32,3.2080799766517356E+002,0
7.34,3.2093295474760254E+002,0
7.36,3.2105758263320229E+002,0
7.38,3.2118188225907994E+002,0
7.4,3.2130585455923165E+002,0
7.42,3.2142950046455428E+002,0
7.44,3.2155282090285993E+002,0
7.46,3.2167581679888866E+002,0
7.48,3.2179848907432159E+002,0
7.5,3.2192083864779380E+002,0
7.52,3.2204286643490781E+002,0
7.54,3.2216457334824560E+002,0
7.56,3.2228596029738242E+002,0
7.58,3.2238011752051699E+002,1
7.6,3.2232171279161759E+002,1
7.62,3.2226342476127297E+002,1
7.64,3.2220525319630781E+002,1
7.66,3.2214719786401241E+002,1
7.68,3.2208925853214220E+002,1
7.7,3.2203143496891647E+002,1
7.72,3.2197372694301805E+002,1
7.74,3.2191613422359137E+002,1
7.76,3.2185865658024244E+002,1
7.78,3.2180129378303775E+002,1
7.8,3.2174404560250321E+002,1
7.82,3.2168691180962287E+002,1
7.84,3.2162989217583885E+002,1
7.86,3.2157298647304953E+002,1
7.88,3.2168695466131174E+002,0
7.9,3.2180959763469252E+002,0
7.92,3.2193191798926910E+002,0
7.94,3.2205391664036915E+002,0
7.96,3.2217559450030166E+002,0
7.98,3.2229695247836958E+002,0
8,3.2241799148088251E+002,0
8.02,3.2253871241116940E+002,0
8.04,3.2265911616959085E+002,0
8.06,3.2277920365355226E+002,0
8.08,3.2289897575751553E+002,0
8.1,3.2301843337301165E+002,0
8.12,3.2313757738865337E+002,0
8.14,3.2325640869014688E+002,0
8.16,3.2337492816030448E+002,0
8.18,3.2349313667905642E+002,0
8.2,3.2361103512346261E+002,0
8.22,3.2372862436772505E+002,0
8.24,3.2384590528319944E+002,0
8.26,3.2396287873840720E+002,0
8.28,3.2407954559904681E+002,0
8.3,3.2413351791623637E+002,1
8.32,3.2407160971602184E+002,1
8.34,3.2400982521465221E+002,1
8.36,3.2394816416496485E+002,1
8.38,3.2388662632029053E+002,1
8.4,3.2382521143445319E+002,1
8.42,3.2376391926176888E+002,1
8.44,3.2370274955704417E+002,1
8.46,3.2364170207557572E+002,1
8.48,3.2358077657314914E+002,1
8.5,3.2351997280603780E+002,1
8.52,3.2345929053100235E+002,1
8.54,3.2339872950528928E+002,1
8.56,3.2333828948663023E+002,1
8.58,3.2327797023324092E+002,1
8.6,3.2321777150381996E+002,1
8.62,3.2315769305754856E+002,1
8.64,3.2309773465408847E+002,1
8.66,3.2303789605358224E+002,1
8.68,3.2297817701665144E+002,1
8.7,3.2291857730439591E+002,1
8.72,3.2285909667839286E+002,1
8.74,3.2279973490069602E+002,1
8.76,3.2274049173383429E+002,1
8.78,3.2268136694081136E+002,1
8.8,3.2262236028510426E+002,1
8.82,3.2256347153066275E+002,1
8.84,3.2250470044190814E+002,1
8.86,3.2244604678373236E+002,1
8.88,3.2238751032149742E+002,1
8.9,3.2232909082103379E+002,1
8.92,3.2227078804864027E+002,1
8.94,3.2221260177108235E+002,1
8.96,3.2215453175559128E+002,1
8.98,3.2225803125209393E+002,0
9,3.2237917254748982E+002,0
9.02,3.2249999548101420E+002,0
9.04,3.2262050095397922E+002,0
9.06,3.2274068986473748E+002,0
9.08,3.2286056310869424E+002,0
9.1,3.2298012157832034E+002,0
9.12,3.2309936616316367E+002,0
9.14,3.2321829774986230E+002,0
9.16,3.2333691722215610E+002,0
9.18,3.2345522546089904E+002,0
9.2,3.2357322334407115E+002,0
9.22,3.2369091174679062E+002,0
9.24,3.2380829154132545E+002,0
9.26,3.2392536359710556E+002,0
9.28,3.2404212878073434E+002,0
9.3,3.2414967197452012E+002,1
9.32,3.2408773149686351E+002,1
9.34,3.2402591478254550E+002,1
9.36,3.2396422158427413E+002,1
9.38,3.2390265165525216E+002,1
9.4,3.2384120474917501E+002,1
9.42,3.2377988062023036E+002,1
9.44,3.2371867902309731E+002,1
9.46,3.2365759971294472E+002,1
9.48,3.2359664244543075E+002,1
9.5,3.2353580697670213E+002,1
9.52,3.2347509306339225E+002,1
9.54,3.2341450046262133E+002,1
9.56,3.2335402893199455E+002,1
9.58,3.2329367822960160E+002,1
9.6,3.2323344811401540E+002,1
9.62,3.2317333834429144E+002,1
9.64,3.2311334867996652E+002,1
9.66,3.2305347888105752E+002,1
9.68,3.2299372870806138E+002,1
9.7,3.2293409792195376E+002,1
9.72,3.2287458628418722E+002,1
9.74,3.2281519355669138E+002,1
9.76,3.2275591950187157E+002,1
9.78,3.2269676388260797E+002,1
9.8,3.2263772646225408E+002,1
9.821,3.2257586412404771E+002,1
9.841,3.2251706827363824E+002,1
9.861,3.2245838990328394E+002,1
9.881,3.2239982877824787E+002,1
9.901,3.2234138466426202E+002,1
9.921,3.2228305732752636E+002,1
9.941,3.2222484653470838E+002,1
9.961,3.2216675205294126E+002,1
9.981,3.2223437879230414E+002,0
10,3.2234952965412117E+002,0
