"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
0.72,-5.1926651091875895E-012,1.4695486454880802E+001,1.4695496153235656E+001,8.6000000002565756E+001,8.6000000003254925E+001,-4.1586362694157427E-015,1.7674224150121075E-013
0.73,-5.1634303074366971E-012,1.4695486454896084E+001,1.4695496153255908E+001,8.6000000002566438E+001,8.6000000003256361E+001,-4.1586362694200618E-015,1.7882155459219033E-013
0.74,-5.1348162210284837E-012,1.4695486454911368E+001,1.4695496153276158E+001,8.6000000002567077E+001,8.6000000003257668E+001,-4.1586362694243823E-015,1.7882156742484107E-013
0.75,-5.1067416482341078E-012,1.4695486454926652E+001,1.4695496153296407E+001,8.6000000002567688E+001,8.6000000003258904E+001,-4.1586362694287037E-015,1.7674222866950551E-013
0.76,-5.0792614009432899E-012,1.4695486454941936E+001,1.4695496153316657E+001,8.6000000002568243E+001,8.6000000003260041E+001,-4.1586491018368816E-015,1.7882156742531873E-013
0.77,-5.0522806047358096E-012,1.4695486454957218E+001,1.4695496153336908E+001,8.6000000002568797E+001,8.6000000003261107E+001,-4.1586362694373433E-015,1.7674222866997797E-013
0.78,-5.0258027235497502E-012,1.4695486454972501E+001,1.4695496153357157E+001,8.6000000002569308E+001,8.6000000003262116E+001,-4.1586362694416671E-015,1.7882155459338483E-013
0.79,-4.9998239006714992E-012,1.4695486454987783E+001,1.4695496153377407E+001,8.6000000002569777E+001,8.6000000003263068E+001,-4.1586362694459861E-015,1.7882155459362432E-013
0.8,-4.9742464129822763E-012,1.4695486455003067E+001,1.4695496153397661E+001,8.6000000002570204E+001,8.6000000003263963E+001,-4.1586362694503090E-015,1.7674224150310045E-013
0.81,-4.9491396733623018E-012,1.4695486455018351E+001,1.4695496153417917E+001,8.6000000002570602E+001,8.6000000003264816E+001,-4.1586362694546304E-015,1.7882155459410392E-013
0.82,-4.9245126937048695E-012,1.4695486455033633E+001,1.4695496153438175E+001,8.6000000002570985E+001,8.6000000003265654E+001,-4.1586362694589534E-015,1.7674224150357488E-013
0.83,-4.9003670185354122E-012,1.4695486455048917E+001,1.4695496153458436E+001,8.6000000002571340E+001,8.6000000003266464E+001,-4.1586362694632756E-015,1.7674224150381237E-013
0.84,-4.8766578299870185E-012,1.4695486455064200E+001,1.4695496153478702E+001,8.6000000002571682E+001,8.6000000003267260E+001,-4.1586491018714565E-015,1.7674224150405017E-013
0.85,-4.8533698789936206E-012,1.4695486455079484E+001,1.4695496153498972E+001,8.6000000002572023E+001,8.6000000003268028E+001,-4.1586362694719215E-015,1.7674222867187575E-013
0.86,-4.8305713102239908E-012,1.4695486455094768E+001,1.4695496153519244E+001,8.6000000002572335E+001,8.6000000003268781E+001,-4.1586491018801017E-015,1.7674222867211375E-013
