"time","powerUpPB","startCyclePB","emergencyStop","batchCycle","pieceCycle","autoSwitch","manualSwitch","F3SpinM1_acknowledgePB","liveWKM1","autoModeWKM1","manualModeWKM1","RUN1_emptyProd","RUN1_unitProd","RUN1_batchProd","RUN1_rotation","RUN1_faultyState","RUN1_cycleEnd","RUN1_movementFault","RUN1_slowAscent","RUN1_fastAscent","RUN1_slowDescent","RUN1_fastDescent","RUN1_releasing","RUN1_clamping","F1TurM1_autoFwdCmd","F1TurM1_autoBwdCmd","F1TurM1_autoHSCmd","F1TurM1_autoLSCmd","speedVal","speedPercent","F1TurM1_generalFault","F1TurM1_forwardFB","F1TurM1_backwardFB","F1TurM1_highSpeedFB","F1TurM1_lowSpeedFB","F1TurM1_thermalFB","F1TurM1_forwardCmd","F1TurM1_backwardCmd","F1TurM1_highSpeedCmd","F1TurM1_lowSpeedCmd","axlePosition","F3SpinM1_forwardFB","F3SpinM1_thermalFB","speedVal2","speedPercent2","F3SpinM1_forwardCmd","F3SpinM1_autoCmd","piece","RUN1_loadingRequest","RUN1_unloadingRequest"
6.37,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2.0000000000000000E+002,1.0000000000000000E+002,0,1,0,1,0,1,1,0,1,0,6.0000000000000000E+001,1,1,3.0000000000000000E+003,6.0000003814697266E+001,1,1,1,0,0
6.39,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2.0000000000000000E+002,1.0000000000000000E+002,0,1,0,1,0,1,1,0,1,0,6.0000000000000000E+001,1,1,3.0000000000000000E+003,6.0000003814697266E+001,1,1,1,0,0
6.41,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2.0000000000000000E+002,1.0000000000000000E+002,0,1,0,1,0,1,1,0,1,0,7.0000000000000000E+001,1,1,3.5000000000000000E+003,7.0000000000000000E+001,1,1,1,0,0
6.44,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2.0000000000000000E+002,1.0000000000000000E+002,0,1,0,1,0,1,1,0,1,0,7.0000000000000000E+001,1,1,3.5000000000000000E+003,7.0000000000000000E+001,1,1,1,0,0
6.46,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2.0000000000000000E+002,1.0000000000000000E+002,0,1,0,1,0,1,1,0,0,1,8.0000000000000000E+001,1,1,4.0000000000000000E+003,8.0000000000000000E+001,1,1,1,0,0
6.49,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2.0000000000000000E+002,1.0000000000000000E+002,0,1,0,1,0,1,1,0,0,1,8.0000000000000000E+001,1,1,4.0000000000000000E+003,8.0000000000000000E+001,1,1,1,0,0
6.51,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0,0,1,1,0,0,1,8.0000000000000000E+001,1,1,4.5000000000000000E+003,9.0000000000000000E+001,1,1,1,0,0
6.53,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0,0,1,1,0,0,1,8.0000000000000000E+001,1,1,4.5000000000000000E+003,9.0000000000000000E+001,1,1,1,0,0
6.56,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0000000000000000E+002,5.0000000000000000E+001,0,1,0,0,1,1,1,0,0,1,8.5000000000000000E+001,1,1,5.0000000000000000E+003,1.0000000000000000E+002,1,1,1,0,0
6.58,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0000000000000000E+002,5.0000000000000000E+001,0,1,0,0,1,1,1,0,0,1,8.5000000000000000E+001,1,1,5.0000000000000000E+003,1.0000000000000000E+002,1,1,1,0,0
6.61,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0000000000000000E+002,5.0000000000000000E+001,0,1,0,0,1,1,1,0,0,1,9.0000000000000000E+001,1,1,5.0000000000000000E+003,1.0000000000000000E+002,1,1,1,0,0
6.63,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0000000000000000E+002,5.0000000000000000E+001,0,1,0,0,1,1,1,0,0,1,9.0000000000000000E+001,1,1,5.0000000000000000E+003,1.0000000000000000E+002,1,1,1,0,0
6.65,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0000000000000000E+002,5.0000000000000000E+001,0,1,0,0,1,1,1,0,0,1,9.0000000000000000E+001,1,1,5.0000000000000000E+003,1.0000000000000000E+002,1,1,1,0,0
6.68,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0000000000000000E+002,5.0000000000000000E+001,0,1,0,0,1,1,1,0,0,1,9.5000000000000000E+001,1,1,5.0000000000000000E+003,1.0000000000000000E+002,1,1,1,0,0
6.7,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0000000000000000E+002,5.0000000000000000E+001,0,1,0,0,1,1,1,0,0,1,9.5000000000000000E+001,1,1,5.0000000000000000E+003,1.0000000000000000E+002,1,1,1,0,0
6.73,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0000000000000000E+002,5.0000000000000000E+001,0,1,0,0,1,1,1,0,0,1,1.0000000000000000E+002,1,1,5.0000000000000000E+003,1.0000000000000000E+002,1,1,1,0,0
