"time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
36,7.1905391771696858E-001,1.0000000000000000E+000,9.9999946016590746E-001,3.9285853083105081E+001,4.5000000000000001E-001,4.5011728079286334E-001,4.5164713196586902E+001,3.0000000000000000E+001,2.9999999432449322E+001,2.5001821877247771E+001,3.0000000000000000E+000,3.0000076441934507E+000,1.0000000000000000E+003,4.0000000000000000E+001
37,7.1904822911105459E-001,1.0000000000000000E+000,9.9999944785275430E-001,3.9289524220338876E+001,4.5000000000000001E-001,4.5010703479708430E-001,4.5164628990179878E+001,3.0000000000000000E+001,2.9999999271426201E+001,2.5001707294678599E+001,3.0000000000000000E+000,2.9999951819899926E+000,1.0000000000000000E+003,4.0000000000000000E+001
38,7.1904460466432663E-001,1.0000000000000000E+000,9.9999957687124075E-001,3.9291348921292460E+001,4.5000000000000001E-001,4.5009308061347747E-001,4.5164597230772820E+001,3.0000000000000000E+001,2.9999999553590651E+001,2.5001584985163362E+001,3.0000000000000000E+000,2.9999904943023705E+000,1.0000000000000000E+003,4.0000000000000000E+001
39,7.1904271864384794E-001,1.0000000000000000E+000,9.9999973247875606E-001,3.9291834390025869E+001,4.5000000000000001E-001,4.5007762274743024E-001,4.5164609080780359E+001,3.0000000000000000E+001,2.9999999928359184E+001,2.5001504610952374E+001,3.0000000000000000E+000,2.9999916128201400E+000,1.0000000000000000E+003,4.0000000000000000E+001
40,7.1904178314735334E-001,1.0000000000000000E+000,9.9999984637406969E-001,3.9291405692559046E+001,4.5000000000000001E-001,4.5006221708479760E-001,4.5164641553750087E+001,3.0000000000000000E+001,3.0000000186704845E+001,2.5001473634666645E+001,3.0000000000000000E+000,2.9999951648304704E+000,1.0000000000000000E+003,4.0000000000000000E+001
41,7.1904110015305889E-001,1.0000000000000000E+000,9.9999990134352845E-001,3.9290405062746679E+001,4.5000000000000001E-001,4.5004788671418455E-001,4.5164674466217676E+001,3.0000000000000000E+001,3.0000000276168031E+001,2.5001475766305099E+001,3.0000000000000000E+000,2.9999984895221048E+000,1.0000000000000000E+003,4.0000000000000000E+001
42,7.1904029501111599E-001,1.0000000000000000E+000,9.9999991236647656E-001,3.9289096871985784E+001,4.5000000000000001E-001,4.5003523378630939E-001,4.5164697288458036E+001,3.0000000000000000E+001,3.0000000241241157E+001,2.5001489805280624E+001,3.0000000000000000E+000,3.0000003758164993E+000,1.0000000000000000E+003,4.0000000000000000E+001
43,7.1903929765506969E-001,1.0000000000000000E+000,9.9999990405246286E-001,3.9287676121349598E+001,4.5000000000000001E-001,4.5002454166842004E-001,4.5164708704768891E+001,3.0000000000000000E+001,3.0000000156013840E+001,2.5001500875685679E+001,3.0000000000000000E+000,3.0000008222330750E+000,1.0000000000000000E+003,4.0000000000000000E+001
44,7.1903820833323451E-001,1.0000000000000000E+000,9.9999989562925307E-001,3.9286278769959942E+001,4.5000000000000001E-001,4.5001586406796296E-001,4.5164712412689994E+001,3.0000000000000000E+001,3.0000000077665351E+001,2.5001503297899927E+001,3.0000000000000000E+000,3.0000004189150373E+000,1.0000000000000000E+003,4.0000000000000000E+001
45,7.1903716244687654E-001,1.0000000000000000E+000,9.9999989583185578E-001,3.9284992607609638E+001,4.5000000000000001E-001,4.5000909959432495E-001,4.5164713121285970E+001,3.0000000000000000E+001,3.0000000031873100E+001,2.5001498189098090E+001,3.0000000000000000E+000,2.9999998010682716E+000,1.0000000000000000E+003,4.0000000000000000E+001
46,7.1903625080263933E-001,1.0000000000000000E+000,9.9999990474082967E-001,3.9283867740706150E+001,4.5000000000000001E-001,4.5000405159644441E-001,4.5164714094751382E+001,3.0000000000000000E+001,3.0000000018021126E+001,2.5001489484013305E+001,3.0000000000000000E+000,2.9999993635094420E+000,1.0000000000000000E+003,4.0000000000000000E+001
47,7.1903549982837434E-001,1.0000000000000000E+000,9.9999991825219936E-001,3.9282926086186478E+001,4.5000000000000001E-001,4.5000047412691496E-001,4.5164716578407834E+001,3.0000000000000000E+001,3.0000000022933797E+001,2.5001480831311383E+001,3.0000000000000000E+000,2.9999992208036792E+000,1.0000000000000000E+003,4.0000000000000000E+001
48,7.1903488916040137E-001,1.0000000000000000E+000,9.9999993198235804E-001,3.9282169543280624E+001,4.5000000000000001E-001,4.4999810555944231E-001,4.5164720345606071E+001,3.0000000000000000E+001,3.0000000032724380E+001,2.5001474201401656E+001,3.0000000000000000E+000,2.9999993037577677E+000,1.0000000000000000E+003,4.0000000000000000E+001
