"time","I@variable_resistance","U@resistance","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
2.67e-05,-1.7841924776300147E-01,-7.2479235175578403E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.69e-05,-1.8867917302699497E-01,-7.1303775650056789E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.71e-05,-1.9666479682197274E-01,-6.8937552616155706E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.73e-05,-2.0255537091677406E-01,-6.5474438020118448E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.75e-05,-2.0655874541376024E-01,-6.1023270823122848E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.77e-05,-2.0890641421105446E-01,-5.5705288344614861E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.79e-05,-2.0984847958736391E-01,-4.9651480001978161E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.81e-05,-2.0964847554782085E-01,-4.2999879636081317E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.83e-05,-2.0857808088739410E-01,-3.5892794876322598E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.85e-05,-2.0691217346719998E-01,-2.8474212766316476E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.87e-05,-2.0492384627187421E-01,-2.0887197166649760E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.89e-05,-2.0287980826987465E-01,-1.3271469133102416E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.91e-05,-2.0103527413084318E-01,-5.7607360781711237E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.93e-05,-1.9963154285947560E-01,1.5185792742307844E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.95e-05,-1.9889106122301764E-01,8.4499256379990995E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.97e-05,-1.9901498254154540E-01,1.4927901588753834E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.99e-05,-2.0018051349259069E-01,2.0859647719038530E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.01e-05,-2.2719675691339370E-07,2.6292083762724485E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.03e-05,-6.7456367588760182E-07,3.1895418286309347E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.05e-05,-1.1067601125706275E-06,3.7667512917520662E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.07e-05,-1.5113314500829249E-06,4.3452813926094294E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.09e-05,-1.8772992567119147E-06,4.9076509273176150E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.11e-05,-2.1955336888855643E-06,5.4352108017141489E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.13e-05,-2.4590406823954798E-06,5.9089618123821008E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.15e-05,-2.6631541172354384E-06,6.3103952462223285E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.17e-05,-2.8056274548716220E-06,6.6223191326722119E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.19e-05,-2.8866236546666336E-06,6.8296339251095901E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.21e-05,-2.9086065312012000E-06,6.9200242043130844E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.23e-05,-2.8761407899988322E-06,6.8845370486102704E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.25e-05,-2.7956116899156116E-06,6.7180229965970462E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.27e-05,-2.6748784015204131E-06,6.4194218005076298E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.29e-05,-2.5228775804678523E-06,5.9918820166668691E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.31e-05,-2.3491954123271133E-06,5.4427107088985780E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
