"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
1.461,2.9877367268232788E+000,4.9877367268232788E+000,1.4877367268232786E+000,1.6895762177997868E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9684588052578325E+000
1.481,2.9917616890752710E+000,4.9917616890752710E+000,1.4917616890752707E+000,1.6929974357139801E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9921069137130449E+000
1.501,2.9949899732081011E+000,4.9949899732081011E+000,1.4949899732081011E+000,1.6957414772268860E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-4.0000000000000000E+000
1.521,2.9974202879511602E+000,4.9974202879511598E+000,1.4974202879511602E+000,1.6978072447584862E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9921069137131311E+000
1.541,2.9990516612109546E+000,4.9990516612109541E+000,1.4990516612109546E+000,1.6991939120293114E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9684588052580039E+000
1.561,2.9998834404599313E+000,4.9998834404599313E+000,1.4998834404599313E+000,1.6999009243909415E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9291490029148988E+000
1.581,2.9999152929974811E+000,4.9999152929974811E+000,1.4999152929974813E+000,1.6999279990478591E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.8743326445147224E+000
1.601,2.9991472060830144E+000,4.9991472060830144E+000,1.4991472060830142E+000,1.6992751251705620E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.8042260651808681E+000
1.621,2.9975794869410546E+000,4.9975794869410546E+000,1.4975794869410546E+000,1.6979425638998964E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.7191059435533189E+000
1.641,2.9952127626383569E+000,4.9952127626383565E+000,1.4952127626383569E+000,1.6959308482426034E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.6193082098644518E+000
1.661,2.9920479798330861E+000,4.9920479798330861E+000,1.4920479798330863E+000,1.6932407828581235E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.5052267201758913E+000
1.681,2.9880864043961681E+000,4.9880864043961681E+000,1.4880864043961681E+000,1.6898734437367429E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.3773117020085608E+000
1.701,2.9833296209049571E+000,4.9833296209049571E+000,1.4833296209049569E+000,1.6858301777692133E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.2360679775003538E+000
1.721,2.9777795320094262E+000,4.9777795320094267E+000,1.4777795320094262E+000,1.6811126022080123E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.0820529711037881E+000
1.741,2.9714383576711345E+000,4.9714383576711345E+000,1.4714383576711343E+000,1.6757226040204642E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.9158745096863417E+000
1.761,2.9643086342752683E+000,4.9643086342752678E+000,1.4643086342752683E+000,1.6696623391339780E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.7381884237155174E+000
1.781,2.9563932136161251E+000,4.9563932136161251E+000,1.4563932136161248E+000,1.6629342315737061E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.5496959589955850E+000
1.801,2.9476952617564303E+000,4.9476952617564303E+000,1.4476952617564300E+000,1.6555409724929655E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.3511410091707812E+000
1.821,2.9382182577609570E+000,4.9382182577609566E+000,1.4382182577609570E+000,1.6474855190968134E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.1433071799169392E+000
1.841,2.9279659923049453E+000,4.9279659923049453E+000,1.4279659923049453E+000,1.6387710934592035E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.9270146964078732E+000
1.861,2.9169425661578821E+000,4.9169425661578821E+000,1.4169425661578821E+000,1.6294011812341997E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.7031171662613593E+000
1.881,2.9051523885432493E+000,4.9051523885432493E+000,1.4051523885432493E+000,1.6193795302617620E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.4724982107398379E+000
1.901,2.8926001753748927E+000,4.8926001753748931E+000,1.3926001753748927E+000,1.6087101490686588E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.2360679775009664E+000
