"time","V","X"
1.697,-5.7600469330987103E-001,1.3638506141959015E+000
1.698,-5.7637771390122861E-001,1.3632746095025916E+000
1.699,-5.7675132761724779E-001,1.3626982317886904E+000
1.7,-5.7712553581943637E-001,1.3621214804610733E+000
1.701,-5.7750033987313887E-001,1.3615443549252539E+000
1.702,-5.7787574114754936E-001,1.3609668545853808E+000
1.703,-5.7825174101572430E-001,1.3603889788442334E+000
1.704,-5.7862834085459558E-001,1.3598107271032178E+000
1.705,-5.7900554204498333E-001,1.3592320987623634E+000
1.706,-5.7938334597160923E-001,1.3586530932203185E+000
1.707,-5.7976175402310937E-001,1.3580737098743469E+000
1.708,-5.8014076759204758E-001,1.3574939481203239E+000
1.709,-5.8052038807492834E-001,1.3569138073527318E+000
1.71,-5.8090061687221028E-001,1.3563332869646569E+000
1.711,-5.8128145538831932E-001,1.3557523863477847E+000
1.712,-5.8166290503166196E-001,1.3551711048923964E+000
1.713,-5.8204496721463883E-001,1.3545894419873648E+000
1.714,-5.8242764335365793E-001,1.3540073970201503E+000
1.715,-5.8281093486914815E-001,1.3534249693767966E+000
1.716,-5.8319484318557291E-001,1.3528421584419275E+000
1.717,-5.8357936973144353E-001,1.3522589635987419E+000
1.718,-5.8396451593933307E-001,1.3516753842290106E+000
1.719,-5.8435028324588978E-001,1.3510914197130712E+000
1.72,-5.8473667309185096E-001,1.3505070694298253E+000
1.721,-5.8512368692205663E-001,1.3499223327567336E+000
1.722,-5.8551132618546353E-001,1.3493372090698115E+000
1.723,-5.8589959233515876E-001,1.3487516977436260E+000
1.724,-5.8628848682837376E-001,1.3481657981512909E+000
1.725,-5.8667801112649842E-001,1.3475795096644625E+000
1.726,-5.8706816669509509E-001,1.3469928316533362E+000
1.727,-5.8745895500391232E-001,1.3464057634866411E+000
1.728,-5.8785037752689939E-001,1.3458183045316372E+000
1.729,-5.8824243574222024E-001,1.3452304541541105E+000
1.73,-5.8863513113226795E-001,1.3446422117183683E+000
1.731,-5.8902846518367857E-001,1.3440535765872361E+000
1.732,-5.8942243938734606E-001,1.3434645481220524E+000
1.733,-5.8981705523843608E-001,1.3428751256826652E+000
1.734,-5.9021231423640075E-001,1.3422853086274269E+000
1.735,-5.9060821788499318E-001,1.3416950963131906E+000
1.736,-5.9100476769228172E-001,1.3411044880953056E+000
1.737,-5.9140196517066490E-001,1.3405134833276133E+000
1.738,-5.9179981183688590E-001,1.3399220813624428E+000
1.739,-5.9219830921204730E-001,1.3393302815506061E+000
1.74,-5.9259745882162573E-001,1.3387380832413940E+000
1.741,-5.9299726219548665E-001,1.3381454857825725E+000
1.742,-5.9339772086789955E-001,1.3375524885203771E+000
1.743,-5.9379883637755260E-001,1.3369590907995093E+000
1.744,-5.9420061026756754E-001,1.3363652919631317E+000
1.745,-5.9460304408551490E-001,1.3357710913528642E+000
1.746,-5.9500613938342906E-001,1.3351764883087787E+000
1.747,-5.9540989771782316E-001,1.3345814821693953E+000
1.748,-5.9581432064970474E-001,1.3339860722716776E+000
1.749,-5.9621940974459064E-001,1.3333902579510279E+000
1.75,-5.9662516657252229E-001,1.3327940385412833E+000
1.751,-5.9703159270808126E-001,1.3321974133747108E+000
1.752,-5.9743868973040448E-001,1.3316003817820028E+000
1.753,-5.9784645922320001E-001,1.3310029430922725E+000
1.754,-5.9825490277476234E-001,1.3304050966330494E+000
1.755,-5.9866402197798807E-001,1.3298068417302746E+000
1.756,-5.9907381843039142E-001,1.3292081777082967E+000
1.757,-5.9948429373412004E-001,1.3286091038898664E+000
1.758,-5.9989544949597084E-001,1.3280096195961324E+000
