"time","out"
1.477,4.6791557725355637E-01
1.483,4.7109867611539430E-01
1.489,4.7109867611539430E-01
1.495,4.7428177497723223E-01
1.501,4.7746487383907010E-01
1.507,4.7746487383907010E-01
1.513,4.8064797270090803E-01
1.519,4.8064797270090803E-01
1.525,4.8383107156274591E-01
1.531,4.8701417042458384E-01
1.537,4.8701417042458384E-01
1.543,4.9019726928642177E-01
1.549,4.9019726928642177E-01
1.555,4.9338036814825964E-01
1.561,4.9656346701009757E-01
1.567,4.9656346701009757E-01
1.573,4.9974656587193550E-01
1.579,4.9974656587193550E-01
1.585,5.0292966473377343E-01
1.591,5.0611276359561119E-01
1.597,5.0611276359561119E-01
1.603,5.0929586245744918E-01
1.609,5.0929586245744918E-01
1.615,5.1247896131928705E-01
1.621,5.1566206018112493E-01
1.627,5.1566206018112493E-01
1.633,5.1884515904296291E-01
1.639,5.1884515904296291E-01
1.645,5.2202825790480079E-01
1.651,5.2521135676663866E-01
1.657,5.2521135676663866E-01
1.663,5.2839445562847664E-01
1.669,5.2839445562847664E-01
1.675,5.3157755449031452E-01
1.681,5.3476065335215239E-01
1.687,5.3476065335215239E-01
1.693,5.3794375221399038E-01
1.699,5.3794375221399038E-01
1.705,5.4112685107582825E-01
1.711,5.4430994993766613E-01
1.717,5.4430994993766613E-01
1.723,5.4749304879950411E-01
1.729,5.4749304879950411E-01
1.735,5.5067614766134199E-01
1.741,5.5385924652317986E-01
1.747,5.5385924652317986E-01
1.753,5.5704234538501773E-01
1.759,5.5704234538501773E-01
1.765,5.6022544424685572E-01
1.771,5.6340854310869359E-01
1.777,5.6340854310869359E-01
1.783,5.6659164197053147E-01
1.789,5.6659164197053147E-01
1.795,5.6977474083236945E-01
1.801,5.7295783969420733E-01
1.807,5.7295783969420733E-01
1.813,5.7614093855604520E-01
1.819,5.7614093855604520E-01
1.825,5.7932403741788319E-01
1.831,5.8250713627972106E-01
1.837,5.8250713627972106E-01
1.843,5.8569023514155893E-01
1.849,5.8569023514155893E-01
1.855,5.8887333400339681E-01
1.861,5.9205643286523468E-01
1.867,5.9205643286523468E-01
1.873,5.9523953172707267E-01
1.879,5.9523953172707267E-01
1.885,5.9842263058891054E-01
1.891,6.0160572945074842E-01
1.897,6.0160572945074842E-01
1.903,6.0478882831258640E-01
1.909,6.0478882831258640E-01
1.915,6.0797192717442428E-01
1.921,6.1115502603626215E-01
1.927,6.1115502603626215E-01
1.933,6.1433812489810014E-01
1.939,6.1433812489810014E-01
1.945,6.1752122375993801E-01
1.951,6.2070432262177588E-01
1.957,6.2070432262177588E-01
1.963,6.2388742148361387E-01
1.969,6.2388742148361387E-01
1.975,6.2707052034545174E-01
1.981,6.3025361920728962E-01
1.987,6.3025361920728962E-01
1.993,6.3343671806912760E-01
1.999,6.3343671806912760E-01
2.005,6.3661981693096548E-01
2.011,6.3980291579280335E-01
2.017,6.3980291579280335E-01
2.023,6.4298601465464122E-01
