"time","J1_w","J2_w","J3_w","J4_w"
0.642,4.4800173424550982E+000,3.3278097857338915E+000,2.4200000000000035E+000,-1.7763568394002505E-015
0.645,4.4887763015068618E+000,3.3185414037471173E+000,2.4500000000000037E+000,-1.7763568394002505E-015
0.648,4.4980218438507320E+000,3.3091911274522303E+000,2.4800000000000026E+000,-2.6645352591003757E-015
0.651,4.5075319765312472E+000,3.2997586634778471E+000,2.5100000000000029E+000,-2.6645352591003757E-015
0.654,4.5171261653985910E+000,3.2902437197310048E+000,2.5400000000000031E+000,-2.2204460492503131E-015
0.657,4.5264453868412566E+000,3.2806460048681423E+000,2.5700000000000029E+000,-2.6645352591003757E-015
0.66,4.5351927855017866E+000,3.2709652288739317E+000,2.6000000000000028E+000,-3.1086244689504383E-015
0.663,4.5430806836755835E+000,3.2612011029203689E+000,2.6300000000000026E+000,-3.5527136788005009E-015
0.666,4.5500682331186812E+000,3.2513533397720176E+000,2.6600000000000028E+000,-3.1086244689504383E-015
0.669,4.5557776694233523E+000,3.2414216527905992E+000,2.6900000000000026E+000,-3.5527136788005009E-015
0.672,4.5599508188028652E+000,3.2314057567134373E+000,2.7200000000000029E+000,-3.1086244689504383E-015
0.675,4.5623291702687485E+000,3.2213053674489505E+000,2.7500000000000022E+000,-3.9968028886505635E-015
0.678,4.5628539518418512E+000,3.2111202024195196E+000,2.7800000000000025E+000,-3.9968028886505635E-015
0.681,4.5613337681267181E+000,3.2008499799919279E+000,2.8100000000000023E+000,-3.9968028886505635E-015
0.684,4.5575380638443637E+000,3.1904944196375267E+000,2.8400000000000021E+000,-3.9968028886505635E-015
0.687,4.5512928183430850E+000,3.1800532420962258E+000,2.8700000000000023E+000,-3.9968028886505635E-015
0.69,4.5425102007708418E+000,3.1695261694589831E+000,2.9000000000000017E+000,-4.4408920985006262E-015
0.693,4.5312030014205495E+000,3.1589129251985009E+000,2.9300000000000019E+000,-3.9968028886505635E-015
0.696,4.5172072398816194E+000,3.1482132335793560E+000,2.9600000000000017E+000,-4.4408920985006262E-015
0.699,4.5004560553068407E+000,3.1374268202404227E+000,2.9900000000000015E+000,-4.8849813083506888E-015
0.702,4.4809038791557843E+000,3.1265534120379064E+000,3.0200000000000027E+000,-3.1086244689504383E-015
0.705,4.4586772200029356E+000,3.1155927375453185E+000,3.0500000000000020E+000,-3.9968028886505635E-015
0.708,4.4337319784567208E+000,3.1045445259171975E+000,3.0800000000000018E+000,-4.4408920985006262E-015
0.711,4.4059258865484878E+000,3.1017013894735861E+000,3.1017013894735865E+000,-4.8849813083506888E-015
0.714,4.3754883029000098E+000,3.1110859248569964E+000,3.1110859248569969E+000,-3.9968028886505635E-015
0.717,4.3427454834588639E+000,3.1204289664388769E+000,3.1204289664388773E+000,-3.5527136788005009E-015
0.72,4.3077412597219249E+000,3.1297278542450968E+000,3.1297278542450973E+000,-3.1086244689504383E-015
0.723,4.2705618186140626E+000,3.1389826380251469E+000,3.1389826380251473E+000,-3.9968028886505635E-015
0.726,4.2313564932517203E+000,3.1481929500936081E+000,3.1481929500936086E+000,-4.4408920985006262E-015
0.729,4.1903825944427719E+000,3.1573585563112307E+000,3.1573585563112312E+000,-4.4408920985006262E-015
0.732,4.1477436797082907E+000,3.1664793986231703E+000,3.1664793986231707E+000,-3.9968028886505635E-015
0.735,4.1036645621123045E+000,3.1755553072692870E+000,3.1755553072692875E+000,-3.1086244689504383E-015
0.738,4.0584730949549854E+000,3.1845860929148095E+000,3.1845860929148100E+000,-3.5527136788005009E-015
0.741,4.0123023152259245E+000,3.1935716894379222E+000,3.1935716894379227E+000,-3.1086244689504383E-015
0.744,3.9654057166848360E+000,3.2025119613174144E+000,3.2025119613174149E+000,-3.5527136788005009E-015
0.747,3.9181871946262592E+000,3.2114067106083173E+000,3.2114067106083177E+000,-3.1086244689504383E-015
0.75,3.8706907402597883E+000,3.2202559153953461E+000,3.2202559153953465E+000,-3.5527136788005009E-015
0.753,3.8232656530824718E+000,3.2290594100482819E+000,3.2290594100482823E+000,-3.5527136788005009E-015
0.756,3.7761698077325576E+000,3.2378170710447582E+000,3.2378170710447587E+000,-3.5527136788005009E-015
0.759,3.7296287354388276E+000,3.2465287896187154E+000,3.2465287896187158E+000,-3.1086244689504383E-015
0.762,3.6839567824833481E+000,3.2551944158869457E+000,3.2551944158869461E+000,-3.5527136788005009E-015
0.765,3.6393912640820330E+000,3.2638138351807644E+000,3.2638138351807648E+000,-3.5527136788005009E-015
0.768,3.5961715895920210E+000,3.2723869187469168E+000,3.2723869187469172E+000,-3.9968028886505635E-015
0.771,3.5545592966098907E+000,3.2809135404966283E+000,3.2809135404966288E+000,-3.5527136788005009E-015
0.774,3.5147529879846497E+000,3.2893935799634697E+000,3.2893935799634701E+000,-3.9968028886505635E-015
0.777,3.4769649274740906E+000,3.2978269151456057E+000,3.2978269151456061E+000,-3.5527136788005009E-015
0.78,3.4414007612651050E+000,3.3062134236027236E+000,3.3062134236027241E+000,-3.9968028886505635E-015
0.783,3.4081836151923532E+000,3.3145529896834329E+000,3.3145529896834334E+000,-3.9968028886505635E-015
0.786,3.3775284550236178E+000,3.3228454906211162E+000,3.3228454906211167E+000,-4.4408920985006262E-015
0.789,3.3494723885182949E+000,3.3310908128711758E+000,3.3310908128711763E+000,-4.4408920985006262E-015
0.792,3.3343725393258858E+000,3.3343725393258863E+000,3.3343725393258867E+000,-4.4408920985006262E-015
0.795,3.3325782401372583E+000,3.3325782401372588E+000,3.3325782401372592E+000,-4.4408920985006262E-015
0.798,3.3315759799823432E+000,3.3315759799823437E+000,3.3315759799823441E+000,-4.4408920985006262E-015
0.801,3.3314579448954431E+000,3.3314579448954436E+000,3.3314579448954440E+000,-4.4408920985006262E-015
0.804,3.3322614445080614E+000,3.3322614445080618E+000,3.3322614445080623E+000,-4.4408920985006262E-015
0.807,3.3339783789008464E+000,3.3339783789008468E+000,3.3339783789008473E+000,-4.4408920985006262E-015
0.81,3.3366058550662645E+000,3.3366058550662649E+000,3.3366058550662654E+000,-4.4408920985006262E-015
0.813,3.3399789911467588E+000,3.3399789911467592E+000,3.3399789911467597E+000,-4.4408920985006262E-015
0.816,3.3440800237810535E+000,3.3440800237810540E+000,3.3440800237810544E+000,-4.4408920985006262E-015
0.819,3.3489981652265666E+000,3.3489981652265670E+000,3.3489981652265675E+000,-4.4408920985006262E-015
0.822,3.3547334154832988E+000,3.3547334154832993E+000,3.3547334154832997E+000,-4.4408920985006262E-015
0.825,3.3612857745512494E+000,3.3612857745512499E+000,3.3612857745512503E+000,-4.4408920985006262E-015
0.828,3.3685658994830865E+000,3.3685658994830869E+000,3.3685658994830874E+000,-4.4408920985006262E-015
0.831,3.3763773790330567E+000,3.3763773790330571E+000,3.3763773790330576E+000,-4.4408920985006262E-015
0.834,3.3869481424823826E+000,3.3839301523445440E+000,3.3839301523445444E+000,-3.5527136788005009E-015
0.837,3.3989348183953538E+000,3.3914041639375134E+000,3.3914041639375139E+000,-3.5527136788005009E-015
0.84,3.4120484632816424E+000,3.3988295643832047E+000,3.3988295643832052E+000,-2.6645352591003757E-015
0.843,3.4261076768046701E+000,3.4062060560344944E+000,3.4062060560344949E+000,-3.5527136788005009E-015
0.846,3.4408772094172884E+000,3.4135333494631093E+000,3.4135333494631097E+000,-3.1086244689504383E-015
0.849,3.4561000727492384E+000,3.4208112842775753E+000,3.4208112842775757E+000,-3.1086244689504383E-015
0.852,3.4715112189295811E+000,3.4280397364977540E+000,3.4280397364977544E+000,-3.1086244689504383E-015
0.855,3.4868079020727221E+000,3.4352185801905790E+000,3.4352185801905795E+000,-2.6645352591003757E-015
0.858,3.5018036857028538E+000,3.4423477415533545E+000,3.4423477415533550E+000,-2.6645352591003757E-015
0.861,3.5162478287165464E+000,3.4494271197297879E+000,3.4494271197297883E+000,-2.2204460492503131E-015
0.864,3.5298537805191321E+000,3.4564566002273209E+000,3.4564566002273214E+000,-2.2204460492503131E-015
0.867,3.5423918056477182E+000,3.4634360889438200E+000,3.4634360889438205E+000,-2.2204460492503131E-015
