"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
0.87971,-2.4740609332302941E-006,1.4700092885773394E+001,1.4701649265858169E+001,8.6000038165788141E+001,8.6000022917091684E+001,2.4394466204915927E-009,-4.0969153604673939E-010
0.88971,-2.4210902015665032E-006,1.4700093171345999E+001,1.4701649274048881E+001,8.6000038519119656E+001,8.6000021547623007E+001,2.4538879234354005E-009,-4.0067390930706891E-010
0.89971,-2.3679545951145135E-006,1.4700093457609944E+001,1.4701649289482564E+001,8.6000038853843535E+001,8.6000020351071015E+001,2.4586594472394205E-009,-3.9173532984399944E-010
0.9097,-2.3147867607688024E-006,1.4700093742384617E+001,1.4701649311322177E+001,8.6000039151715669E+001,8.6000019307620036E+001,2.4543539821446563E-009,-3.8288827877294229E-010
0.9197,-2.2615698836683621E-006,1.4700094024585402E+001,1.4701649338815109E+001,8.6000039399127928E+001,8.6000018396065201E+001,2.4416183979545370E-009,-3.7410571363408286E-010
0.9297,-2.2084535876632124E-006,1.4700094302502730E+001,1.4701649371169816E+001,8.6000039584940623E+001,8.6000017600024194E+001,2.4211744432878222E-009,-3.6539803535938980E-010
0.93969,-2.1555906911365798E-006,1.4700094574665327E+001,1.4701649407607217E+001,8.6000039701296075E+001,8.6000016904241321E+001,2.3938041860248008E-009,-3.5677772505229093E-010
0.94969,-2.1029762150377398E-006,1.4700094840625772E+001,1.4701649447498019E+001,8.6000039743343550E+001,8.6000016292966123E+001,2.3602210553862315E-009,-3.4823230161704520E-010
0.95969,-2.0507627291679685E-006,1.4700095099310069E+001,1.4701649490147721E+001,8.6000039708192475E+001,8.6000015754050125E+001,2.3212237592962258E-009,-3.3977424614593574E-010
0.96968,-1.9990978890741970E-006,1.4700095349852077E+001,1.4701649534896898E+001,8.6000039595278594E+001,8.6000015276455414E+001,2.2776130857691981E-009,-3.3142020016403120E-010
0.97968,-1.9479695269180440E-006,1.4700095592297316E+001,1.4701649581270503E+001,8.6000039405372505E+001,8.6000014849072542E+001,2.2300400652849406E-009,-3.2315560235620091E-010
0.98968,-1.8975148557481614E-006,1.4700095826081322E+001,1.4701649628709479E+001,8.6000039140967687E+001,8.6000014463489947E+001,2.1792493268940328E-009,-3.1499709422402449E-010
0.99967,-1.8478613675611418E-006,1.4700096050804511E+001,1.4701649676700677E+001,8.6000038806007353E+001,8.6000014112283381E+001,2.1259605401421451E-009,-3.0696547767645245E-010
1.00967,-1.7989800849462569E-006,1.4700096266852176E+001,1.4701649724925405E+001,8.6000038404299048E+001,8.6000013788064095E+001,2.0706895376793953E-009,-2.9904619136279366E-010
1.01967,-1.7509834655624802E-006,1.4700096474029559E+001,1.4701649772969446E+001,8.6000037941309415E+001,8.6000013485488040E+001,2.0140561506284724E-009,-2.9125171645917932E-010
1.02966,-1.7039721114724348E-006,1.4700096672261399E+001,1.4701649820466374E+001,8.6000037423234275E+001,8.6000013200016582E+001,1.9566448507178032E-009,-2.8360077464286314E-010
1.03966,-1.6578975369952677E-006,1.4700096862133851E+001,1.4701649867237082E+001,8.6000036854992402E+001,8.6000012927069633E+001,1.8987988331805157E-009,-2.7608296498435441E-010
