"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
1.37,2.4485587155323705E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.38,2.3676570160948773E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.39,2.3088784908656326E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.4,2.2779767914281410E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.41,2.2779767914281446E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.42,2.3088784908656419E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.43,2.3676570160948915E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.44,2.4485587155323882E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.45,2.5436643671619046E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.46,2.6436643671619047E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.47,2.7387700187914192E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.48,2.8196717182289124E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.49,2.8784502434581571E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.5,2.9093519428956451E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
