"time","outputs"
0.0472,2.5938059249174808E+02
0.0474,2.6040520540679540E+02
0.0476,2.6170039283400348E+02
0.0478,2.6313476999127937E+02
0.048,2.6455065453926738E+02
0.0482,2.6576814149571351E+02
0.0484,2.6658974800000641E+02
0.0486,2.6680789642441260E+02
0.0488,2.6628858264089251E+02
0.049,2.6499136789627903E+02
0.0492,2.6310921941684040E+02
0.0494,2.6137440835916385E+02
0.0496,2.5995244222938970E+02
0.0498,2.5893529778463147E+02
0.05,2.5838116418514369E+02
0.0502,2.5831312153394526E+02
0.0504,2.5871869862367720E+02
0.0506,2.5955031693118264E+02
0.0508,2.6072660786678284E+02
0.051,2.6213457060731832E+02
0.0512,2.6363251895581374E+02
0.0514,2.6505374799306622E+02
0.0516,2.6621083520660312E+02
0.0518,2.6690047665234795E+02
0.052,2.6692194109832121E+02
0.0522,2.6618342488598586E+02
0.0524,2.6464721502633449E+02
0.0526,2.6277558213975306E+02
0.0528,2.6113169691046443E+02
0.053,2.5982894976615574E+02
0.0532,2.5894843321732958E+02
0.0534,2.5853704364785671E+02
0.0536,2.5860644368708972E+02
0.0538,2.5913290570661587E+02
0.054,2.6005803701976640E+02
0.0542,2.6129036745092588E+02
0.0544,2.6270776052660307E+02
0.0546,2.6416059105106979E+02
0.0548,2.6547561467385873E+02
0.055,2.6646043961145995E+02
0.0552,2.6690851699234224E+02
0.0554,2.6664451855658444E+02
0.0556,2.6561179544100327E+02
0.0558,2.6383360049013379E+02
0.056,2.6201553132724064E+02
0.0562,2.6047046812994927E+02
0.0564,2.5930136946366042E+02
0.0566,2.5857807876253901E+02
0.0568,2.5833571021157570E+02
0.057,2.5857390625620343E+02
0.0572,2.5925698058197764E+02
0.0574,2.6031494036783505E+02
0.0576,2.6164536178210125E+02
0.0578,2.6311607350066924E+02
0.058,2.6456858490595033E+02
0.0582,2.6582217897253645E+02
0.0584,2.6667857502622263E+02
0.0586,2.6692935583037126E+02
0.0588,2.6643910726439606E+02
0.059,2.6516641875422323E+02
0.0592,2.6329486574892485E+02
0.0594,2.6156234162478000E+02
0.0596,2.6013849317940117E+02
0.0598,2.5911535281850468E+02
0.06,2.5855125625596241E+02
0.0602,2.5846951750362382E+02
0.0604,2.5885798114587340E+02
0.0606,2.5966945906702432E+02
0.0608,2.6082303880546522E+02
0.061,2.6220623106606064E+02
0.0612,2.6367790506696230E+02
0.0614,2.6507194274509487E+02
0.0616,2.6620152678445680E+02
0.0618,2.6686396331490272E+02
0.062,2.6685922605948753E+02
0.0622,2.6609643706846913E+02
0.0624,2.6453878337929228E+02
0.0626,2.6265992707868548E+02
0.0628,2.6101140369538058E+02
0.063,2.5970669770372137E+02
0.0632,2.5882693601533498E+02
0.0634,2.5841898920771575E+02
0.0636,2.5849443466949049E+02
