"time","Noise","Noise_Filt","Noise_Filt_Sat","Sine","Sine_Filt","Sine_Filt_Quantized"
2.921,9.2178530655800983E-001,-3.2094820451050970E-001,-3.2094820451050970E-001,4.3761590769707170E-001,1.2918728232989527E+000,1.3000000000000000E+000
2.941,9.2178530655800983E-001,-3.2094820451050970E-001,-3.2094820451050970E-001,3.9850027169345170E-001,1.2611639545753184E+000,1.3000000000000000E+000
2.961,7.0937882174646849E-001,-2.1622844156667570E-001,-2.1622844156667570E-001,3.5922524089442054E-001,1.2299508366057559E+000,1.2000000000000002E+000
2.981,7.0937882174646849E-001,-2.1622844156667570E-001,-2.1622844156667570E-001,3.1980652478863758E-001,1.1982462339084266E+000,1.2000000000000002E+000
3.001,1.2161108106103800E+000,-5.3403168162043935E-002,-5.3403168162043935E-002,2.8025989033696941E-001,1.1660630833981216E+000,1.2000000000000002E+000
3.021,1.2161108106103800E+000,-5.3403168162043935E-002,-5.3403168162043935E-002,2.4060115566591514E-001,1.1334144902767875E+000,1.1000000000000001E+000
3.041,1.2161108106103800E+000,-5.3403168162043935E-002,-5.3403168162043935E-002,2.0084618374056715E-001,1.1003137238509315E+000,1.1000000000000001E+000
3.061,2.7685515229198123E+000,2.9533593061103480E-001,2.9533593061103480E-001,1.6101087601963640E-001,1.0667742132743667E+000,1.1000000000000001E+000
3.081,2.7685515229198123E+000,2.9533593061103480E-001,2.9533593061103480E-001,1.2111116609508085E-001,1.0328095432151070E+000,1.0000000000000000E+000
3.101,8.6241286122099570E-001,3.8837074173310754E-001,3.8837074173310754E-001,8.1163013318881289E-002,9.9843344944550494E-001,1.0000000000000000E+000
3.121,8.6241286122099570E-001,3.8837074173310754E-001,3.8837074173310754E-001,4.1182396419513274E-002,9.6365981435502979E-001,1.0000000000000000E+000
3.141,8.6241286122099570E-001,3.8837074173310754E-001,3.8837074173310754E-001,1.1853071106687539E-003,9.2850266238536028E-001,9.0000000000000002E-001
3.161,-2.4204368169041746E+000,6.6397602533430078E-002,6.6397602533430078E-002,-3.8812256305216147E-002,8.9297615538773800E-001,9.0000000000000002E-001
3.181,-2.4204368169041746E+000,6.6397602533430078E-002,6.6397602533430078E-002,-7.8794295336068826E-002,8.5709458790277071E-001,9.0000000000000002E-001
3.201,1.8909065601447725E-001,8.6714054408568234E-002,8.6714054408568234E-002,-1.1874481769936367E-001,8.2087238236313775E-001,8.0000000000000004E-001
3.221,1.8909065601447725E-001,8.6714054408568234E-002,8.6714054408568234E-002,-1.5864784371882190E-001,7.8432408421986000E-001,8.0000000000000004E-001
3.241,1.8909065601447725E-001,8.6714054408568234E-002,8.6714054408568234E-002,-1.9848741271606901E-001,7.4746435699302682E-001,7.0000000000000007E-001
3.261,2.1215793239360221E+000,3.4757576718014327E-001,3.4757576718014327E-001,-2.3824758939469326E-001,7.1030797724807704E-001,7.0000000000000007E-001
3.281,2.1215793239360221E+000,3.4757576718014327E-001,3.4757576718014327E-001,-2.7791247021415183E-001,6.7286982949892760E-001,7.0000000000000007E-001
