"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11"
8.34,1.0000000000000000E+000,8.8419971970191269E-001,10,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,8.8419971970191269E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.8043436675125790E-001,6.0000000000000000E+000
8.36,1.0000000000000000E+000,8.7468132764296525E-001,10,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,8.7468132764296525E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.8043436675125790E-001,6.0000000000000000E+000
8.38,1.0000000000000000E+000,8.6481307471522184E-001,10,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,8.6481307471522184E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.8043436675125790E-001,6.0000000000000000E+000
8.4,1.0000000000000000E+000,8.5459890808828043E-001,10,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,8.5459890808828043E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.8043436675125790E-001,6.0000000000000000E+000
8.42,1.0000000000000000E+000,8.4404291329260406E-001,10,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,8.4404291329260406E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.7091978161765536E-001,6.0000000000000000E+000
8.44,1.0000000000000000E+000,8.3314931258536595E-001,9,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,8.3314931258536595E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.7091978161765536E-001,6.0000000000000000E+000
8.46,1.0000000000000000E+000,8.2192246326160223E-001,9,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,8.2192246326160223E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.7091978161765536E-001,6.0000000000000000E+000
8.48,1.0000000000000000E+000,8.1036685591135482E-001,9,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,8.1036685591135482E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.7091978161765536E-001,6.0000000000000000E+000
8.5,1.0000000000000000E+000,7.9848711262349026E-001,9,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,7.9848711262349026E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.7091978161765536E-001,6.0000000000000000E+000
8.52,1.0000000000000000E+000,7.8628798513692921E-001,9,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,7.8628798513692921E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.5969742252469732E-001,6.0000000000000000E+000
