"time","outputs[1]","outputs[2]"
5.82,4.0916666666667830E+01,4.0352267276161285E+01
5.84,4.1000000000001194E+01,4.0496596388595606E+01
5.86,4.1083333333334551E+01,4.0640540347515127E+01
5.88,4.1166666666667908E+01,4.0784100281480846E+01
5.9,4.1250000000001279E+01,4.0927277315080232E+01
5.92,4.1333333333334636E+01,4.1070072568945420E+01
5.94,4.1416666666667993E+01,4.1212487159771854E+01
5.96,4.1500000000001357E+01,4.1354522200337215E+01
5.98,4.1583333333334721E+01,4.1496178799518930E+01
6,4.1666666666668078E+01,4.1637458062313272E+01
6.02,4.1750000000001442E+01,4.1778361089852751E+01
6.04,4.1833333333334807E+01,4.1918888979424878E+01
6.06,4.1916666666668164E+01,4.2059042824489154E+01
6.08,4.2000000000001521E+01,4.2198823714695777E+01
6.1,4.2083333333334885E+01,4.2338232735902466E+01
6.12,4.2166666666668249E+01,4.2477270970192478E+01
6.14,4.2250000000001606E+01,4.2615939495891951E+01
6.16,4.2333333333334970E+01,4.2754239387587120E+01
6.18,4.2416666666668334E+01,4.2892171716141434E+01
6.2,4.2500000000001691E+01,4.3029737548713058E+01
6.22,4.2583333333335048E+01,4.3166937948771590E+01
6.24,4.2666666666668412E+01,4.3303773976114428E+01
6.26,4.2750000000001776E+01,4.3440246686884677E+01
6.28,4.2833333333335133E+01,4.3576357133586612E+01
6.3,4.2916666666668497E+01,4.3712106365103352E+01
6.32,4.3000000000001862E+01,4.3847495426712157E+01
6.34,4.3083333333335219E+01,4.3982525360101761E+01
6.36,4.3166666666668576E+01,4.4117197203388059E+01
6.38,4.3250000000001947E+01,4.4251511991130769E+01
6.4,4.3333333333335304E+01,4.4203055019573696E+01
6.42,4.3416666666668661E+01,4.4154694869946411E+01
6.44,4.3500000000002025E+01,4.4106431348788760E+01
6.46,4.3583333333335389E+01,4.4058264263027468E+01
6.48,4.3666666666668746E+01,4.4010193419974655E+01
6.5,4.3750000000002110E+01,4.3962218627327786E+01
6.52,4.3833333333335474E+01,4.3914339693168358E+01
6.54,4.3916666666668831E+01,4.3866556425961562E+01
6.56,4.4000000000002188E+01,4.3818868634555031E+01
6.58,4.4083333333335553E+01,4.3771276128178386E+01
6.6,4.4166666666668917E+01,4.3723778716442553E+01
6.62,4.4250000000002274E+01,4.3676376209338912E+01
6.64,4.4333333333335638E+01,4.3629068417238386E+01
6.66,4.4416666666669002E+01,4.3581855150890760E+01
6.68,4.4500000000002359E+01,4.3534736221423998E+01
6.7,4.4583333333335716E+01,4.3615784819292969E+01
6.72,4.4666666666669080E+01,4.3751429432347152E+01
6.74,4.4750000000002444E+01,4.3886714178130376E+01
6.76,4.4833333333335801E+01,4.4021640097293130E+01
6.78,4.4916666666669165E+01,4.4156208226917556E+01
6.8,4.5000000000002530E+01,4.4290419600534051E+01
6.82,4.5083333333335887E+01,4.4424275248137462E+01
6.84,4.5166666666669244E+01,4.4557776196202042E+01
6.86,4.5250000000002615E+01,4.4690923467698383E+01
6.88,4.5333333333335972E+01,4.4823718082108655E+01
6.9,4.5416666666669329E+01,4.4956161055442124E+01
6.92,4.5500000000002693E+01,4.5088253400250494E+01
6.94,4.5583333333336057E+01,4.5219996125644343E+01
6.96,4.5666666666669414E+01,4.5351390237306873E+01
6.98,4.5750000000002778E+01,4.5482436737510625E+01
7,4.5833333333336142E+01,4.5613136625131688E+01
7.02,4.5916666666669499E+01,4.5743490895665218E+01
7.04,4.6000000000002856E+01,4.5873500541240219E+01
7.06,4.6083333333336221E+01,4.6003166550634376E+01
7.08,4.6166666666669585E+01,4.6132489909288836E+01
7.1,4.6250000000002942E+01,4.6261471599322988E+01
7.12,4.6333333333336306E+01,4.6390112599549013E+01
7.14,4.6416666666669670E+01,4.6518413885486439E+01
7.16,4.6500000000003027E+01,4.6646376429376573E+01
7.18,4.6583333333336384E+01,4.6774001200196722E+01
7.2,4.6666666666669748E+01,4.6901289163674107E+01
7.22,4.6750000000003112E+01,4.7028241282300996E+01
7.24,4.6833333333336469E+01,4.7154858515347939E+01
7.26,4.6916666666669833E+01,4.7281141818877984E+01
7.28,4.7000000000003197E+01,4.7407092145760600E+01
7.3,4.7083333333336554E+01,4.7532710445685666E+01
7.32,4.7166666666669911E+01,4.7657997665176993E+01
7.34,4.7250000000003283E+01,4.7782954747606027E+01
7.36,4.7333333333336640E+01,4.7907582633205834E+01
7.38,4.7416666666669997E+01,4.8031882259083488E+01
7.4,4.7500000000003361E+01,4.8155854559235195E+01
7.42,4.7583333333336725E+01,4.8279500464557827E+01
7.44,4.7666666666670082E+01,4.8402820902863482E+01
7.46,4.7750000000003446E+01,4.8525816798892208E+01
7.48,4.7833333333336810E+01,4.8648489074325198E+01
7.5,4.7916666666670167E+01,4.8770838647797461E+01
7.52,4.8000000000003524E+01,4.8892866434911582E+01
7.54,4.8083333333336888E+01,4.9014573348249428E+01
7.56,4.8166666666670253E+01,4.9135960297386248E+01
7.58,4.8250000000003610E+01,4.9230117520520878E+01
7.6,4.8333333333336974E+01,4.9171712791621417E+01
7.62,4.8416666666670338E+01,4.9113424761276804E+01
7.64,4.8500000000003695E+01,4.9055253196311583E+01
7.66,4.8583333333337052E+01,4.8997197864016130E+01
7.68,4.8666666666670423E+01,4.8939258532145914E+01
7.7,4.8750000000003780E+01,4.8881434968920189E+01
7.72,4.8833333333337137E+01,4.8823726943021768E+01
7.74,4.8916666666670508E+01,4.8766134223595031E+01
7.76,4.9000000000003865E+01,4.8708656580246100E+01
7.78,4.9083333333337222E+01,4.8651293783041353E+01
7.8,4.9166666666670579E+01,4.8594045602506810E+01
7.82,4.9250000000003951E+01,4.8536911809626474E+01
7.84,4.9333333333337308E+01,4.8479892175842394E+01
7.86,4.9416666666670665E+01,4.8422986473053072E+01
7.88,4.9500000000004036E+01,4.8536954661315406E+01
7.9,4.9583333333337393E+01,4.8659597634696183E+01
7.92,4.9666666666670750E+01,4.8781917989272813E+01
7.94,4.9750000000004107E+01,4.8903916640372870E+01
7.96,4.9833333333337478E+01,4.9025594500305431E+01
7.98,4.9916666666670835E+01,4.9146952478373350E+01
8,5.0000000000004192E+01,4.9267991480886280E+01
8.02,5.0000000000000000E+01,4.9388712411173117E+01
8.04,5.0000000000000000E+01,4.9509116169594506E+01
8.06,5.0000000000000000E+01,4.9629203653555862E+01
8.08,5.0000000000000000E+01,4.9748975757519133E+01
8.1,5.0000000000000000E+01,4.9868433373015250E+01
8.12,5.0000000000000000E+01,4.9987577388656746E+01
8.14,5.0000000000000000E+01,5.0106408690150261E+01
8.16,5.0000000000000000E+01,5.0224928160307741E+01
8.18,5.0000000000000000E+01,5.0343136679059569E+01
8.2,5.0000000000000000E+01,5.0461035123465763E+01
8.22,5.0000000000000000E+01,5.0578624367728196E+01
8.24,5.0000000000000000E+01,5.0695905283202535E+01
8.26,5.0000000000000000E+01,5.0812878738410291E+01
8.28,5.0000000000000000E+01,5.0929545599049902E+01
8.3,5.0000000000000000E+01,5.0983517916239350E+01
8.32,5.0000000000000000E+01,5.0921609716024818E+01
8.34,5.0000000000000000E+01,5.0859825214655189E+01
8.36,5.0000000000000000E+01,5.0798164164967886E+01
8.38,5.0000000000000000E+01,5.0736626320293624E+01
8.4,5.0000000000000000E+01,5.0675211434456344E+01
8.42,5.0000000000000000E+01,5.0613919261772025E+01
8.44,5.0000000000000000E+01,5.0552749557047321E+01
8.46,5.0000000000000000E+01,5.0491702075578985E+01
8.48,5.0000000000000000E+01,5.0430776573152400E+01
8.5,5.0000000000000000E+01,5.0369972806041119E+01
8.52,5.0000000000000000E+01,5.0309290531005729E+01
8.54,5.0000000000000000E+01,5.0248729505292658E+01
8.56,5.0000000000000000E+01,5.0188289486633664E+01
8.58,5.0000000000000000E+01,5.0127970233244412E+01
8.6,5.0000000000000000E+01,5.0067771503823508E+01
8.62,5.0000000000000000E+01,5.0007693057552103E+01
