"time","I@variable_resistance","U@resistance","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
6.84e-005,-2.2502353171440090E-001,-3.3413008429696252E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.86e-005,-2.2304625638550199E-001,-2.5832575525979462E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.88e-005,-2.2084799428742607E-001,-1.8136842852198205E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.9e-005,-2.1869462745984961E-001,-1.0465100076786957E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.92e-005,-2.1683896441319650E-001,-2.9497973295746271E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.94e-005,-2.1551784174494792E-001,4.2849787094211700E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.96e-005,-2.1494827579194900E-001,1.1125518717064633E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.98e-005,-2.1532443115755889E-001,1.7470082629789516E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7e-005,-2.4996827448348836E-006,2.3230048379674049E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.02e-005,-4.8649422349781442E-007,2.8869397417762297E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.04e-005,-9.6045095456629819E-007,3.4815787688611000E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.06e-005,-1.4098289280903712E-006,4.0913178197639946E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.08e-005,-1.8218255231432608E-006,4.6979929192351166E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.1e-005,-2.1854946174396990E-006,5.2816713896283334E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.12e-005,-2.4921088375722364E-006,5.8215286501490962E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.14e-005,-2.7354214752454115E-006,6.2967707683732224E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.16e-005,-2.9118196998689548E-006,6.6875614575465931E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.18e-005,-3.0203654734874170E-006,6.9759129109286313E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.2e-005,-3.0627253889997730E-006,7.1465015705226715E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.22e-005,-3.0429953389993491E-006,7.1873742135774075E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.24e-005,-2.9674302304670670E-006,7.0905146564187511E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.26e-005,-2.8440927407307209E-006,6.8522479450833975E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.28e-005,-2.6824381828646971E-006,6.4734661681528696E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.3e-005,-2.4928548569529701E-006,5.9596678535497771E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.32e-005,-2.2861806777297247E-006,5.3208109788736255E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.34e-005,-2.0732173452445058E-006,4.5709875161306384E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.36e-005,-1.8642629118942103E-006,3.7279348554452580E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.38e-005,-1.6686822825136102E-006,2.8124060863917757E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.4e-005,-1.4945330684331819E-006,1.8474266937372839E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.42e-005,-1.3482613944599713E-006,8.5746948215604779E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.44e-005,-1.2344789167515818E-006,-1.3241745030597915E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.46e-005,-1.1558283513199187E-006,-1.0974937867198200E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.48e-005,-1.1129417379458381E-006,-2.0141847229148246E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.5e-005,-1.1055817625355478E-006,-2.8608803598408703E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.52e-005,-3.4949681682868126E-002,-3.8627305001781225E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.54e-005,-6.4478500285998899E-002,-4.7540223002312709E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.56e-005,-9.1671219429304951E-002,-5.5230467278295379E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.58e-005,-1.1637532676068189E-001,-6.1618082519080160E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.6e-005,-1.3848841405461304E-001,-6.6649357380858110E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.62e-005,-1.5795771689625676E-001,-7.0296586412749162E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.64e-005,-1.7477883378358067E-001,-7.2557400606534781E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.66e-005,-1.8899367817572496E-001,-7.3453696455771897E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.68e-005,-2.0068770157559471E-001,-7.3030178407947117E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.7e-005,-2.0998646303734139E-001,-7.1352571687062509E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.72e-005,-2.1705169531100382E-001,-6.8505549785379003E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.74e-005,-2.2207687768853582E-001,-6.4590421402837137E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.76e-005,-2.2528244196167474E-001,-5.9722627390668901E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
