"time","part5_displacement_output"
8.757,1.8911444327798230E+02
8.758,1.8943763243895881E+02
8.759,1.8976062021686923E+02
8.76,1.9008340601988934E+02
8.761,1.9040599023005092E+02
8.762,1.9072837225646816E+02
8.763,1.9105055150963648E+02
8.764,1.9137252837207421E+02
8.765,1.9169430225520910E+02
8.766,1.9201587257184801E+02
8.767,1.9233723970498590E+02
8.768,1.9265840306835472E+02
8.769,1.9297936207707355E+02
8.77,1.9330011711459596E+02
8.771,1.9362066759695765E+02
8.772,1.9394101294158099E+02
8.773,1.9426115353236793E+02
8.774,1.9458108878765347E+02
8.775,1.9490081812715675E+02
8.776,1.9522034193521665E+02
8.777,1.9553965963246392E+02
8.778,1.9585877096157088E+02
8.779,1.9617767534531541E+02
8.78,1.9649637316860245E+02
8.781,1.9681486385510999E+02
8.782,1.9713314682990020E+02
8.783,1.9745122247828937E+02
8.784,1.9776909022623818E+02
8.785,1.9808674950108929E+02
8.786,1.9840420068856139E+02
8.787,1.9872144321688768E+02
8.788,1.9903847651569583E+02
8.789,1.9935530097108673E+02
8.79,1.9967191601357197E+02
8.791,1.9998832107505004E+02
8.792,2.0030451654199857E+02
8.793,2.0062050184720124E+02
8.794,2.0093627642482272E+02
8.795,2.0125184066171175E+02
8.796,2.0156719399291211E+02
8.797,2.0188233585485966E+02
8.798,2.0219726663475419E+02
8.799,2.0251198576990478E+02
8.8,2.0282649269900503E+02
8.801,2.0314078780960469E+02
8.802,2.0345487054126727E+02
8.803,2.0376874033494792E+02
8.804,2.0408239757852763E+02
8.805,2.0439584171382441E+02
8.806,2.0470907218404969E+02
8.807,2.0502208937741094E+02
8.808,2.0533489273797272E+02
8.809,2.0564748171120038E+02
8.81,2.0595985668561394E+02
8.811,2.0627201710752857E+02
8.812,2.0658396242465426E+02
8.813,2.0689569302581828E+02
8.814,2.0720720835957715E+02
8.815,2.0751850787588668E+02
8.816,2.0782959196387031E+02
8.817,2.0814046007432313E+02
8.818,2.0845111165944536E+02
8.819,2.0876154710864219E+02
8.82,2.0907176587495016E+02
8.821,2.0938176741280523E+02
8.822,2.0969155211188860E+02
8.823,2.1000111942747387E+02
8.824,2.1031046881622902E+02
8.825,2.1061960066810738E+02
8.826,2.1092851444060710E+02
8.827,2.1123720990282149E+02
8.828,2.1154568651439752E+02
8.829,2.1185394466562607E+02
8.83,2.1216198381698050E+02
8.831,2.1246980343033673E+02
8.832,2.1277740389623460E+02
8.833,2.1308478467736981E+02
8.834,2.1339194523784542E+02
8.835,2.1369888596843782E+02
8.836,2.1400560633406627E+02
8.837,2.1431210580105773E+02
8.838,2.1461838476041615E+02
8.839,2.1492444267928215E+02
8.84,2.1523027902620177E+02
8.841,2.1553589419240075E+02
8.842,2.1584128764723786E+02
8.843,2.1614645886147622E+02
8.844,2.1645140822655421E+02
8.845,2.1675613521404566E+02
8.846,2.1706063929693181E+02
8.847,2.1736492086685135E+02
8.848,2.1766897939759423E+02
8.849,2.1797281436435506E+02
8.85,2.1827642615896809E+02
8.851,2.1857981425743301E+02
8.852,2.1888297813715693E+02
8.853,2.1918591819016282E+02
8.854,2.1948863389465859E+02
8.855,2.1979112473026208E+02
8.856,2.2009339108917359E+02
8.857,2.2039543245181025E+02
8.858,2.2069724829999760E+02
8.859,2.2099883902610867E+02
8.86,2.2130020411276121E+02
8.861,2.2160134304399307E+02
8.862,2.2190225621233756E+02
8.863,2.2220294310261755E+02
8.864,2.2250340320107469E+02
8.865,2.2280363690039724E+02
8.866,2.2310364368761242E+02
8.867,2.2340342305116334E+02
8.868,2.2370297538388778E+02
8.869,2.2400230017501255E+02
8.87,2.2430139691518076E+02
8.871,2.2460026599737517E+02
8.872,2.2489890691301824E+02
8.873,2.2519731945479899E+02
8.874,2.2549550311629787E+02
8.875,2.2579345829067006E+02
8.876,2.2609118447227092E+02
8.877,2.2638868115687265E+02
8.878,2.2668594873776075E+02
8.879,2.2698298671148342E+02
8.88,2.2727979457600949E+02
8.881,2.2757637272474264E+02
8.882,2.2787272065642219E+02
8.883,2.2816883787121739E+02
8.884,2.2846472476263790E+02
8.885,2.2876038083161862E+02
8.886,2.2905580558052074E+02
8.887,2.2935099940295990E+02
8.888,2.2964596180206192E+02
8.889,2.2994069228237896E+02
8.89,2.3023519123762708E+02
8.891,2.3052945817311911E+02
8.892,2.3082349259560257E+02
8.893,2.3111729489888080E+02
8.894,2.3141086459045886E+02
8.895,2.3170420117927182E+02
8.896,2.3199730505921184E+02
8.897,2.3229017573996754E+02
8.898,2.3258281273266721E+02
8.899,2.3287521643127673E+02
8.9,2.3316738634767819E+02
8.901,2.3345932199518205E+02
8.902,2.3375102376783255E+02
8.903,2.3404249117969192E+02
8.904,2.3433372374626353E+02
8.905,2.3462472186165365E+02
8.906,2.3491548504211417E+02
8.907,2.3520601280532972E+02
8.908,2.3549630554547224E+02
8.909,2.3578636278097449E+02
8.91,2.3607618403170946E+02
8.911,2.3636576969190116E+02
8.912,2.3665511928216679E+02
8.913,2.3694423232456677E+02
8.914,2.3723310921337088E+02
8.915,2.3752174947138252E+02
