"time","TRes"
0.936,2.9898277147280879E+002
0.938,2.9898160491871874E+002
0.94,2.9898043859793955E+002
0.942,2.9897927251042449E+002
0.944,2.9897810665612695E+002
0.946,2.9897694103500027E+002
0.948,2.9897577564699782E+002
0.95,2.9897461049207294E+002
0.952,2.9897344557017908E+002
0.954,2.9897228088126957E+002
0.956,2.9897111642529785E+002
0.958,2.9896995220221731E+002
0.96,2.9896878821198140E+002
0.962,2.9896762445454351E+002
0.964,2.9896646092985713E+002
0.966,2.9896529763787566E+002
0.968,2.9896413457855260E+002
0.97,2.9896297175184139E+002
0.972,2.9896180915769554E+002
0.974,2.9896064679606854E+002
0.976,2.9895948466691385E+002
0.978,2.9895832277018496E+002
0.98,2.9895716110583544E+002
0.982,2.9895599967381878E+002
0.984,2.9895483847408855E+002
0.986,2.9895367750659824E+002
0.988,2.9895251677130142E+002
0.99,2.9895135626815164E+002
0.992,2.9895019599710253E+002
0.994,2.9894903595810763E+002
0.996,2.9894787615112051E+002
0.998,2.9894671657609479E+002
1,2.9894555723298407E+002
1.002,2.9894439812174198E+002
1.004,2.9894323924232214E+002
1.006,2.9894208059467815E+002
1.008,2.9894092217876369E+002
1.01,2.9893976399453243E+002
1.012,2.9893860604193804E+002
1.014,2.9893744832093415E+002
1.016,2.9893629083147448E+002
1.018,2.9893513357351270E+002
1.02,2.9893397654700249E+002
1.022,2.9893281975189757E+002
1.024,2.9893166318815167E+002
1.026,2.9893050685571853E+002
1.028,2.9892935075455188E+002
1.03,2.9892819488460543E+002
1.032,2.9892703924583299E+002
1.034,2.9892588383818833E+002
1.036,2.9892472866162518E+002
1.038,2.9892357371609734E+002
1.04,2.9892241900155858E+002
1.042,2.9892126451796275E+002
1.044,2.9892011026526365E+002
1.046,2.9891895624341510E+002
1.048,2.9891780245237089E+002
1.05,2.9891664889208488E+002
1.052,2.9891549556251096E+002
1.054,2.9891434246360291E+002
1.056,2.9891318959531469E+002
1.058,2.9891203695760009E+002
1.06,2.9891088455041307E+002
1.062,2.9890973237370747E+002
1.064,2.9890858042743719E+002
1.066,2.9890742871155618E+002
1.068,2.9890627722601835E+002
1.07,2.9890512597077759E+002
1.072,2.9890397494578792E+002
1.074,2.9890282415100324E+002
1.076,2.9890167358637751E+002
1.078,2.9890052325186468E+002
