"time","J1_w","J2_w","J3_w","J4_w"
0.471,6.0677091929164710E+000,3.7317020661924247E+000,7.0999999999999241E-001,-8.2156503822261584E-015
0.474,6.0659278427862979E+000,3.7265912095704179E+000,7.3999999999999266E-001,-7.9936057773011271E-015
0.477,6.0623082435782267E+000,3.7214170339238546E+000,7.6999999999999202E-001,-8.6597395920762210E-015
0.48,6.0566625201665136E+000,3.7161791864228193E+000,7.9999999999999138E-001,-9.3258734068513149E-015
0.483,6.0488213456982542E+000,3.7108773151423149E+000,8.2999999999999163E-001,-9.1038288019262836E-015
0.486,6.0386354476692228E+000,3.7055110690672612E+000,8.5999999999999099E-001,-9.7699626167013776E-015
0.489,6.0259769359878392E+000,3.7000800980974895E+000,8.8999999999999124E-001,-9.5479180117763462E-015
0.492,6.0107404412392098E+000,3.6945840530527132E+000,9.1999999999999149E-001,-9.3258734068513149E-015
0.495,5.9928440530459017E+000,3.6890225856774923E+000,9.4999999999999130E-001,-9.5479180117763462E-015
0.498,5.9722300501964405E+000,3.6833953486461835E+000,9.7999999999999110E-001,-9.7699626167013776E-015
0.501,5.9488654160608219E+000,3.6777019955678756E+000,1.0099999999999909E+000,-9.9920072216264089E-015
0.504,5.9227421347181233E+000,3.6719421809913126E+000,1.0399999999999898E+000,-1.1102230246251565E-014
0.507,5.8938772651677276E+000,3.6661155604098057E+000,1.0699999999999901E+000,-1.0880185641326534E-014
0.51,5.8623127929654029E+000,3.6602217902661240E+000,1.0999999999999899E+000,-1.1102230246251565E-014
0.513,5.8281152606010957E+000,3.6542605279573825E+000,1.1299999999999901E+000,-1.0880185641326534E-014
0.516,5.7913751798991768E+000,3.6482314318399092E+000,1.1599999999999908E+000,-1.0214051826551440E-014
0.519,5.7522062316566771E+000,3.6421341612340989E+000,1.1899999999999915E+000,-9.5479180117763462E-015
0.522,5.7107442596235423E+000,3.6359683764292585E+000,1.2199999999999918E+000,-9.3258734068513149E-015
0.525,5.6671460677543575E+000,3.6297337386884325E+000,1.2499999999999916E+000,-9.5479180117763462E-015
0.528,5.6215880314071862E+000,3.6234299102532193E+000,1.2799999999999914E+000,-9.7699626167013776E-015
0.531,5.5742645348165718E+000,3.6170565543485687E+000,1.3099999999999912E+000,-9.9920072216264089E-015
0.534,5.5253862487097640E+000,3.6106133351875704E+000,1.3399999999999905E+000,-1.0658141036401503E-014
0.537,5.4751782633541257E+000,3.6040999179762272E+000,1.3699999999999912E+000,-9.9920072216264089E-015
0.54,5.4238780936068807E+000,3.5975159689182084E+000,1.3999999999999915E+000,-9.7699626167013776E-015
0.543,5.3717335736744829E+000,3.5908611552195984E+000,1.4299999999999913E+000,-9.9920072216264089E-015
0.546,5.3190006602678297E+000,3.5841351450936263E+000,1.4599999999999920E+000,-9.3258734068513149E-015
0.549,5.2659411636526192E+000,3.5773376077653776E+000,1.4899999999999918E+000,-9.5479180117763462E-015
0.552,5.2128204267341820E+000,3.5704682134765000E+000,1.5199999999999920E+000,-9.3258734068513149E-015
0.555,5.1599049727773378E+000,3.5635266334898867E+000,1.5499999999999927E+000,-8.6597395920762210E-015
0.558,5.1074601426402504E+000,3.5565125400943485E+000,1.5799999999999925E+000,-8.8817841970012523E-015
0.561,5.0557477424943187E+000,3.5494256066092742E+000,1.6099999999999932E+000,-8.2156503822261584E-015
0.564,5.0050237229090593E+000,3.5422655073892697E+000,1.6399999999999937E+000,-7.7715611723760958E-015
0.567,4.9555359099025580E+000,3.5350319178287881E+000,1.6699999999999935E+000,-7.9936057773011271E-015
0.57,4.9075218080967975E+000,3.5277245143667453E+000,1.6999999999999944E+000,-7.1054273576010019E-015
0.573,4.8612064954771661E+000,3.5203429744911121E+000,1.7299999999999944E+000,-7.1054273576010019E-015
0.576,4.8168006284423885E+000,3.5128869767435051E+000,1.7599999999999945E+000,-7.1054273576010019E-015
0.579,4.7744985748521316E+000,3.5053562007237504E+000,1.7899999999999938E+000,-7.7715611723760958E-015
0.582,4.7344766916434660E+000,3.4977503270944421E+000,1.8199999999999952E+000,-6.4392935428259079E-015
0.585,4.6968917623041255E+000,3.4900690375854717E+000,1.8499999999999950E+000,-6.6613381477509392E-015
0.588,4.6618796080716409E+000,3.4823120149985614E+000,1.8799999999999946E+000,-7.1054273576010019E-015
0.591,4.6295538851853850E+000,3.4744789432117682E+000,1.9099999999999946E+000,-7.1054273576010019E-015
0.594,4.6000050788671727E+000,3.4665695071839755E+000,1.9399999999999951E+000,-6.6613381477509392E-015
0.597,4.5732997029598748E+000,3.4585833929593708E+000,1.9699999999999953E+000,-6.4392935428259079E-015
0.6,4.5494797123280755E+000,3.4505202876719085E+000,1.9999999999999940E+000,-7.7715611723760958E-015
0.603,4.5285621332362993E+000,3.4423798795497609E+000,2.0299999999999949E+000,-6.2172489379008766E-015
0.606,4.5105389149855535E+000,3.4341618579197379E+000,2.0599999999999952E+000,-5.3290705182007514E-015
0.609,4.4953770041250500E+000,3.4258659132117133E+000,2.0899999999999954E+000,-4.4408920985006262E-015
0.612,4.4830186405803403E+000,3.4174917369630204E+000,2.1199999999999970E+000,-2.2204460492503131E-015
0.615,4.4733818730693740E+000,3.4090390218228324E+000,2.1499999999999968E+000,-1.7763568394002505E-015
0.618,4.4663612892315854E+000,3.4005074615565380E+000,2.1799999999999971E+000,-8.8817841970012523E-016
0.621,4.4618289539892722E+000,3.3918967510500875E+000,2.2099999999999973E+000,0.0000000000000000E+000
0.624,4.4596355478122804E+000,3.3832065863143317E+000,2.2399999999999975E+000,8.8817841970012523E-016
0.627,4.4596116947826356E+000,3.3744366644893429E+000,2.2699999999999969E+000,8.8817841970012523E-016
0.63,4.4615694686710805E+000,3.3655866838487167E+000,2.2999999999999967E+000,1.3322676295501878E-015
0.633,4.4653040636574488E+000,3.3566563438038619E+000,2.3299999999999956E+000,8.8817841970012523E-016
0.636,4.4705956148653980E+000,3.3476453449082748E+000,2.3599999999999959E+000,1.7763568394002505E-015
0.639,4.4772111525522664E+000,3.3385533888617882E+000,2.3899999999999952E+000,1.7763568394002505E-015
0.642,4.4849066726084992E+000,3.3293801785148194E+000,2.4199999999999959E+000,3.1086244689504383E-015
0.645,4.4934293049886938E+000,3.3201254178725859E+000,2.4499999999999962E+000,3.9968028886505635E-015
0.648,4.5025195608270900E+000,3.3107888120993172E+000,2.4799999999999969E+000,5.3290705182007514E-015
0.651,4.5119136382919054E+000,3.3013700675224422E+000,2.5099999999999967E+000,5.7731597280508140E-015
0.654,4.5213457667115540E+000,3.2918688916367653E+000,2.5399999999999974E+000,7.1054273576010019E-015
0.657,4.5305505681660820E+000,3.2822849931086218E+000,2.5699999999999976E+000,7.9936057773011271E-015
0.66,4.5392654155821290E+000,3.2726180817800170E+000,2.5999999999999979E+000,8.8817841970012523E-015
0.663,4.5472327664007670E+000,3.2628678686727550E+000,2.6299999999999977E+000,9.3258734068513149E-015
0.666,4.5542024511043655E+000,3.2530340659925407E+000,2.6599999999999979E+000,1.0214051826551440E-014
0.669,4.5599338962893325E+000,3.2431163871330728E+000,2.6899999999999986E+000,1.1546319456101628E-014
0.672,4.5641982625525426E+000,3.2331145466801137E+000,2.7199999999999980E+000,1.1546319456101628E-014
0.675,4.5667804782153807E+000,3.2230282604155516E+000,2.7499999999999978E+000,1.1990408665951691E-014
0.678,4.5674811508338857E+000,3.2128572453214357E+000,2.7799999999999985E+000,1.3322676295501878E-014
0.681,4.5661183395282654E+000,3.2026012195839986E+000,2.8099999999999992E+000,1.4654943925052066E-014
0.684,4.5625291724004171E+000,3.1922599025976615E+000,2.8399999999999990E+000,1.5099033134902129E-014
0.687,4.5565712946831169E+000,3.1818330149690253E+000,2.8699999999999992E+000,1.5987211554602254E-014
