"time","Capacitor1.i","IdealDiode3.v"
0.0392,-2.8291512814668221E+002,2.2179968503014704E+000
0.0394,-2.4505277167045443E+002,2.2558238992827899E+000
0.0396,-1.9083494619272324E+002,2.3100069999400787E+000
0.0398,-1.2517867018702208E+002,2.3756295273340493E+000
0.04,-5.3266911213878416E+001,2.4475088069162148E+000
0.0402,1.9581643944711516E+001,2.5203263400234510E+000
0.0404,8.8045444484071368E+001,2.5887606573431112E+000
0.0406,1.4693254765357653E+002,2.6476197919135607E+000
0.0408,1.9130971784953994E+002,2.6919703817603340E+000
0.041,2.1662524783151457E+002,2.7172604971766470E+000
0.0412,2.1882274640125007E+002,2.7194334368345987E+000
0.0414,1.9444334686570937E+002,2.6950299468391332E+000
0.0416,1.4071405646723298E+002,2.6412765826549696E+000
0.0418,5.5620282644084057E+001,2.5561582494698998E+000
0.042,-5.3881621972618461E+001,2.4303054058397526E+000
0.0422,-1.6935665020055191E+002,2.2441277845223269E+000
0.0424,-2.8935222737798733E+002,-1.2274659929585336E+002
0.0426,-2.6430023954551120E+002,-1.5061490427317503E+002
0.0428,-2.2000589836948404E+002,-1.7915970033204857E+002
0.043,-1.6114868786777703E+002,-2.0837358195273137E+002
0.0432,-9.2753675816620202E+001,-2.3821670752453596E+002
0.0434,-2.0064583158797671E+001,-2.6861413606262005E+002
0.0436,5.1587657846613290E+001,-2.9945528403107579E+002
0.0438,1.1691787336218377E+002,-3.3059426647159586E+002
0.044,1.7081813826697191E+002,-3.6185112070223772E+002
0.0442,2.0848482262431907E+002,-3.9301389091058127E+002
0.0444,2.2553833860685026E+002,-4.2384153253923671E+002
0.0446,2.1813290393115801E+002,-4.5406757687941655E+002
0.0448,1.8305386870308999E+002,-4.8340447915800974E+002
0.045,1.1780043718831385E+002,-5.1154855800208804E+002
0.0452,2.0739180450896402E+001,-5.3620696973116571E+002
0.0454,-9.2924748075630930E+001,-5.3576390128523599E+002
0.0456,-2.1199992463202469E+002,-5.3382577650566532E+002
0.0458,-2.8695258513712463E+002,-5.3037994256251864E+002
0.046,-2.5610942038235714E+002,-5.2676805956946282E+002
0.0462,-2.0743086006363657E+002,-5.2370926199347423E+002
0.0464,-1.4570328965135002E+002,-5.2140507003861103E+002
0.0466,-7.6019979036662122E+001,-5.1999069288279998E+002
0.0468,-3.6527333552661418E+000,-5.1953191528065190E+002
0.047,6.6080055151443162E+001,-5.2002372662889229E+002
0.0472,1.2794596264644846E+002,-5.2139071664453240E+002
0.0474,1.7692870151387939E+002,-5.2348922420958388E+002
0.0476,2.0835296851191507E+002,-5.2611118362972320E+002
0.0478,2.1800116932012071E+002,-5.2898957664433510E+002
0.048,2.0221940545776778E+002,-5.3180536111131005E+002
0.0482,1.5801035693548673E+002,-5.3419571474069016E+002
0.0484,8.3110993183590551E+001,-5.3576340318647908E+002
0.0486,-2.1411996278808449E+001,-5.3609434870605810E+002
0.0488,-1.3537466651655910E+002,-5.3494088317336264E+002
0.049,-2.5490800191339022E+002,-5.3222606488205315E+002
0.0492,-2.7785914300113808E+002,-5.2843855866211698E+002
0.0494,-2.3943089063292803E+002,-5.2500770649794504E+002
0.0496,-1.8477356114011388E+002,-5.2221893752602000E+002
0.0498,-1.1881348051301154E+002,-5.2025123421867647E+002
0.05,-4.6739887643251052E+001,-5.1921573657989484E+002
0.0502,2.6125424208433685E+001,-5.1915323159482796E+002
0.0504,9.4461020764208229E+001,-5.2003340343640048E+002
0.0506,1.5307828539296042E+002,-5.2175585632619459E+002
0.0508,1.9705043376374579E+002,-5.2415287963708579E+002
0.051,2.2183518170241314E+002,-5.2699388835196714E+002
0.0512,2.2338831422077629E+002,-5.2999143183615161E+002
0.0514,1.9826561509806442E+002,-5.3280863055852024E+002
0.0516,1.4371088357847640E+002,-5.3506786747902879E+002
0.0518,5.7728081594710659E+001,-5.3636053338573220E+002
0.052,-5.2939433526134053E+001,-5.3627611838243183E+002
0.0522,-1.6967857766242579E+002,-5.3461143020692248E+002
0.0524,-2.9101844390714308E+002,-4.0627163443461461E+002
0.0526,-2.6686673957210269E+002,-3.7467052522959131E+002
0.0528,-2.2341282391301556E+002,-3.4285820801320085E+002
0.053,-1.6531777189398642E+002,-3.1106454717084159E+002
0.0532,-9.7590037241939200E+001,-2.7949094839888306E+002
0.0534,-2.5458883720489432E+001,-2.4830541779379439E+002
0.0536,4.5756743832535086E+001,-2.1764104711441880E+002
0.0538,1.1078093209614083E+002,-1.8759537892087806E+002
0.054,1.6451209366311815E+002,-1.5823065402860391E+002
0.0542,2.0214988299033644E+002,-1.2957492380303654E+002
0.0544,2.1931488085648667E+002,-1.0162399039697468E+002
0.0546,2.1215836453556469E+002,-7.4344119528431122E+001
0.0548,1.7745971020464646E+002,-4.7675453219708785E+001
0.055,1.1270925719481852E+002,-2.1536034445375776E+001
0.0552,1.6279728447595328E+001,2.0002098788320368E+000
0.0554,-9.6442499544249060E+001,2.0332878150571405E+000
0.0556,-2.1447534943522189E+002,2.1220660290980486E+000
0.0558,-2.8685589953657598E+002,2.2138040412981264E+000
0.056,-2.5518221746571564E+002,2.2455021884564652E+000
0.0562,-2.0569646295863447E+002,2.2950136472279095E+000
0.0564,-1.4320281748339647E+002,2.3575344206159556E+000
0.0566,-7.2811376582943410E+001,2.4279544967754312E+000
0.0568,1.9056862471848035E-001,2.5009865632775994E+000
0.057,7.0470818002490660E+001,2.5712982920525054E+000
0.0572,1.3278511802362965E+002,2.6336451960628109E+000
0.0574,1.8210758489557924E+002,2.6830010561054305E+000
0.0576,2.1375575770191875E+002,2.7146829801831154E+000
0.0578,2.2350747325314376E+002,2.7244682869946999E+000
0.058,2.0770694547635213E+002,2.7087005961810191E+000
0.0582,1.6335768085402839E+002,2.6643827565912201E+000
0.0584,8.8200161929404601E+001,2.5892545442993273E+000
0.0586,-1.6746752394700081E+001,2.4843234492902107E+000
0.0588,-1.3133313376123613E+002,2.3697349907080243E+000
0.059,-2.5160733239483503E+002,2.2494555793711286E+000
0.0592,-2.7720862097669925E+002,2.2237033440943272E+000
0.0594,-2.3940750058695585E+002,2.2614692706562356E+000
0.0596,-1.8537571329306212E+002,2.3154664441938295E+000
0.0598,-1.2002573851138897E+002,2.3807827763744460E+000
0.06,-4.8533356917091282E+001,2.4522427772044653E+000
0.0602,2.3792411376822429E+001,2.5245376125306009E+000
0.0604,9.1641939626646035E+001,2.5923577351606490E+000
0.0606,1.4983719490348250E+002,2.6505250862748140E+000
0.0608,1.9346052249494136E+002,2.6941218834073810E+000
0.061,2.1797711648462706E+002,2.7186130971198121E+000
0.0612,2.1934842873341915E+002,2.7199598684362800E+000
0.0614,1.9413397906295046E+002,2.6947213296333348E+000
0.0616,1.3957929571230937E+002,2.6401425571988675E+000
0.0618,5.3688031020287269E+001,2.5542267016158631E+000
0.062,-5.6754966562026539E+001,2.4278116527339604E+000
0.0622,-1.7314630235531303E+002,2.2411793731941922E+000
0.0624,-2.9227053417244849E+002,-1.2291459060735748E+002
