"time","Resistor_1.R","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.0378,1,-198.2388608,306.6447675,-108.4059067
0.0379,1,-190.6140937,308.1225784,-117.5084847
0.038,1,-182.8012135,309.2963095,-126.495096
0.0381,1,-174.8079305,310.1648024,-135.3568719
0.0382,1,-166.6421332,310.7272002,-144.0850669
0.0383,1,-158.3118803,310.9829477,-152.6710674
0.0384,1,-149.8253926,310.9317926,-161.1063999
0.0385,1,-141.1910454,310.5737853,-169.3827399
0.0386,1,-132.4173597,309.9092792,-177.4919195
0.0387,1,-123.512994,308.9389301,-185.4259361
0.0388,1,-114.4867359,307.6636956,-193.1769597
0.0389,1,-105.3474932,306.0848341,-200.7373409
0.039,1,-96.10428525,304.2039038,-208.0996186
0.0391,1,-86.76623398,302.0227611,-215.2565271
0.0392,1,-77.34255491,299.5435583,-222.2010034
0.0393,1,-67.84254807,296.7687422,-228.9261941
0.0394,1,-58.27558884,293.7010511,-235.4254623
0.0395,1,-48.65111863,290.3435126,-241.692394
0.0396,1,-38.97863564,286.6994401,-247.7208045
0.0397,1,-29.26768544,282.7724299,-253.5047445
0.0398,1,-19.52785157,278.5663574,-259.0385059
0.0399,1,-9.768746073,274.0853736,-264.3166275
0.04,1,1.14E-11,269.3339006,-269.3339006
