"time","TRes","heatCapacitor_T","switch_Controll"
2.201,2.9828097490512141E+002,2.5130974905121434E+001,1
2.221,2.9827072270035450E+002,2.5120722700354520E+001,1
2.241,2.9826049098052960E+002,2.5110490980529619E+001,1
2.261,2.9825027970471558E+002,2.5100279704715604E+001,1
2.281,2.9840657513565117E+002,2.5256575135651190E+001,0
2.301,2.9859177979940137E+002,2.5441779799401388E+001,0
2.321,2.9877647546317144E+002,2.5626475463171460E+001,0
2.341,2.9896066372211402E+002,2.5810663722114043E+001,0
2.361,2.9914434616496726E+002,2.5994346164967283E+001,0
2.381,2.9932752437409266E+002,2.6177524374092684E+001,0
2.401,2.9951019992551136E+002,2.6360199925511381E+001,0
2.421,2.9969237438893947E+002,2.6542374388939493E+001,0
2.441,2.9987404932782516E+002,2.6724049327825185E+001,0
2.461,3.0005522629938309E+002,2.6905226299383116E+001,0
2.481,3.0023590685463057E+002,2.7085906854630593E+001,0
2.501,3.0041609253842222E+002,2.7266092538422242E+001,0
2.521,3.0059578488948466E+002,2.7445784889484685E+001,0
2.541,3.0077498544045108E+002,2.7624985440451098E+001,0
2.561,3.0095369571789541E+002,2.7803695717895437E+001,0
2.581,3.0113191724236623E+002,2.7981917242366251E+001,0
2.601,3.0130965152842066E+002,2.8159651528420682E+001,0
2.621,3.0148690008465695E+002,2.8336900084656975E+001,0
2.641,3.0166366441374873E+002,2.8513664413748756E+001,0
2.661,3.0183994601247690E+002,2.8689946012476923E+001,0
2.681,3.0195777019402237E+002,2.8807770194022396E+001,1
2.701,3.0194017138042778E+002,2.8790171380427807E+001,1
2.721,3.0192260773104249E+002,2.8772607731042513E+001,1
2.741,3.0190507917560490E+002,2.8755079175604919E+001,1
2.761,3.0188758564399365E+002,2.8737585643993668E+001,1
2.781,3.0187012706622778E+002,2.8720127066227803E+001,1
2.801,3.0185270337246601E+002,2.8702703372466033E+001,1
2.821,3.0183531449300648E+002,2.8685314493006501E+001,1
2.841,3.0181796035828660E+002,2.8667960358286621E+001,1
2.861,3.0180064089888293E+002,2.8650640898882955E+001,1
2.881,3.0178335604551063E+002,2.8633356045510652E+001,1
2.901,3.0176610572902348E+002,2.8616105729023502E+001,1
2.921,3.0174888988041329E+002,2.8598889880413310E+001,1
2.941,3.0173170843080970E+002,2.8581708430809726E+001,1
2.961,3.0171456131148005E+002,2.8564561311480077E+001,1
2.981,3.0169744845382871E+002,2.8547448453828736E+001,1
3.001,3.0168036978939773E+002,2.8530369789397753E+001,1
3.021,3.0166332524986547E+002,2.8513325249865488E+001,1
3.041,3.0164631476704699E+002,2.8496314767047011E+001,1
3.061,3.0162933827289334E+002,2.8479338272893358E+001,1
3.081,3.0168978779063804E+002,2.8539787790638059E+001,0
3.101,3.0186599806305702E+002,2.8715998063057043E+001,0
3.121,3.0204172731622208E+002,2.8891727316222102E+001,0
3.141,3.0221697703436706E+002,2.9066977034367085E+001,0
3.161,3.0239174869593552E+002,2.9241748695935541E+001,0
3.181,3.0256604377361197E+002,2.9416043773611989E+001,0
3.201,3.0273986373435378E+002,2.9589863734353798E+001,0
3.221,3.0291321003942238E+002,2.9763210039422404E+001,0
3.241,3.0308608414441437E+002,2.9936084144414394E+001,0
3.261,3.0325848749929241E+002,3.0108487499292437E+001,0
3.281,3.0343042154841561E+002,3.0280421548415632E+001,0
3.301,3.0360188773056996E+002,3.0451887730569979E+001,0
3.321,3.0377288747899837E+002,3.0622887478998393E+001,0
3.341,3.0394342222143092E+002,3.0793422221430944E+001,0
3.361,3.0411349338011439E+002,3.0963493380114414E+001,0
3.381,3.0428310237184110E+002,3.1133102371841119E+001,0
3.401,3.0445225060797929E+002,3.1302250607979317E+001,0
3.421,3.0462093949450087E+002,3.1470939494500897E+001,0
3.441,3.0478917043201130E+002,3.1639170432011326E+001,0
3.461,3.0495694481577698E+002,3.1806944815777001E+001,0
3.481,3.0512426403575506E+002,3.1974264035755084E+001,0
3.501,3.0529112947661991E+002,3.2141129476619938E+001,0
3.521,3.0545754251779266E+002,3.2307542517792683E+001,0
3.541,3.0550914075806122E+002,3.2359140758061244E+001,1
3.561,3.0548444594692364E+002,3.2334445946923665E+001,1
3.581,3.0545980047851612E+002,3.2309800478516138E+001,1
3.601,3.0543520425424691E+002,3.2285204254246935E+001,1
3.621,3.0541065717572121E+002,3.2260657175721235E+001,1
3.641,3.0538615914474076E+002,3.2236159144740782E+001,1
3.661,3.0536171006330397E+002,3.2211710063303997E+001,1
3.681,3.0533730983360431E+002,3.2187309833604331E+001,1
3.701,3.0531295835803121E+002,3.2162958358031233E+001,1
3.721,3.0528865553916910E+002,3.2138655539169122E+001,1
3.741,3.0526440127979669E+002,3.2114401279796709E+001,1
3.761,3.0524019548288743E+002,3.2090195482887452E+001,1
3.781,3.0521603805160845E+002,3.2066038051608473E+001,1
3.801,3.0519192888932025E+002,3.2041928889320275E+001,1
3.821,3.0516786789957649E+002,3.2017867899576515E+001,1
3.841,3.0514385498612364E+002,3.1993854986123665E+001,1
3.861,3.0511989005290019E+002,3.1969890052900212E+001,1
3.881,3.0509597300403681E+002,3.1945973004036830E+001,1
3.901,3.0507210374385602E+002,3.1922103743856042E+001,1
3.921,3.0522958191361221E+002,3.2079581913612230E+001,0
3.941,3.0539616180309213E+002,3.2246161803092150E+001,0
3.961,3.0556229016038105E+002,3.2412290160381076E+001,0
3.981,3.0572796835639110E+002,3.2577968356391125E+001,0
4.001,3.0589319775685198E+002,3.2743197756851998E+001,0
4.021,3.0605797972233984E+002,3.2907979722339860E+001,0
4.041,3.0622231560830284E+002,3.3072315608302858E+001,0
4.061,3.0638620676508879E+002,3.3236206765088809E+001,0
4.081,3.0654965453797149E+002,3.3399654537971514E+001,0
4.101,3.0671266026717700E+002,3.3562660267177023E+001,0
4.121,3.0687522528791004E+002,3.3725225287910064E+001,0
4.141,3.0703735093037977E+002,3.3887350930379796E+001,0
4.161,3.0719903851982542E+002,3.4049038519825444E+001,0
4.181,3.0736028937654282E+002,3.4210289376542846E+001,0
4.201,3.0752110481590847E+002,3.4371104815908495E+001,0
4.221,3.0768148614840607E+002,3.4531486148406088E+001,0
4.241,3.0784143467965089E+002,3.4691434679650911E+001,0
4.261,3.0800095171041465E+002,3.4850951710414677E+001,0
4.281,3.0816003853665040E+002,3.5010038536650427E+001,0
4.301,3.0831869644951718E+002,3.5168696449517199E+001,0
4.321,3.0847692673540433E+002,3.5326926735404356E+001,0
4.341,3.0863473067595498E+002,3.5484730675955007E+001,0
4.361,3.0879210954809116E+002,3.5642109548091184E+001,0
4.381,3.0894906462403719E+002,3.5799064624037214E+001,0
4.401,3.0910559717134282E+002,3.5955597171342845E+001,0
4.421,3.0920528268490273E+002,3.6055282684902750E+001,1
4.441,3.0917320260839813E+002,3.6023202608398151E+001,1
4.461,3.0914118663113061E+002,3.5991186631130631E+001,1
4.481,3.0910923462502359E+002,3.5959234625023612E+001,1
4.501,3.0907734646225606E+002,3.5927346462256082E+001,1
4.521,3.0904552201526269E+002,3.5895522015262713E+001,1
4.541,3.0901376115673304E+002,3.5863761156733062E+001,1
4.561,3.0898206375961047E+002,3.5832063759610492E+001,1
4.581,3.0895042969709306E+002,3.5800429697093080E+001,1
4.601,3.0891885884263178E+002,3.5768858842631801E+001,1
4.621,3.0888735106993062E+002,3.5737351069930639E+001,1
4.641,3.0885590625294572E+002,3.5705906252945738E+001,1
4.66,3.0882609187496649E+002,3.5676091874966517E+001,1
4.68,3.0879476946004837E+002,3.5644769460048394E+001,1
4.7,3.0876350963048287E+002,3.5613509630482895E+001,1
4.72,3.0873231226121811E+002,3.5582312261218135E+001,1
4.74,3.0870117722745221E+002,3.5551177227452229E+001,1
4.76,3.0867010440463264E+002,3.5520104404632661E+001,1
4.78,3.0878977147715079E+002,3.5639771477150816E+001,0
4.8,3.0894673284821994E+002,3.5796732848219960E+001,0
4.82,3.0910327167182669E+002,3.5953271671826712E+001,0
4.84,3.0925938921093950E+002,3.6109389210939526E+001,0
4.86,3.0941508672389909E+002,3.6265086723899117E+001,0
4.88,3.0957036546444186E+002,3.6420365464441886E+001,0
4.9,3.0972522668172252E+002,3.6575226681722540E+001,0
4.92,3.0987967162033743E+002,3.6729671620337456E+001,0
4.94,3.1003370152034705E+002,3.6883701520347074E+001,0
4.96,3.1018731761729811E+002,3.7037317617298129E+001,0
4.98,3.1034052114224670E+002,3.7190521142246723E+001,0
5,3.1049331332178008E+002,3.7343313321780101E+001,0
5.02,3.1064569537803862E+002,3.7495695378038647E+001,0
5.04,3.1079766852873774E+002,3.7647668528737768E+001,0
5.06,3.1094923398719015E+002,3.7799233987190178E+001,0
5.08,3.1110039296232702E+002,3.7950392962327044E+001,0
5.1,3.1125114665871916E+002,3.8101146658719188E+001,0
5.12,3.1140149627659923E+002,3.8251496276599255E+001,0
5.14,3.1155144301188193E+002,3.8401443011881952E+001,0
5.16,3.1170098805618568E+002,3.8550988056185702E+001,0
5.18,3.1185013259685331E+002,3.8700132596853337E+001,0
5.2,3.1199887781697271E+002,3.8848877816972731E+001,0
5.22,3.1214722489539736E+002,3.8997224895397380E+001,0
5.24,3.1229517500676712E+002,3.9145175006767147E+001,0
5.26,3.1244272932152836E+002,3.9292729321528384E+001,0
5.28,3.1258988900595369E+002,3.9439889005953717E+001,0
5.3,3.1273665522216299E+002,3.9586655222163017E+001,0
5.32,3.1288302912814237E+002,3.9733029128142391E+001,0
5.34,3.1302901187776456E+002,3.9879011877764583E+001,0
5.36,3.1310971406274143E+002,3.9959714062741455E+001,1
5.38,3.1306983253748223E+002,3.9919832537482250E+001,1
5.4,3.1303003069954372E+002,3.9880030699543738E+001,1
5.42,3.1299030838970248E+002,3.9840308389702500E+001,1
5.44,3.1295066544905359E+002,3.9800665449053611E+001,1
5.46,3.1291110171900931E+002,3.9761101719009332E+001,1
5.48,3.1287161704129880E+002,3.9721617041298828E+001,1
5.5,3.1283221125796751E+002,3.9682211257967538E+001,1
5.52,3.1279288421137642E+002,3.9642884211376440E+001,1
5.54,3.1275363574420169E+002,3.9603635744201711E+001,1
5.56,3.1271446569943367E+002,3.9564465699433697E+001,1
5.58,3.1267537392037633E+002,3.9525373920376353E+001,1
5.6,3.1263636025064693E+002,3.9486360250646953E+001,1
5.62,3.1259742453417522E+002,3.9447424534175241E+001,1
5.64,3.1255856661520278E+002,3.9408566615202801E+001,1
5.66,3.1251978633828202E+002,3.9369786338282040E+001,1
5.68,3.1248108354827662E+002,3.9331083548276638E+001,0
5.7,3.1262814067282659E+002,3.9478140672826612E+001,0
5.72,3.1277480463106485E+002,3.9624804631064876E+001,0
5.74,3.1292107657990482E+002,3.9771076579904843E+001,0
5.76,3.1306695767215137E+002,3.9916957672151398E+001,0
5.78,3.1321244905652026E+002,4.0062449056520279E+001,0
5.8,3.1335755187765801E+002,4.0207551877658034E+001,0
5.82,3.1350226727616126E+002,4.0352267276161285E+001,0
5.84,3.1364659638859558E+002,4.0496596388595606E+001,0
5.86,3.1379054034751510E+002,4.0640540347515127E+001,0
5.88,3.1393410028148082E+002,4.0784100281480846E+001,0
5.9,3.1407727731508021E+002,4.0927277315080232E+001,0
5.92,3.1422007256894540E+002,4.1070072568945420E+001,0
5.94,3.1436248715977183E+002,4.1212487159771854E+001,0
5.96,3.1450452220033719E+002,4.1354522200337215E+001,0
5.98,3.1464617879951891E+002,4.1496178799518930E+001,0
6,3.1478745806231325E+002,4.1637458062313272E+001,0
6.02,3.1492836108985273E+002,4.1778361089852751E+001,0
6.04,3.1506888897942486E+002,4.1918888979424878E+001,0
6.06,3.1520904282448913E+002,4.2059042824489154E+001,0
6.08,3.1534882371469575E+002,4.2198823714695777E+001,0
6.1,3.1548823273590244E+002,4.2338232735902466E+001,0
6.12,3.1562727097019246E+002,4.2477270970192478E+001,0
6.14,3.1576593949589193E+002,4.2615939495891951E+001,0
6.16,3.1590423938758710E+002,4.2754239387587120E+001,0
6.18,3.1604217171614141E+002,4.2892171716141434E+001,0
6.2,3.1617973754871304E+002,4.3029737548713058E+001,0
6.22,3.1631693794877157E+002,4.3166937948771590E+001,0
6.24,3.1645377397611441E+002,4.3303773976114428E+001,0
6.26,3.1659024668688465E+002,4.3440246686884677E+001,0
6.28,3.1672635713358659E+002,4.3576357133586612E+001,0
6.3,3.1686210636510333E+002,4.3712106365103352E+001,0
6.32,3.1699749542671213E+002,4.3847495426712157E+001,0
6.34,3.1713252536010174E+002,4.3982525360101761E+001,0
6.36,3.1726719720338804E+002,4.4117197203388059E+001,0
6.38,3.1740151199113075E+002,4.4251511991130769E+001,1
6.4,3.1735305501957367E+002,4.4203055019573696E+001,1
6.42,3.1730469486994639E+002,4.4154694869946411E+001,1
6.44,3.1725643134878874E+002,4.4106431348788760E+001,1
6.46,3.1720826426302744E+002,4.4058264263027468E+001,1
6.48,3.1716019341997463E+002,4.4010193419974655E+001,1
6.5,3.1711221862732776E+002,4.3962218627327786E+001,1
6.52,3.1706433969316834E+002,4.3914339693168358E+001,1
6.54,3.1701655642596154E+002,4.3866556425961562E+001,1
6.56,3.1696886863455501E+002,4.3818868634555031E+001,1
6.58,3.1692127612817836E+002,4.3771276128178386E+001,1
6.6,3.1687377871644253E+002,4.3723778716442553E+001,1
6.62,3.1682637620933889E+002,4.3676376209338912E+001,1
6.64,3.1677906841723836E+002,4.3629068417238386E+001,1
6.66,3.1673185515089074E+002,4.3581855150890760E+001,1
6.68,3.1668473622142398E+002,4.3534736221423998E+001,1
6.7,3.1676578481929295E+002,4.3615784819292969E+001,0
6.72,3.1690142943234713E+002,4.3751429432347152E+001,0
6.74,3.1703671417813035E+002,4.3886714178130376E+001,0
6.76,3.1717164009729311E+002,4.4021640097293130E+001,0
6.78,3.1730620822691753E+002,4.4156208226917556E+001,0
6.8,3.1744041960053403E+002,4.4290419600534051E+001,0
6.82,3.1757427524813744E+002,4.4424275248137462E+001,0
6.84,3.1770777619620202E+002,4.4557776196202042E+001,0
