"time","V","X"
0.358,-3.0122342487251025E-001,1.9291805945823093E+000
0.359,-3.0151231635734249E-001,1.9288792266585373E+000
0.36,-3.0180003911624659E-001,1.9285775704415966E+000
0.361,-3.0208660087283851E-001,1.9282756270634354E+000
0.362,-3.0237201000100833E-001,1.9279733977509002E+000
0.363,-3.0265627362302494E-001,1.9276708835335410E+000
0.364,-3.0293940038933459E-001,1.9273680857050037E+000
0.365,-3.0322139720754177E-001,1.9270650052626985E+000
0.366,-3.0350227195205487E-001,1.9267616433588211E+000
0.367,-3.0378203246622787E-001,1.9264580011405847E+000
0.368,-3.0406068642439704E-001,1.9261540797300489E+000
0.369,-3.0433824159150025E-001,1.9258498802620816E+000
0.37,-3.0461470505427990E-001,1.9255454037720539E+000
0.371,-3.0489008433436521E-001,1.9252406513585325E+000
0.372,-3.0516438694798453E-001,1.9249356241189117E+000
0.373,-3.0543762051399315E-001,1.9246303231651092E+000
0.374,-3.0570979118980907E-001,1.9243247493954367E+000
0.375,-3.0598090697297459E-001,1.9240189039764153E+000
0.376,-3.0625097498543541E-001,1.9237127879463458E+000
0.377,-3.0652000269235774E-001,1.9234064023931328E+000
0.378,-3.0678799721148009E-001,1.9230997483535943E+000
0.379,-3.0705496575950275E-001,1.9227928268785461E+000
0.38,-3.0732091474064482E-001,1.9224856389001486E+000
0.381,-3.0758585127841814E-001,1.9221781854549624E+000
0.382,-3.0784978254645451E-001,1.9218704675863836E+000
0.383,-3.0811271541018503E-001,1.9215624862925291E+000
0.384,-3.0837465676197878E-001,1.9212542425750270E+000
0.385,-3.0863561322398747E-001,1.9209457373958412E+000
0.386,-3.0889559192719807E-001,1.9206369717904306E+000
0.387,-3.0915459920115296E-001,1.9203279466774477E+000
0.388,-3.0941264190433704E-001,1.9200186630519429E+000
0.389,-3.0966972690760541E-001,1.9197091219103182E+000
0.39,-3.0992585978174692E-001,1.9193993240600800E+000
0.391,-3.1018104774589389E-001,1.9190892705474041E+000
0.392,-3.1043529734706327E-001,1.9187789623205100E+000
0.393,-3.1068861516285956E-001,1.9184684003315970E+000
0.394,-3.1094100772662520E-001,1.9181575855259980E+000
0.395,-3.1119248087765161E-001,1.9178465187482463E+000
0.396,-3.1144304107300802E-001,1.9175352009319102E+000
0.397,-3.1169269485331308E-001,1.9172236330221553E+000
0.398,-3.1194144832704079E-001,1.9169118159012435E+000
0.399,-3.1218930801785855E-001,1.9165997505109553E+000
0.4,-3.1243628012796082E-001,1.9162874377461818E+000
0.401,-3.1268236996258014E-001,1.9159748783720532E+000
0.402,-3.1292758426434825E-001,1.9156620733606884E+000
0.403,-3.1317192923660464E-001,1.9153490236058663E+000
0.404,-3.1341541044753335E-001,1.9150357299094432E+000
0.405,-3.1365803395897895E-001,1.9147221931440279E+000
0.406,-3.1389980608268314E-001,1.9144084142176974E+000
0.407,-3.1414073232082051E-001,1.9140943939215782E+000
0.408,-3.1438081873356266E-001,1.9137801331266830E+000
0.409,-3.1462007108336776E-001,1.9134656326607598E+000
0.41,-3.1485849541640737E-001,1.9131508933918375E+000
0.411,-3.1509609689193085E-001,1.9128359160601975E+000
0.412,-3.1533288153187000E-001,1.9125207015295695E+000
0.413,-3.1556885508606558E-001,1.9122052506241316E+000
0.414,-3.1580402319455220E-001,1.9118895641518654E+000
0.415,-3.1603839132180889E-001,1.9115736428951717E+000
0.416,-3.1627196516580397E-001,1.9112574876694506E+000
0.417,-3.1650475030291508E-001,1.9109410992722153E+000
0.418,-3.1673675241999910E-001,1.9106244785162825E+000
0.419,-3.1696797675760657E-001,1.9103076261502170E+000
0.42,-3.1719842852767294E-001,1.9099905429181132E+000
0.421,-3.1742811339124305E-001,1.9096732296277850E+000
0.422,-3.1765703686482122E-001,1.9093556870658492E+000
0.423,-3.1788520372443496E-001,1.9090379159129189E+000
0.424,-3.1811261954612502E-001,1.9087199169632645E+000
0.425,-3.1833928965307806E-001,1.9084016909745980E+000
0.426,-3.1856521927707643E-001,1.9080832386911428E+000
0.427,-3.1879041346295850E-001,1.9077645608300839E+000
0.428,-3.1901487755523633E-001,1.9074456581507491E+000
0.429,-3.1923861656760316E-001,1.9071265313649735E+000
0.43,-3.1946163589996218E-001,1.9068071812389138E+000
0.431,-3.1968394060195049E-001,1.9064876084885169E+000
0.432,-3.1990553486719286E-001,1.9061678137079863E+000
0.433,-3.2012642428532467E-001,1.9058477976890340E+000
0.434,-3.2034661399163106E-001,1.9055275611583427E+000
0.435,-3.2056610894416326E-001,1.9052071048170025E+000
0.436,-3.2078491341852738E-001,1.9048864292692034E+000
0.437,-3.2100303286156601E-001,1.9045655352842550E+000
0.438,-3.2122047215322991E-001,1.9042444235507785E+000
0.439,-3.2143723549762487E-001,1.9039230946616106E+000
0.44,-3.2165332825898973E-001,1.9036015493727807E+000
0.441,-3.2186875520766606E-001,1.9032797883559933E+000
0.442,-3.2208352038561117E-001,1.9029578121799837E+000
0.443,-3.2229762894916864E-001,1.9026356215699494E+000
0.444,-3.2251108569382420E-001,1.9023132171996837E+000
0.445,-3.2272389506860466E-001,1.9019905996937898E+000
0.446,-3.2293606167036920E-001,1.9016677696972177E+000
0.447,-3.2314759027770729E-001,1.9013447278798659E+000
0.448,-3.2335848498902126E-001,1.9010214748158023E+000
0.449,-3.2356875049545214E-001,1.9006980111617422E+000
0.45,-3.2377839142781911E-001,1.9003743375653737E+000
0.451,-3.2398741234653528E-001,1.9000504546639720E+000
0.452,-3.2419581736472275E-001,1.8997263630318317E+000
0.453,-3.2440361094373860E-001,1.8994020632914552E+000
0.454,-3.2461079769911344E-001,1.8990775560862989E+000
0.455,-3.2481738169824492E-001,1.8987528419828688E+000
0.456,-3.2502336734049919E-001,1.8984279215934665E+000
0.457,-3.2522875910389731E-001,1.8981027955407999E+000
0.458,-3.2543356080669089E-001,1.8977774643553276E+000
0.459,-3.2563777691694407E-001,1.8974519286573925E+000
0.46,-3.2584141163290198E-001,1.8971261890292956E+000
0.461,-3.2604446921109864E-001,1.8968002460608957E+000
0.462,-3.2624695394361575E-001,1.8964741003464016E+000
0.463,-3.2644886976719245E-001,1.8961477524303085E+000
0.464,-3.2665022057410315E-001,1.8958212028505501E+000
0.465,-3.2685101066793892E-001,1.8954944522014319E+000
0.466,-3.2705124412491987E-001,1.8951675010452440E+000
0.467,-3.2725092509883486E-001,1.8948403499544171E+000
0.468,-3.2745005719598713E-001,1.8945129994254577E+000
0.469,-3.2764864466008586E-001,1.8941854500421917E+000
0.47,-3.2784669147717627E-001,1.8938577023523651E+000
0.471,-3.2804420141702084E-001,1.8935297568735052E+000
0.472,-3.2824117851725254E-001,1.8932016141594059E+000
0.473,-3.2843762654405784E-001,1.8928732747260837E+000
0.474,-3.2863354945384249E-001,1.8925447391150947E+000
0.475,-3.2882895117680699E-001,1.8922160078638193E+000
0.476,-3.2902383527991175E-001,1.8918870814594508E+000
