"time","outputs"
0.0458,2.6408390880864874E+002
0.046,2.6226249507016274E+002
0.0462,2.6070862974412262E+002
0.0464,2.5952548459245003E+002
0.0466,2.5878323166250624E+002
0.0468,2.5851742150570374E+002
0.047,2.5872823066328220E+002
0.0472,2.5938059249159414E+002
0.0474,2.6040520540672622E+002
0.0476,2.6170039283403526E+002
0.0478,2.6313476999142000E+002
0.048,2.6455065453951192E+002
0.0482,2.6576814149604326E+002
0.0484,2.6658974800039272E+002
0.0486,2.6680789642481329E+002
0.0488,2.6628858264125358E+002
0.049,2.6499136789654528E+002
0.0492,2.6310921941700775E+002
0.0494,2.6137440835925440E+002
0.0496,2.5995244222941938E+002
0.0498,2.5893529778462357E+002
0.05,2.5838116418512504E+002
0.0502,2.5831312153394276E+002
0.0504,2.5871869862371670E+002
0.0506,2.5955031693128859E+002
0.0508,2.6072660786697270E+002
0.051,2.6213457060760220E+002
0.0512,2.6363251895618936E+002
0.0514,2.6505374799352188E+002
0.0516,2.6621083520710954E+002
0.0518,2.6690047665287028E+002
0.052,2.6692194109880973E+002
0.0522,2.6618342488638234E+002
0.0524,2.6464721502657892E+002
0.0526,2.6277558213989363E+002
0.0528,2.6113169691051104E+002
0.053,2.5982894976612721E+002
0.0532,2.5894843321725216E+002
0.0534,2.5853704364775848E+002
0.0536,2.5860644368700014E+002
0.0538,2.5913290570656358E+002
0.054,2.6005803701977510E+002
0.0542,2.6129036745101291E+002
0.0544,2.6270776052677610E+002
0.0546,2.6416059105132894E+002
0.0548,2.6547561467418649E+002
0.055,2.6646043961183125E+002
0.0552,2.6690851699271968E+002
0.0554,2.6664451855691794E+002
0.0556,2.6561179544123888E+002
0.0558,2.6383360049024378E+002
0.056,2.6201553132726241E+002
0.0562,2.6047046812989942E+002
0.0564,2.5930136946356009E+002
0.0566,2.5857807876241696E+002
0.0568,2.5833571021146162E+002
0.057,2.5857390625612840E+002
0.0572,2.5925698058196821E+002
0.0574,2.6031494036791213E+002
0.0576,2.6164536178227962E+002
0.0578,2.6311607350095221E+002
0.058,2.6456858490632987E+002
0.0582,2.6582217897299302E+002
0.0584,2.6667857502672268E+002
0.0586,2.6692935583086967E+002
0.0588,2.6643910726483557E+002
0.059,2.6516641875454752E+002
0.0592,2.6329486574913511E+002
0.0594,2.6156234162489841E+002
0.0596,2.6013849317944499E+002
0.0598,2.5911535281849274E+002
0.06,2.5855125625592336E+002
0.0602,2.5846951750358591E+002
0.0604,2.5885798114586458E+002
0.0606,2.5966945906706906E+002
0.0608,2.6082303880558271E+002
0.061,2.6220623106625874E+002
0.0612,2.6367790506724344E+002
0.0614,2.6507194274544804E+002
0.0616,2.6620152678485738E+002
0.0618,2.6686396331531597E+002
0.062,2.6685922605986514E+002
0.0622,2.6609643706875647E+002
0.0624,2.6453878337943974E+002
0.0626,2.6265992707873693E+002
0.0628,2.6101140369534977E+002
0.063,2.5970669770362895E+002
0.0632,2.5882693601520629E+002
0.0634,2.5841898920757950E+002
0.0636,2.5849443466937680E+002
0.0638,2.5902940218376784E+002
0.064,2.5996530247757028E+002
0.0642,2.6121041932464334E+002
0.0644,2.6264232635120425E+002
0.0646,2.6411107117790186E+002
0.0648,2.6544305235734691E+002
0.065,2.6644549910356704E+002
0.0652,2.6691147005038272E+002
0.0654,2.6666520561009008E+002
0.0656,2.6564954661683595E+002
0.0658,2.6388429695833815E+002
0.066,2.6207257118119924E+002
0.0662,2.6053256703120388E+002
0.0664,2.5936713534878692E+002
0.0666,2.5864604302982548E+002
0.0668,2.5840436049809125E+002
0.067,2.5864172007410639E+002
0.0672,2.5932245906634972E+002
0.0674,2.6037664138836607E+002
0.0676,2.6170193168751598E+002
0.0678,2.6316627679753367E+002
0.068,2.6461133122158287E+002
0.0682,2.6585654671404018E+002
0.0684,2.6670383122280043E+002
0.0686,2.6694495988373637E+002
0.0688,2.6644465806888132E+002
0.069,2.6516178622945984E+002
0.0692,2.6328355212435235E+002
0.0694,2.6154617728574169E+002
0.0696,2.6011785231818538E+002
0.0698,2.5909070750181218E+002
0.07,2.5852316564360399E+002
0.0702,2.5843861517474363E+002
0.0704,2.5882496081969498E+002
0.0706,2.5963505903968502E+002
0.0708,2.6078802545187790E+002
0.071,2.6217138177526925E+002
0.0712,2.6364399099077087E+002
0.0714,2.6503971174259476E+002
0.0716,2.6617168693948923E+002
0.0718,2.6683716738951932E+002
0.072,2.6683610946098133E+002
0.0722,2.6607766357231242E+002
0.0724,2.6452484807817234E+002
0.0726,2.6264909404986253E+002
0.0728,2.6100390243283886E+002
0.073,2.5970268315410124E+002
0.0732,2.5882648539652712E+002
0.0734,2.5842210055933498E+002
0.0736,2.5850102716152469E+002
0.0738,2.5903931817074658E+002
0.074,2.5997831124652060E+002
0.0742,2.6122622244908115E+002
0.0744,2.6266056452620285E+002
0.0746,2.6413133238046311E+002
0.0748,2.6546488114683046E+002
0.075,2.6646840685240409E+002
0.0752,2.6693494524842504E+002
0.0754,2.6668862562304309E+002
0.0756,2.6567222057522866E+002
0.0758,2.6390567003814260E+002
0.076,2.6209232755572856E+002
0.0762,2.6055027463190794E+002
0.0764,2.5938240892246120E+002
0.0766,2.5865855251281988E+002
0.0768,2.5841383814034378E+002
0.077,2.5864796615944647E+002
0.0772,2.5932534610710019E+002
0.0774,2.6037611670646305E+002
0.0776,2.6169801833040617E+002
0.0778,2.6315907277413942E+002
0.078,2.6460100708087401E+002
0.0782,2.6584334152540310E+002
0.0784,2.6668804705255906E+002
0.0786,2.6692696615229175E+002
0.0788,2.6642497225193375E+002
0.079,2.6514099486976579E+002
0.0792,2.6326271043609717E+002
0.0794,2.6152597199336373E+002
0.0796,2.6009872871524954E+002
0.0798,2.5907308543724895E+002
0.08,2.5850743030982818E+002
0.0802,2.5842510869406050E+002
0.0804,2.5881397481263474E+002
0.0806,2.5962682833654856E+002
0.0808,2.6078272308290582E+002
0.081,2.6216911534609119E+002
0.0812,2.6364480051875591E+002
0.0814,2.6504356899712684E+002
0.0816,2.6617849629573277E+002
0.0818,2.6684676817169719E+002
0.082,2.6684825693669802E+002
0.0822,2.6609199305404798E+002
0.0824,2.6454090981472905E+002
0.0826,2.6266546202834746E+002
0.0828,2.6102021317550503E+002
0.083,2.5971857566822098E+002
0.0832,2.5884160915987553E+002
0.0834,2.5843612324707078E+002
0.0836,2.5851364194421927E+002
0.0838,2.5905025042339588E+002
0.084,2.5998732452195378E+002
0.0842,2.6123312358594205E+002
0.0844,2.6266520778130575E+002
0.0846,2.6413362249728038E+002
0.0848,2.6546477529572098E+002
0.085,2.6646591540340910E+002
0.0852,2.6693013148776771E+002
0.0854,2.6668162727213587E+002
0.0856,2.6566325145903653E+002
0.0858,2.6389534124694876E+002
0.086,2.6208152001130730E+002
0.0862,2.6053922926007982E+002
0.0864,2.5937137110837273E+002
0.0866,2.5864776665220023E+002
0.0868,2.5840354223092481E+002
0.087,2.5863838655218996E+002
0.0872,2.5931669253289914E+002
0.0874,2.6036857768754442E+002
0.0876,2.6169175707674782E+002
0.0878,2.6315422365414923E+002
