"time","TRes","heatCapacitor_T","switch_Controll"
4.761,3.0866977595964642E+002,3.5519775959646438E+001,0
4.781,3.0882694971090478E+002,3.5676949710904807E+001,0
4.801,3.0898371030893549E+002,3.5833710308935508E+001,0
4.821,3.0914009512493800E+002,3.5990095124938023E+001,0
4.841,3.0929603949299548E+002,3.6146039492995499E+001,0
4.861,3.0945152981124471E+002,3.6301529811244734E+001,0
4.881,3.0960661846722923E+002,3.6456618467229248E+001,0
4.901,3.0976130546094902E+002,3.6611305460949040E+001,0
4.921,3.0991559079240403E+002,3.6765590792404055E+001,0
4.941,3.1006947446159433E+002,3.6919474461594348E+001,0
4.961,3.1022295646851984E+002,3.7072956468519862E+001,0
4.981,3.1037603681318063E+002,3.7226036813180656E+001,0
5,3.1052109110093562E+002,3.7371091100935644E+001,0
5.02,3.1067340100145458E+002,3.7523401001454602E+001,0
5.04,3.1082532513199180E+002,3.7675325131991826E+001,0
5.06,3.1097685025763315E+002,3.7826850257633168E+001,0
5.08,3.1112797637837866E+002,3.7977976378378685E+001,0
5.1,3.1127870349422830E+002,3.8128703494228319E+001,0
5.12,3.1142903160518210E+002,3.8279031605182126E+001,0
5.14,3.1157896071124003E+002,3.8428960711240052E+001,0
5.16,3.1172849081240207E+002,3.8578490812402094E+001,0
5.18,3.1187762190866823E+002,3.8727621908668254E+001,0
5.2,3.1202635400003857E+002,3.8876354000038589E+001,0
5.22,3.1217468708651307E+002,3.9024687086513097E+001,0
5.24,3.1232262116809164E+002,3.9172621168091666E+001,0
5.26,3.1247015624477439E+002,3.9320156244774410E+001,0
5.28,3.1261729231656130E+002,3.9467292316561327E+001,0
5.3,3.1276402938345228E+002,3.9614029383452305E+001,0
5.32,3.1291036744544743E+002,3.9760367445447457E+001,0
5.34,3.1305630650254676E+002,3.9906306502546784E+001,0
5.36,3.1304731049149314E+002,3.9897310491493158E+001,1
5.38,3.1300759672135524E+002,3.9857596721355264E+001,1
5.4,3.1296797635925128E+002,3.9817976359251304E+001,1
5.42,3.1292842626006501E+002,3.9778426260065032E+001,1
5.44,3.1288894642379643E+002,3.9738946423796449E+001,1
5.46,3.1284953685044553E+002,3.9699536850445554E+001,1
5.48,3.1281019754001233E+002,3.9660197540012348E+001,1
5.5,3.1277092849249681E+002,3.9620928492496830E+001,1
5.52,3.1273173080517222E+002,3.9581730805172242E+001,1
5.54,3.1269264965417671E+002,3.9542649654176728E+001,1
5.56,3.1265364303343028E+002,3.9503643033430308E+001,1
5.58,3.1261471094293285E+002,3.9464710942932868E+001,1
5.6,3.1257585338268450E+002,3.9425853382684522E+001,1
5.62,3.1253707035268513E+002,3.9387070352685157E+001,1
5.64,3.1249836185293475E+002,3.9348361852934772E+001,1
5.66,3.1245972788343346E+002,3.9309727883433482E+001,1
5.68,3.1251592019833180E+002,3.9365920198331821E+001,0
5.7,3.1266275515328971E+002,3.9512755153289731E+001,0
5.72,3.1280924123182541E+002,3.9659241231825433E+001,0
5.74,3.1295537843393902E+002,3.9805378433939040E+001,0
5.76,3.1310108123469024E+002,3.9951081234690264E+001,0
5.78,3.1324637978427074E+002,4.0096379784270766E+001,0
5.8,3.1339130553888322E+002,4.0241305538883239E+001,0
5.82,3.1353585849852772E+002,4.0385858498527739E+001,0
5.84,3.1368003866320413E+002,4.0530038663204152E+001,0
5.86,3.1382384603291257E+002,4.0673846032912593E+001,0
5.88,3.1396728060765292E+002,4.0817280607652947E+001,0
5.9,3.1411034238742531E+002,4.0960342387425328E+001,0
5.92,3.1425303137222966E+002,4.1103031372229680E+001,0
5.94,3.1439535763412414E+002,4.1245357634124161E+001,0
5.96,3.1453733179607400E+002,4.1387331796074022E+001,0
5.98,3.1467893593429136E+002,4.1528935934291383E+001,0
6,3.1482017004877616E+002,4.1670170048776185E+001,0
6.02,3.1496103413952841E+002,4.1811034139528431E+001,0
6.04,3.1510152820654815E+002,4.1951528206548176E+001,0
6.06,3.1524165224983540E+002,4.2091652249835420E+001,0
6.08,3.1538140626939014E+002,4.2231406269390163E+001,0
6.1,3.1552079026521233E+002,4.2370790265212349E+001,0
6.12,3.1565980423730196E+002,4.2509804237301978E+001,0
6.14,3.1579844818565914E+002,4.2648448185659163E+001,0
6.16,3.1593672211028377E+002,4.2786722110283790E+001,0
6.18,3.1607462601117584E+002,4.2924626011175860E+001,0
6.2,3.1621215988833541E+002,4.3062159888335430E+001,0
6.22,3.1634932374176248E+002,4.3199323741762498E+001,0
6.24,3.1648611757145699E+002,4.3336117571457009E+001,0
6.26,3.1662254137741900E+002,4.3472541377419020E+001,0
6.28,3.1675859515964845E+002,4.3608595159648473E+001,0
6.3,3.1689427891814540E+002,4.3744278918145426E+001,0
6.32,3.1702959265290986E+002,4.3879592652909878E+001,0
6.34,3.1716453636394175E+002,4.4014536363941772E+001,0
6.36,3.1729969975591064E+002,4.4149699755910660E+001,0
6.38,3.1731153039442751E+002,4.4161530394427530E+001,1
6.4,3.1726330548173843E+002,4.4113305481738450E+001,1
6.42,3.1721518149754621E+002,4.4065181497546234E+001,1
6.44,3.1716714293048096E+002,4.4017142930480986E+001,1
6.46,3.1711918978054263E+002,4.3969189780542649E+001,1
6.48,3.1707132204773131E+002,4.3921322047731337E+001,1
6.5,3.1702353973204697E+002,4.3873539732046993E+001,1
6.52,3.1697585591834525E+002,4.3825855918345269E+001,1
6.54,3.1692829957576834E+002,4.3778299575768358E+001,1
6.56,3.1688083406257465E+002,4.3730834062574672E+001,1
6.58,3.1683345937876425E+002,4.3683459378764269E+001,1
6.6,3.1678617552433712E+002,4.3636175524337148E+001,1
6.62,3.1673898249929329E+002,4.3588982499293309E+001,1
6.64,3.1669188030363267E+002,4.3541880303632695E+001,1
6.66,3.1664486893735528E+002,4.3494868937355307E+001,1
6.68,3.1667106052173148E+002,4.3521060521731499E+001,0
6.7,3.1680685174730775E+002,4.3656851747307769E+001,0
6.72,3.1694224223423976E+002,4.3792242234239779E+001,0
6.74,3.1707725770818433E+002,4.3927257708184356E+001,0
6.76,3.1721195481206996E+002,4.4061954812069985E+001,0
6.78,3.1734633354589664E+002,4.4196333545896664E+001,0
6.8,3.1748039390966437E+002,4.4330393909664394E+001,0
6.82,3.1761407123330622E+002,4.4464071233306242E+001,0
6.84,3.1774735763112881E+002,4.4597357631128830E+001,0
6.86,3.1788030523288751E+002,4.4730305232887531E+001,0
6.88,3.1801291403858227E+002,4.4862914038582289E+001,0
6.9,3.1814518404821308E+002,4.4995184048213105E+001,0
6.92,3.1827711526178001E+002,4.5127115261780034E+001,0
6.94,3.1840870767928300E+002,4.5258707679283020E+001,0
6.96,3.1853996130072204E+002,4.5389961300722064E+001,0
6.98,3.1867087612609720E+002,4.5520876126097221E+001,0
7,3.1880145215540841E+002,4.5651452155408435E+001,0
7.02,3.1893168938865568E+002,4.5781689388655707E+001,0
7.04,3.1906159572623909E+002,4.5911595726239113E+001,0
7.06,3.1919120739908379E+002,4.6041207399083817E+001,0
7.08,3.1932048450793451E+002,4.6170484507934532E+001,0
7.1,3.1944942705279112E+002,4.6299427052791145E+001,0
7.12,3.1957803503365369E+002,4.6428035033653714E+001,0
7.14,3.1970630845052227E+002,4.6556308450522295E+001,0
7.16,3.1983424730339681E+002,4.6684247303396830E+001,0
7.18,3.1996185159227724E+002,4.6811851592277264E+001,0
7.2,3.2008912131716369E+002,4.6939121317163711E+001,0
7.22,3.2021605647805609E+002,4.7066056478056112E+001,0
7.24,3.2034265707495439E+002,4.7192657074954411E+001,0
7.26,3.2046892310785870E+002,4.7318923107858723E+001,0
7.28,3.2059485457676897E+002,4.7444854576768989E+001,0
7.3,3.2072045148168519E+002,4.7570451481685211E+001,0
7.32,3.2084571382260737E+002,4.7695713822607388E+001,0
7.34,3.2097064159953550E+002,4.7820641599535520E+001,0
7.36,3.2109523481246958E+002,4.7945234812469607E+001,0
7.38,3.2121949346140963E+002,4.8069493461409650E+001,0
7.4,3.2134341754635562E+002,4.8193417546355647E+001,0
7.42,3.2146700706730763E+002,4.8317007067307657E+001,0
7.44,3.2159026202426554E+002,4.8440262024265564E+001,0
7.46,3.2171318241722940E+002,4.8563182417229427E+001,0
7.48,3.2183576824619928E+002,4.8685768246199302E+001,0
7.5,3.2195801951117505E+002,4.8808019511175075E+001,0
7.52,3.2208044553709834E+002,4.8930445537098365E+001,0
7.54,3.2220262196300888E+002,4.9052621963008903E+001,0
7.56,3.2228783349099598E+002,4.9137833490996002E+001,1
7.58,3.2222963749788175E+002,4.9079637497881777E+001,1
7.6,3.2217154606226660E+002,4.9021546062266623E+001,1
7.62,3.2211359384366199E+002,4.8963593843662011E+001,1
7.64,3.2205576442021464E+002,4.8905764420214666E+001,1
7.66,3.2199804583896798E+002,4.8848045838968005E+001,1
7.68,3.2194043809992206E+002,4.8790438099922085E+001,1
7.7,3.2188294120307688E+002,4.8732941203076905E+001,1
7.72,3.2182555514843233E+002,4.8675555148432352E+001,1
7.74,3.2176827993598852E+002,4.8618279935988539E+001,1
7.76,3.2171111556574539E+002,4.8561115565745411E+001,1
7.78,3.2165406203770300E+002,4.8504062037703022E+001,1
7.8,3.2159711935186129E+002,4.8447119351861318E+001,1
7.82,3.2154028750822027E+002,4.8390287508220297E+001,1
7.84,3.2148356650677999E+002,4.8333566506780016E+001,1
7.86,3.2160632900023029E+002,4.8456329000230312E+001,0
7.88,3.2172909801486742E+002,4.8579098014867441E+001,0
7.9,3.2185146119931346E+002,4.8701461199313485E+001,0
7.92,3.2197353859994183E+002,4.8823538599941855E+001,0
7.94,3.2209533021675242E+002,4.8945330216752438E+001,0
7.96,3.2221683604974527E+002,4.9066836049745291E+001,0
7.98,3.2233805609892033E+002,4.9188056098920356E+001,0
8,3.2245889148632170E+002,4.9308891486321727E+001,0
8.02,3.2257924960374157E+002,4.9429249603741596E+001,0
8.04,3.2269892270008546E+002,4.9548922700085484E+001,0
8.06,3.2281838701566136E+002,4.9668387015661381E+001,0
8.08,3.2293764255046921E+002,4.9787642550469229E+001,0
8.1,3.2305668930450901E+002,4.9906689304509030E+001,0
8.12,3.2317552727778076E+002,5.0025527277780782E+001,0
8.14,3.2329415647028446E+002,5.0144156470284486E+001,0
8.16,3.2341243881928813E+002,5.0262438819288150E+001,0
8.18,3.2353035848160880E+002,5.0380358481608823E+001,0
8.2,3.2364800325511374E+002,5.0498003255113758E+001,0
8.22,3.2376537313980288E+002,5.0615373139802898E+001,0
8.24,3.2388246813567628E+002,5.0732468135676299E+001,0
8.26,3.2399928824273388E+002,5.0849288242733905E+001,0
8.28,3.2411583346097569E+002,5.0965833460975716E+001,0
8.3,3.2410626296289178E+002,5.0956262962891799E+001,1
8.32,3.2404444736591296E+002,5.0894447365912981E+001,1
8.34,3.2398274160144945E+002,5.0832741601449470E+001,1
8.36,3.2392114566950130E+002,5.0771145669501323E+001,1
8.38,3.2385971124246419E+002,5.0709711242464209E+001,1
8.4,3.2379839942630110E+002,5.0648399426301125E+001,1
8.42,3.2373720508965550E+002,5.0587205089655527E+001,1
