"time","Var_disp"
3.297,2.0981281633989268E-002
3.298,2.1298456225838924E-002
3.299,2.1615715122807022E-002
3.3,2.1933005797243110E-002
3.301,2.2250272856956799E-002
3.302,2.2567462103644464E-002
3.303,2.2884516513967945E-002
3.304,2.3201380299153307E-002
3.305,2.3517994891421368E-002
3.306,2.3834303014375835E-002
3.307,2.4150247667410474E-002
3.308,2.4465776600516520E-002
3.309,2.4780838950987261E-002
3.31,2.5095380999926253E-002
3.311,2.5409350201558212E-002
3.312,2.5722691198166614E-002
3.313,2.6035349837876254E-002
3.314,2.6347269207346757E-002
3.315,2.6658393635272670E-002
3.316,2.6968664745667281E-002
3.317,2.7278034798070561E-002
3.318,2.7586515416637147E-002
3.319,2.7894145734645215E-002
3.32,2.8200963762454623E-002
3.321,2.8507010204293248E-002
3.322,2.8812325006214556E-002
3.323,2.9116948795540498E-002
3.324,2.9420924299182305E-002
3.325,2.9724292921388118E-002
3.326,3.0027098583248923E-002
3.327,3.0329367661351525E-002
3.328,3.0630963128465916E-002
3.329,3.0931649460073096E-002
3.33,3.1231192871166491E-002
3.331,3.1529358878134794E-002
3.332,3.1825916267030463E-002
3.333,3.2120633464687742E-002
3.334,3.2413282487350981E-002
3.335,3.2703635371314155E-002
3.336,3.2991468085069142E-002
3.337,3.3276562808915333E-002
3.338,3.3558818926916811E-002
3.339,3.3838238365312967E-002
3.34,3.4114826727477787E-002
3.341,3.4388590760670357E-002
3.342,3.4659535249134565E-002
3.343,3.4927666463670626E-002
3.344,3.5192988675653236E-002
3.345,3.5455507535163022E-002
3.346,3.5715226657336285E-002
3.347,3.5972150492588839E-002
3.348,3.6226248489212631E-002
3.349,3.6477435867935060E-002
3.35,3.6725620371731327E-002
3.351,3.6970710827529008E-002
3.352,3.7212614062678284E-002
3.353,3.7451238102536033E-002
3.354,3.7686489170606352E-002
3.355,3.7918274807243302E-002
3.356,3.8146501318255588E-002
3.357,3.8371075002075261E-002
3.358,3.8591901825930974E-002
3.359,3.8808882765837494E-002
3.36,3.9021919134748395E-002
3.361,3.9230910340567804E-002
3.362,3.9435756692560164E-002
3.363,3.9636356837810527E-002
3.364,3.9832610467289142E-002
3.365,4.0024415862839002E-002
3.366,4.0211672497299067E-002
3.367,4.0394278697908903E-002
3.368,4.0572139501512727E-002
3.369,4.0745176402815719E-002
3.37,4.0913315095545411E-002
3.371,4.1076479890419959E-002
3.372,4.1234594650977341E-002
3.373,4.1387583588622823E-002
3.374,4.1535369598982297E-002
3.375,4.1677876288334970E-002
3.376,4.1815026173144365E-002
3.377,4.1946742576041252E-002
3.378,4.2072947118752535E-002
3.379,4.2193558213629023E-002
3.38,4.2308491931238756E-002
3.381,4.2417664696675295E-002
3.382,4.2520991924310581E-002
3.383,4.2618389506433818E-002
3.384,4.2709772598756301E-002
3.385,4.2795056961931532E-002
3.386,4.2874157901924947E-002
3.387,4.2946991459541506E-002
3.388,4.3013473688791937E-002
3.389,4.3073521236807744E-002
3.39,4.3127050648929854E-002
3.391,4.3173977518494500E-002
3.392,4.3214217279637701E-002
3.393,4.3247684724458835E-002
3.394,4.3274294630328725E-002
3.395,4.3293961451022156E-002
3.396,4.3306599773010990E-002
3.397,4.3312124184756273E-002
3.398,4.3310459787255229E-002
3.399,4.3301625535609567E-002
3.4,4.3285690940077171E-002
3.401,4.3262726487412029E-002
3.402,4.3232802843805040E-002
3.403,4.3195990963587283E-002
3.404,4.3152361910718695E-002
3.405,4.3101986483440990E-002
3.406,4.3044935610209500E-002
3.407,4.2981279592886223E-002
3.408,4.2911088853027857E-002
3.409,4.2834434854856496E-002
3.41,4.2751391098483915E-002
3.411,4.2662031071860951E-002
3.412,4.2566429178440446E-002
3.413,4.2464659493581913E-002
3.414,4.2356796876087288E-002
3.415,4.2242915568291073E-002
3.416,4.2123090465118529E-002
