"time","level","level2","level3"
12.37,3.7749958038330078E+001,3.7749958038330078E+001,0.0000000000000000E+000
12.49,3.8083290100097656E+001,3.8083290100097656E+001,0.0000000000000000E+000
12.61,3.8583286285400391E+001,3.8583286285400391E+001,0.0000000000000000E+000
12.73,3.8916618347167969E+001,3.8916618347167969E+001,0.0000000000000000E+000
12.85,3.9249946594238281E+001,3.9249946594238281E+001,0.0000000000000000E+000
12.97,3.9749946594238281E+001,3.9749946594238281E+001,0.0000000000000000E+000
13.09,4.0083274841308594E+001,4.0083274841308594E+001,0.0000000000000000E+000
13.21,4.0583274841308594E+001,4.0583274841308594E+001,0.0000000000000000E+000
13.33,4.0916603088378906E+001,4.0916603088378906E+001,0.0000000000000000E+000
13.45,4.1249935150146484E+001,4.1249935150146484E+001,0.0000000000000000E+000
13.57,4.1749931335449219E+001,4.1749931335449219E+001,0.0000000000000000E+000
13.69,4.2083263397216797E+001,4.2083263397216797E+001,0.0000000000000000E+000
13.81,4.2583259582519531E+001,4.2583259582519531E+001,0.0000000000000000E+000
13.93,4.2916591644287109E+001,4.2916591644287109E+001,0.0000000000000000E+000
14.05,4.3249923706054688E+001,4.3249923706054688E+001,0.0000000000000000E+000
14.17,4.3749919891357422E+001,4.3749919891357422E+001,0.0000000000000000E+000
14.29,4.4083251953125000E+001,4.4083251953125000E+001,0.0000000000000000E+000
14.41,4.4583248138427734E+001,4.4583248138427734E+001,0.0000000000000000E+000
14.53,4.4916580200195313E+001,4.4916580200195313E+001,0.0000000000000000E+000
14.65,4.5249912261962891E+001,4.5249912261962891E+001,0.0000000000000000E+000
14.77,4.5749908447265625E+001,4.5749908447265625E+001,0.0000000000000000E+000
14.89,4.6083240509033203E+001,4.6083240509033203E+001,0.0000000000000000E+000
15.01,4.6583236694335938E+001,4.6583236694335938E+001,0.0000000000000000E+000
15.13,4.6916568756103516E+001,4.6916568756103516E+001,0.0000000000000000E+000
15.25,4.7249900817871094E+001,4.7249900817871094E+001,0.0000000000000000E+000
15.37,4.7749897003173828E+001,4.7749897003173828E+001,0.0000000000000000E+000
15.49,4.8083229064941406E+001,4.8083229064941406E+001,0.0000000000000000E+000
15.61,4.8583225250244141E+001,4.8583225250244141E+001,0.0000000000000000E+000
15.73,4.8916557312011719E+001,4.8916557312011719E+001,0.0000000000000000E+000
15.85,4.9249885559082031E+001,4.9249885559082031E+001,0.0000000000000000E+000
15.97,4.9749885559082031E+001,4.9749885559082031E+001,0.0000000000000000E+000
16.09,5.0083213806152344E+001,5.0083213806152344E+001,0.0000000000000000E+000
16.21,5.0583213806152344E+001,5.0583213806152344E+001,0.0000000000000000E+000
16.33,5.0916542053222656E+001,5.0916542053222656E+001,0.0000000000000000E+000
16.45,5.1249877929687500E+001,5.1249877929687500E+001,0.0000000000000000E+000
16.57,5.1749885559082031E+001,5.1749885559082031E+001,0.0000000000000000E+000
16.69,5.2083221435546875E+001,5.2083221435546875E+001,0.0000000000000000E+000
16.81,5.2583229064941406E+001,5.2583229064941406E+001,0.0000000000000000E+000
16.93,5.2916564941406250E+001,5.2916564941406250E+001,0.0000000000000000E+000
17.05,5.3249900817871094E+001,5.3249900817871094E+001,0.0000000000000000E+000
17.17,5.3749908447265625E+001,5.3749908447265625E+001,0.0000000000000000E+000
17.29,5.4083244323730469E+001,5.4083244323730469E+001,0.0000000000000000E+000
17.41,5.4583251953125000E+001,5.4583251953125000E+001,0.0000000000000000E+000
17.53,5.4916587829589844E+001,5.4916587829589844E+001,0.0000000000000000E+000
17.65,5.5249927520751953E+001,5.5249927520751953E+001,0.0000000000000000E+000
17.77,5.5749931335449219E+001,5.5749931335449219E+001,0.0000000000000000E+000
17.89,5.6083271026611328E+001,5.6083271026611328E+001,0.0000000000000000E+000
