"time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
1.678,5.6330787906750359E+000,2.6229005224610027E+001,2.4160174402125580E+001,1.4623395454186381E+001,-8.1848209678148134E+000
1.688,5.7321809342158954E+000,2.6172322406861515E+001,2.3964717059643473E+001,1.4640278113779846E+001,-8.1563580334821406E+000
1.698,5.8312949099394489E+000,2.6119377719508080E+001,2.3776655684611800E+001,1.4656663612176477E+001,-8.1289441768300978E+000
1.708,5.9304209956556901E+000,2.6070036321967159E+001,2.3595730462143059E+001,1.4672560460643052E+001,-8.1025485175613312E+000
1.718,6.0295594278789952E+000,2.6024167108721279E+001,2.3421688641954507E+001,1.4687977338181637E+001,-8.0771406069810059E+000
1.728,6.1287104036837317E+000,2.5981642679134371E+001,2.3254284461384465E+001,1.4702923077891622E+001,-8.0526904486673079E+000
1.738,6.2278740826107244E+000,2.5942339301776311E+001,2.3093279064239628E+001,1.4717406651915535E+001,-8.0291685176540231E+000
1.748,6.3270505885986283E+000,2.5906136873932812E+001,2.2938440415347230E+001,1.4731437155441416E+001,-8.0065457782031277E+000
1.758,6.4262400119200791E+000,2.5872918876869917E+001,2.2789543210780455E+001,1.4745023790137891E+001,-7.9847937002072813E+000
1.768,6.5254424111068587E+000,2.5842572327338086E+001,2.2646368783805073E+001,1.4758175847319302E+001,-7.9638842742366371E+000
1.778,6.6246578148519442E+000,2.5814987725734611E+001,2.2508705006661593E+001,1.4770902691075669E+001,-7.9437900252296041E+000
1.788,6.7238862238790276E+000,2.5790059001291766E+001,2.2376346188351800E+001,1.4783213741551906E+001,-7.9244840248193462E+000
1.798,6.8231276127722893E+000,2.5767683454617725E+001,2.2249092968642387E+001,1.4795118458520305E+001,-7.9059399022860894E+000
1.808,6.9223819317608690E+000,2.5747761697886116E+001,2.2126752208533439E+001,1.4806626325358325E+001,-7.8881318541271277E+000
1.818,7.0216491084538069E+000,2.5730197592945739E+001,2.2009136877466460E+001,1.4817746833518370E+001,-7.8710346522414829E+000
