"time","Piston.body.r_0[1]","Piston.body.r_0[2]","Piston.body.r_0[3]","Inertia.w"
0.223,1.4999999999999999E-001,3.6130838575476010E-001,0.0000000000000000E+000,1.5746659584274937E+002
0.224,1.4999999999999999E-001,3.4569841393311151E-001,0.0000000000000000E+000,1.5459754001353605E+002
0.225,1.4999999999999999E-001,3.2898711692246296E-001,0.0000000000000000E+000,1.5429044671716528E+002
0.226,1.4999999999999999E-001,3.1161464795414529E-001,0.0000000000000000E+000,1.5650952709600818E+002
0.227,1.4999999999999999E-001,2.9400035002455227E-001,0.0000000000000000E+000,1.6121323960090237E+002
0.228,1.4999999999999999E-001,2.7659014739977589E-001,0.0000000000000000E+000,1.6830395955082543E+002
0.229,1.4999999999999999E-001,2.5988396428019622E-001,0.0000000000000000E+000,1.7748609525783093E+002
0.23,1.4999999999999999E-001,2.4443229926377744E-001,0.0000000000000000E+000,1.8808643779998471E+002
0.231,1.4999999999999999E-001,2.3078767276847173E-001,0.0000000000000000E+000,1.9898900764864058E+002
0.232,1.4999999999999999E-001,2.1941482590729772E-001,0.0000000000000000E+000,2.0887847002718502E+002
0.233,1.4999999999999999E-001,2.1060534983933651E-001,0.0000000000000000E+000,2.1672821581869729E+002
0.234,1.4999999999999999E-001,2.0446006724667579E-001,0.0000000000000000E+000,2.2211443404175938E+002
0.235,1.4999999999999999E-001,2.0095254126599504E-001,0.0000000000000000E+000,2.2509565096919968E+002
0.236,1.4999999999999999E-001,2.0002379200450426E-001,0.0000000000000000E+000,2.2586903825536982E+002
0.237,1.4999999999999999E-001,2.0165237243834078E-001,0.0000000000000000E+000,2.2451271103902803E+002
0.238,1.4999999999999999E-001,2.0587484165053660E-001,0.0000000000000000E+000,2.2094816918054443E+002
0.239,1.4999999999999999E-001,2.1275447801230074E-001,0.0000000000000000E+000,2.1507771296047861E+002
0.24,1.4999999999999999E-001,2.2230767322904210E-001,0.0000000000000000E+000,2.0704864591038222E+002
0.241,1.4999999999999999E-001,2.3441838361247500E-001,0.0000000000000000E+000,1.9751689195340165E+002
0.242,1.4999999999999999E-001,2.4879320874181612E-001,0.0000000000000000E+000,1.8763003750144551E+002
0.243,1.4999999999999999E-001,2.6498979496861574E-001,0.0000000000000000E+000,1.7865527547956103E+002
0.244,1.4999999999999999E-001,2.8249209608100778E-001,0.0000000000000000E+000,1.7158075912538783E+002
