"time","revolute1.w","revolute2.w"
1.0561,3.5425129319387620E+000,-6.4161535268166254E+000
1.0621,3.6065813996139195E+000,-6.2925819072507121E+000
1.0681,3.6716667052892977E+000,-6.1633943439336027E+000
1.0741,3.7378558795848282E+000,-6.0284620279435579E+000
1.0801,3.8051942490537041E+000,-5.8875710378385921E+000
1.0861,3.8736872339943171E+000,-5.7404355071544337E+000
1.0921,3.9433011688651582E+000,-5.5867091116028043E+000
1.0981,4.0139632214819398E+000,-5.4259951477250112E+000
1.1041,4.0855604998734583E+000,-5.2578554825810411E+000
1.1101,4.1579384437675042E+000,-5.0818186401834895E+000
1.1161,4.2308986046362103E+000,-4.8973872636027496E+000
1.1221,4.3041959262562424E+000,-4.7040451573535718E+000
1.1281,4.3775356480917766E+000,-4.5012640758800542E+000
1.1341,4.4505699670125942E+000,-4.2885103822504167E+000
1.1401,4.5228946088457036E+000,-4.0652516572407453E+000
1.1461,4.5940454794342545E+000,-3.8309632930766062E+000
1.1521,4.6634955841627486E+000,-3.5851350583416002E+000
1.1581,4.7306524237591416E+000,-3.3272775711785285E+000
1.1641,4.7948560906105522E+000,-3.0569285673698454E+000
1.1701,4.8553783014352163E+000,-2.7736587989769834E+000
1.1761,4.9114226062089390E+000,-2.4770773490708282E+000
1.1821,4.9621260068077095E+000,-2.1668361001269196E+000
1.1881,5.0065621989096369E+000,-1.8426330495248580E+000
1.1941,5.0437466144901242E+000,-1.5042141269779745E+000
1.2001,5.0726433873865764E+000,-1.1513731371866305E+000
1.2061,5.0921742893123305E+000,-7.8394942774738774E-001
1.2121,5.1012295878725933E+000,-4.0182286791508326E-001
1.2181,5.0986806625142798E+000,-4.9057178399271005E-003
1.2241,5.0833940815679073E+000,4.0686903119906859E-001
1.2301,5.0542466981400018E+000,8.3356326037734119E-001
1.2361,5.0101411710207842E+000,1.2752536820293625E+000
1.2421,4.9500211671125811E+000,1.7320565694335566E+000
1.2481,4.8728853634963807E+000,2.2041576957362929E+000
1.2541,4.7777992498919337E+000,2.6918479712320966E+000
1.2601,4.6639036450649103E+000,3.1955653621557887E+000
1.2661,4.5304187910864879E+000,3.7159438259502950E+000
1.2721,4.3766428820504819E+000,4.2538702223836129E+000
1.2781,4.2019439211056895E+000,4.8105504676347612E+000
1.2841,4.0057438829697274E+000,5.3875865888096834E+000
1.2901,3.7874942947923911E+000,5.9870667817391592E+000
1.2961,3.5466425598961049E+000,6.6116709894293733E+000
1.3021,3.2825887028671268E+000,7.2647946924325639E+000
1.3081,2.9946328712574406E+000,7.9506930657201540E+000
1.3141,2.6819152475224315E+000,8.6746453937783095E+000
1.3201,2.3433527737852389E+000,9.4431334863815977E+000
1.3261,1.9775828864192884E+000,1.0264013240845527E+001
1.3321,1.5829366486210485E+000,1.1146625879469605E+001
1.3381,1.1574891211217844E+000,1.2101724882061260E+001
1.3441,6.9928719914521231E-001,1.3140946065385668E+001
1.3501,2.0695995302570105E-001,1.4275245479897253E+001
1.3561,-3.1888653378096027E-001,1.5511150686707387E+001
1.3621,-8.7277035997150509E-001,1.6842715775929250E+001
1.3681,-1.4389085933178600E+000,1.8236095806282023E+001
1.3741,-1.9827733408111179E+000,1.9604997330999325E+001
1.3801,-2.4428689999014344E+000,2.0785849780119747E+001
1.3861,-2.7349928146216564E+000,2.1547814006677957E+001
1.3921,-2.7850168238864055E+000,2.1684639356146512E+001
1.3981,-2.5773130588454736E+000,2.1152607653669129E+001
1.4041,-2.1669493371447297E+000,2.0105417124268460E+001
1.4101,-1.6397416482623777E+000,1.8780068483801454E+001
1.4161,-1.0684611801655182E+000,1.7372982151883203E+001
1.4221,-4.9807502860043906E-001,1.6000040257812998E+001
1.4281,4.9073498052750832E-002,1.4713139634188723E+001
1.4341,5.6409752842671701E-001,1.3527149256972823E+001
1.4401,1.0448439746611211E+000,1.2439203147558281E+001
1.4461,1.4920805477466790E+000,1.1439400999429056E+001
1.4521,1.9075914800063134E+000,1.0516006919893403E+001
1.4581,2.2933113610665634E+000,9.6577238645376067E+000
1.4641,2.6509768912770837E+000,8.8545503712341844E+000
1.4701,2.9820236267314404E+000,8.0979930876076107E+000
1.4761,3.2875924745321168E+000,7.3810078900642822E+000
1.4821,3.5685808293817032E+000,6.6978418429546904E+000
1.4881,3.8257075983764213E+000,6.0438520273783816E+000
1.4941,4.0595778820857058E+000,5.4153323412580479E+000
1.5001,4.2707409520478734E+000,4.8093589909085086E+000
1.5061,4.4597389074855558E+000,4.2236565772083798E+000
1.5121,4.6271451922316453E+000,3.6564832234898930E+000
1.5181,4.7735930497534316E+000,3.1065321542098951E+000
1.5241,4.8997944786827272E+000,2.5728471251511360E+000
1.5301,5.0065505442006124E+000,2.0547494799074859E+000
1.5361,5.0947540946559728E+000,1.5517750695667230E+000
1.5421,5.1653860616314127E+000,1.0636196971500913E+000
