"Time [s]","clutch1.phi_rel [rad]","clutch1.w_rel [rad/s]","clutch2.phi_rel [rad]","clutch2.w_rel [rad/s]","clutch3.phi_rel [rad]","clutch3.w_rel [rad/s]","freqHz [Hz]","J1_phi [rad]","J1.w [rad/s]","T2 [s]"
0.0903100000000001,-0.847333829258184,-8.81952728632572,-0.0407369489064776,-0.901203062509597,0,0,0.2,0.888070778164662,9.72073034883531,0.4
0.0913100000000001,-0.856144844098615,-8.80250239453984,-0.041643119899421,-0.91113892337724,0,0,0.2,0.897787963998036,9.71364131791708,0.4
0.0923100000000001,-0.864938684238729,-8.785177885693,-0.0425592260388292,-0.921073355439091,0,0,0.2,0.907497910277558,9.70625124113209,0.4
0.0933100000000001,-0.873715048821668,-8.76755128018938,-0.0434852658880524,-0.931006343007324,0,0,0.2,0.91720031470972,9.69855762319671,0.4
0.0943100000000001,-0.882473634661467,-8.7496203994126,-0.0444212379947542,-0.940937870396398,0,0,0.2,0.926894872656221,9.690558269809,0.4
0.0953100000000001,-0.891214136545124,-8.73138336790666,-0.045367140890914,-0.950867921923075,0,0,0.2,0.936581277436038,9.68225128982973,0.4
0.0963100000000001,-0.899936247536704,-8.71283861525772,-0.0463229730928287,-0.960796481906447,0,0,0.2,0.946259220629532,9.67363509716417,0.4
0.0973100000000001,-0.908639659283168,-8.69398487767478,-0.0472887331011159,-0.970723534667963,0,0,0.2,0.955928392384284,9.66470841234274,0.4
0.0983100000000001,-0.917324062321637,-8.67482119926781,-0.0482644194007156,-0.980649064531453,0,0,0.2,0.965588481722352,9.65547026379926,0.4
0.0993100000000001,-0.925989146387779,-8.65534693302195,-0.0492500304608929,-0.990573055823149,0,0,0.2,0.975239176848672,9.6459199888451,0.4
0.10031,-0.934634600725022,-8.63556174146699,-0.0502455647352403,-1.00049549287172,0,0,0.2,0.984880165460262,9.63605723433871,0.4
0.10131,-0.943260114394273,-8.61546559704122,-0.0512510206616803,-1.01041636000827,0,0,0.2,0.994511135055954,9.62588195704949,0.4
0.10231,-0.951865376583867,-8.59505878214955,-0.0522663966624677,-1.02033564156641,0,0,0.2,1.00413177324633,9.61539442371596,0.4
0.102476666666667,-0.953297600438119,-8.59162746887726,-0.052436590357608,-1.02198870011757,0,0,0.2,1.00573419079573,9.61361616899483,0.4
0.102643333333333,-0.954729251689234,-8.58818754450319,-0.0526070595587942,-1.02364171411726,0,0,0.2,1.00733631124803,9.61182925862044,0.4
0.10281,-0.956160328902346,-8.58473901284319,-0.0527778042585951,-1.02529468349296,0,0,0.2,1.00893813316094,9.61003369633615,0.4
0.102976666666667,-0.957590830643245,-8.58128187795154,-0.0529488244495672,-1.02694760817217,0,0,0.2,1.01053965509281,9.60822948612371,0.4
0.103143333333333,-0.959020755478418,-8.57781614412082,-0.053120120124255,-1.02860048808238,0,0,0.2,1.01214087560267,9.6064166322032,0.4
0.103153333333333,-0.959106532598772,-8.57760792671922,-0.0531304066249927,-1.02869965945212,0,0,0.2,1.01223693922377,9.60630758617134,0.4
0.103163333333333,-0.959192306595401,-8.57739966290937,-0.0531406946132985,-1.02879883057968,0,0,0.2,1.0123330012087,9.60619849348906,0.4
0.103213333333333,-0.959621124473925,-8.57635757047365,-0.0531921593474075,-1.02929468218001,0,0,0.2,1.01281328382133,9.60565225265366,0.4
0.103463333333333,-0.961764561350968,-8.57113744586978,-0.053449792918885,-1.03177388963953,0,0,0.2,1.01521435426985,9.60291133550931,0.4
0.104463333333333,-0.970325162107757,-8.55006406771009,-0.0544865247155756,-1.04168970374178,0,0,0.2,1.02481168682333,9.59175377145188,0.4
0.105463333333333,-0.978864535608987,-8.52868293475566,-0.0555331715088869,-1.05160388288074,0,0,0.2,1.03439770711787,9.5802868176364,0.4
0.10563,-0.980285683318032,-8.52508957378384,-0.0557085765063126,-1.05325608622785,0,0,0.2,1.03599425982434,9.57834566001169,0.4
0.105796666666667,-0.981706231425364,-8.52148771419596,-0.0558842568671359,-1.05490824365195,0,0,0.2,1.0375904882925,9.57639595784791,0.4
0.105963333333333,-0.983126178515238,-8.51787736429431,-0.0560602125836969,-1.05656035508056,0,0,0.2,1.03918639109893,9.57443771937487,0.4
0.10613,-0.984545523173313,-8.51425853261645,-0.0562364436483237,-1.05821242044121,0,0,0.2,1.04078196682164,9.57247095305765,0.4
0.106296666666667,-0.985964263986693,-8.510631227935,-0.0564129500533323,-1.05986443966143,0,0,0.2,1.04237721404002,9.57049566759643,0.4
0.106324422983506,-0.986200479368574,-8.51002632169503,-0.0564423718046759,-1.06013955898882,0,0,0.2,1.04264285117325,9.57016588068385,0.4
0.106342179300345,-0.986351582655565,-8.50963922697279,-0.0564611975411274,-1.06031555810683,0,0,0.2,1.04281278019669,9.56995478507962,0.4
0.106352179300345,-0.986436677957604,-8.50942118074595,-0.0564718011923031,-1.06041467703418,0,0,0.2,1.04290847914991,9.56983585778013,0.4
0.106402179300345,-0.986862094463209,-8.5083301120965,-0.0565248467056577,-1.06091026709251,0,0,0.2,1.04338694116887,9.56924037918901,0.4
0.106652179300345,-0.988988493884882,-8.50286526128443,-0.0567903840097045,-1.06338816528192,0,0,0.2,1.04577887789459,9.56625342656636,0.4
0.107652179300345,-0.997480334705556,-8.48081638005275,-0.0578587274478973,-1.07329871110362,0,0,0.2,1.05533906215345,9.55411509115637,0.4
0.108652179300345,-1.00594997579252,-8.45846579385915,-0.0589369805894726,-1.08320757204709,0,0,0.2,1.064886956382,9.54167336590623,0.4
0.109652179300345,-1.01439711670628,-8.43581603362978,-0.0600251417417286,-1.09311473246487,0,0,0.2,1.07442225844801,9.52893076609466,0.4
0.110652179300345,-1.02282145968755,-8.41286992889054,-0.0611232091963172,-1.10302017671223,0,0,0.2,1.08394466888387,9.51589010560276,0.4
0.111652179300345,-1.03122270995451,-8.38963060500542,-0.0622311812292469,-1.11292388914709,0,0,0.2,1.09345389118375,9.50255449415251,0.4
0.112652179300345,-1.03960057599708,-8.36610148012304,-0.0633490561008855,-1.12282585413016,0,0,0.2,1.10294963209797,9.4889273342532,0.4
0.113652179300345,-1.04795476986807,-8.34228626183414,-0.064476832055963,-1.13272605602488,0,0,0.2,1.11243160192403,9.47501231785902,0.4
0.114652179300345,-1.05628500747077,-8.31818894354347,-0.0656145073235742,-1.14262447919747,0,0,0.2,1.12189951479434,9.46081342274094,0.4
0.115652179300345,-1.06459100884283,-8.29381380055955,-0.0667620801171814,-1.15252110801698,0,0,0.2,1.13135308896001,9.44633490857653,0.4
0.116652179300345,-1.07287249843607,-8.2691653859063,-0.0679195486346176,-1.16241592685528,0,0,0.2,1.14079204707069,9.43158131276158,0.4
0.117652179300345,-1.08112920539197,-8.24424852586053,-0.0690869110580888,-1.17230892008709,0,0,0.2,1.15021611645006,9.41655744594762,0.4
0.118652179300345,-1.08936086381252,-8.21906831521976,-0.0702641655541774,-1.18220007209004,0,0,0.2,1.15962502936669,9.4012683873098,0.4
0.119652179300345,-1.09756721302629,-8.19363011230513,-0.0714513102738448,-1.19208936724464,0,0,0.2,1.16901852330013,9.38571947954977,0.4
0.120652179300345,-1.1057479978493,-8.16793953370406,-0.0726483433524343,-1.20197678993435,0,0,0.2,1.17839634120174,9.3699163236384,0.4
0.121652179300345,-1.11390296884054,-8.14200244875821,-0.0738552629096743,-1.21186232454557,0,0,0.2,1.18775823175022,9.35386477330378,0.4
0.122652179300345,-1.12203188255183,-8.11582497380188,-0.0750720670496809,-1.2217459554677,0,0,0.2,1.19710394960151,9.33757092926958,0.4
0.123652179300345,-1.13013450177182,-8.08941346615672,-0.0762987538609613,-1.23162766709313,0,0,0.2,1.20643325563278,9.32104113324985,0.4
0.124652179300345,-1.13821059576385,-8.06277451788852,-0.0775353214164166,-1.2415074438173,0,0,0.2,1.21574591718027,9.30428196170582,0.4
0.125652179300345,-1.14625994049747,-8.03591494933244,-0.0787817677733446,-1.25138527003869,0,0,0.2,1.22504170827081,9.28730021937112,0.4
0.126652179300345,-1.15428231887334,-8.00884180239289,-0.0800380909734434,-1.26126113015885,0,0,0.2,1.23432040984678,9.27010293255175,0.4
0.127652179300345,-1.16227752094135,-7.98156233362477,-0.0813042890428141,-1.27113500858247,0,0,0.2,1.24358180998417,9.25269734220724,0.4
0.128652179300345,-1.17024534411173,-7.95408400710282,-0.082580359991964,-1.28100688971734,0,0,0.2,1.25282570410369,9.23509089682016,0.4
0.129652179300345,-1.17818559335883,-7.92641448708626,-0.0838663018158099,-1.29087675797441,0,0,0.2,1.26205189517464,9.21729124506066,0.4
0.130652179300345,-1.18609808141762,-7.89856163048576,-0.085162112493681,-1.30074459776781,0,0,0.2,1.2712601939113,9.19930622825356,0.4
0.131652179300345,-1.19398262897244,-7.87053347914037,-0.0864677899893224,-1.31061039351487,0,0,0.2,1.28045041896176,9.18114387265524,0.4
0.132652179300345,-1.20183906483797,-7.84233825191188,-0.0877833322508979,-1.32047412963616,0,0,0.2,1.28962239708887,9.16281238154805,0.4
0.133652179300345,-1.20966722613223,-7.81398433660452,-0.0891087372109938,-1.3303357905555,0,0,0.2,1.29877596334323,9.14432012716002,0.4
0.134652179300345,-1.2174669584414,-7.78548028171787,-0.0904440027866215,-1.34019536069997,0,0,0.2,1.30791096122802,9.12567564241783,0.4
0.135652179300345,-1.22523811597629,-7.75683478804123,-0.0917891268792215,-1.35005282449996,0,0,0.2,1.31702724285551,9.10688761254119,0.4
0.136652179300345,-1.23298056172036,-7.72805670009768,-0.0931441073746661,-1.3599081663892,0,0,0.2,1.32612466909503,9.08796486648689,0.4
0.137652179300345,-1.24069416756914,-7.69915499744628,-0.0945089421432631,-1.36976137080476,0,0,0.2,1.3352031097124,9.06891636825104,0.4
0.138652179300345,-1.24837881446079,-7.67013878585097,-0.0958836290397591,-1.37961242218707,0,0,0.2,1.34426244350055,9.04975120803805,0.4
0.139652179300345,-1.25603439249788,-7.64101728832498,-0.0972681659033426,-1.38946130498,0,0,0.2,1.35330255840122,9.03047859330497,0.4
0.140652179300345,-1.26366080106008,-7.61179983605944,-0.098662550557648,-1.39930800363079,0,0,0.2,1.36232335161773,9.01110783969023,0.4
0.141652179300345,-1.27125794890773,-7.58249585924531,-0.100066780810759,-1.40915250259019,0,0,0.2,1.37132472971849,8.9916483618355,0.4
