"time","der_p","der_T"
0.57,1.6465868127226972E+003,-2.4732955226976436E+000
0.572,1.6572674140298675E+003,-2.4234686350154440E+000
0.574,1.6675824887768426E+003,-2.3730668788441012E+000
0.576,1.6775245227387406E+003,-2.3220995826378097E+000
0.578,1.6870860017399477E+003,-2.2705760740269842E+000
0.58,1.6962594116540104E+003,-2.2185056798174645E+000
0.582,1.7050372384038694E+003,-2.1658977259909480E+000
0.584,1.7134119679615731E+003,-2.1127615377052704E+000
0.586,1.7213760863485018E+003,-2.0591064392941338E+000
0.588,1.7289220796351829E+003,-2.0049417542675396E+000
0.59,1.7360424339414649E+003,-1.9502768053117072E+000
0.592,1.7427296354363684E+003,-1.8951209142891803E+000
0.594,1.7489761703381862E+003,-1.8394834022385342E+000
0.596,1.7547745249143718E+003,-1.7833735893753553E+000
0.598,1.7601171854815875E+003,-1.7268007950914734E+000
0.6,1.7649966384057011E+003,-1.6697743379555301E+000
0.602,1.7694053701018127E+003,-1.6123035357127748E+000
0.604,1.7733358670341324E+003,-1.5543977052854490E+000
0.606,1.7767806157161763E+003,-1.4960661627725709E+000
0.608,1.7797321027105129E+003,-1.4373182234503479E+000
0.61,1.7821828146289718E+003,-1.3781632017720642E+000
0.612,1.7841252381325025E+003,-1.3186104113682178E+000
0.614,1.7855518599312163E+003,-1.2586691650463102E+000
0.616,1.7864551667843866E+003,-1.1983487747917692E+000
0.618,1.7868276455004666E+003,-1.1376585517669315E+000
0.62,1.7866617829370218E+003,-1.0766078063119577E+000
0.622,1.7859500660007147E+003,-1.0152058479446671E+000
0.624,1.7846849816474514E+003,-9.5346198536045579E-001
0.626,1.7828590168821611E+003,-8.9138552643279945E-001
0.628,1.7804646587589577E+003,-8.2898577821270403E-001
0.63,1.7774943943810399E+003,-7.6627204692954853E-001
0.632,1.7739407109007138E+003,-7.0325363799066620E-001
0.634,1.7697960955193994E+003,-6.3993985598142267E-001
0.636,1.7650530354876296E+003,-5.7634000466560431E-001
0.638,1.7597040181050106E+003,-5.1246338698520333E-001
0.64,1.7537415307202637E+003,-4.4831930506076767E-001
0.642,1.7471580607311009E+003,-3.8391706019149130E-001
0.644,1.7399460955844024E+003,-3.1926595285484571E-001
0.646,1.7320981227761395E+003,-2.5437528270732757E-001
0.648,1.7236066298512592E+003,-1.8925434858404411E-001
0.65,1.7144641044037876E+003,-1.2391244849913041E-001
0.652,1.7046630340768625E+003,-5.8358879645537542E-002
0.654,1.6941959065626006E+003,7.3970616047294158E-003
0.656,1.6830552096022122E+003,7.3346079700357447E-002
0.658,1.6712334309858886E+003,1.3947887991086028E-001
0.66,1.6587230585529214E+003,2.0578616832653329E-001
0.662,1.6455165801915632E+003,2.7225865185817322E-001
0.664,1.6316064838391248E+003,3.3888703823707311E-001
0.666,1.6169852574818942E+003,4.0566203601494522E-001
0.668,1.6016453891552133E+003,4.7257435456387581E-001
0.67,1.5855793669433797E+003,5.3961470407601275E-001
0.672,1.5687796789796867E+003,6.0677379556388611E-001
0.674,1.5512388134464672E+003,6.7404234085997417E-001
0.676,1.5329492585749911E+003,7.4141105261671059E-001
0.678,1.5139035026455326E+003,8.0887064430641187E-001
0.68,1.4940940339873400E+003,8.7641183022119351E-001
0.682,1.4735133409786063E+003,9.4402532547288032E-001
0.684,1.4521539120464863E+003,1.0117018459929037E+000
0.686,1.4300082356671226E+003,1.0794321085322329E+000
0.688,1.4070688003655850E+003,1.1472068306612706E+000
0.69,1.3833280947158892E+003,1.2150167307697739E+000
0.692,1.3587786073409920E+003,1.2828525280667682E+000
0.694,1.3334128269127800E+003,1.3507049425804538E+000
0.696,1.3072232421520757E+003,1.4185646951581128E+000
0.698,1.2802023418286180E+003,1.4864225074660102E+000
0.7,1.2523426147610699E+003,1.5542691019893151E+000
0.702,1.2523393355335825E+003,1.5542142261050855E+000
0.704,1.2523360564963855E+003,1.5541593531766371E+000
0.706,1.2523327776494646E+003,1.5541044832037583E+000
0.708,1.2523294989928040E+003,1.5540496161862287E+000
0.71,1.2523262205263939E+003,1.5539947521238475E+000
0.712,1.2523229422502166E+003,1.5539398910163920E+000
0.714,1.2523196641642589E+003,1.5538850328636502E+000
0.716,1.2523163862685083E+003,1.5538301776654122E+000
0.718,1.2523131085629498E+003,1.5537753254214637E+000
0.72,1.2523098310475687E+003,1.5537204761315890E+000
0.722,1.2523065537223517E+003,1.5536656297955780E+000
0.724,1.2523032765872883E+003,1.5536107864132254E+000
0.726,1.2522999996423559E+003,1.5535559459842947E+000
0.728,1.2522967228875518E+003,1.5535011085086050E+000
0.73,1.2522934463228528E+003,1.5534462739859174E+000
0.732,1.2522901699482488E+003,1.5533914424160296E+000
0.734,1.2522868937637256E+003,1.5533366137987272E+000
0.736,1.2522836177692714E+003,1.5532817881338048E+000
0.738,1.2522803419648681E+003,1.5532269654210369E+000
0.74,1.2522770663505044E+003,1.5531721456602177E+000
0.742,1.2522737909261648E+003,1.5531173288511313E+000
0.744,1.2522705156918364E+003,1.5530625149935671E+000
0.746,1.2522672406475047E+003,1.5530077040873107E+000
0.748,1.2522639657931607E+003,1.5529528961321644E+000
0.75,1.2522606911287812E+003,1.5528980911278873E+000
0.752,1.2522574166543588E+003,1.5528432890742863E+000
0.754,1.2522541423698785E+003,1.5527884899711462E+000
0.756,1.2522508682753232E+003,1.5527336938182434E+000
0.758,1.2522475943706822E+003,1.5526789006153763E+000
0.76,1.2522443206559421E+003,1.5526241103623344E+000
0.762,1.2522410471310877E+003,1.5525693230588993E+000
0.764,1.2522377737961058E+003,1.5525145387048607E+000
0.766,1.2522345006509804E+003,1.5524597573000012E+000
0.768,1.2522312276957005E+003,1.5524049788441163E+000
0.77,1.2522279549302475E+003,1.5523502033369809E+000
0.772,1.2522246823546145E+003,1.5522954307783998E+000
0.774,1.2522214099687833E+003,1.5522406611681516E+000
0.776,1.2522181377727397E+003,1.5521858945060210E+000
0.778,1.2522148657664691E+003,1.5521311307917940E+000
0.78,1.2522115939499615E+003,1.5520763700252693E+000
0.782,1.2522083223232003E+003,1.5520216122062265E+000
0.784,1.2522050508861716E+003,1.5519668573344541E+000
0.786,1.2522017796388614E+003,1.5519121054097396E+000
0.788,1.2521985085812564E+003,1.5518573564318712E+000
0.79,1.2521952377133421E+003,1.5518026104006351E+000
0.792,1.2521919670351047E+003,1.5517478673158205E+000
0.794,1.2521886965465321E+003,1.5516931271772187E+000
0.796,1.2521854262476083E+003,1.5516383899846131E+000
0.798,1.2521821561383188E+003,1.5515836557377869E+000
0.8,1.2521788862186515E+003,1.5515289244365360E+000
0.802,1.2521756164885935E+003,1.5514741960806497E+000
0.804,1.2521723469481262E+003,1.5514194706699032E+000
0.806,1.2521690775972424E+003,1.5513647482041018E+000
0.808,1.2521658084359242E+003,1.5513100286830230E+000
0.81,1.2521625394641555E+003,1.5512553121064478E+000
0.812,1.2521592706819249E+003,1.5512005984741728E+000
0.814,1.2521560020892207E+003,1.5511458877859894E+000
0.816,1.2521527336860270E+003,1.5510911800416824E+000
0.818,1.2521494654723301E+003,1.5510364752410386E+000
0.82,1.2521461974481133E+003,1.5509817733838389E+000
0.822,1.2521429296133670E+003,1.5509270744698818E+000
0.824,1.2521396619680752E+003,1.5508723784989527E+000
0.826,1.2521363945122264E+003,1.5508176854708429E+000
0.828,1.2521331272458049E+003,1.5507629953853370E+000
0.83,1.2521298601687931E+003,1.5507083082422120E+000
0.832,1.2521265932811825E+003,1.5506536240412698E+000
0.834,1.2521233265829580E+003,1.5505989427822973E+000
0.836,1.2521200600741056E+003,1.5505442644650822E+000
0.838,1.2521167937546104E+003,1.5504895890894086E+000
0.84,1.2521135276244602E+003,1.5504349166550704E+000
0.842,1.2521102616836390E+003,1.5503802471618484E+000
0.844,1.2521069959321353E+003,1.5503255806095380E+000
0.846,1.2521037303699311E+003,1.5502709169979147E+000
0.848,1.2521004649970173E+003,1.5502162563267827E+000
0.85,1.2520971998133773E+003,1.5501615985959221E+000
0.852,1.2520939348190007E+003,1.5501069438051291E+000
0.854,1.2520906700138671E+003,1.5500522919541746E+000
0.856,1.2520874053979685E+003,1.5499976430428624E+000
0.858,1.2520841409712889E+003,1.5499429970709764E+000
0.86,1.2520808767338162E+003,1.5498883540383093E+000
0.862,1.2520776126855317E+003,1.5498337139446352E+000
0.864,1.2520743488264277E+003,1.5497790767897615E+000
0.866,1.2520710851564845E+003,1.5497244425734571E+000
0.868,1.2520678216756935E+003,1.5496698112955276E+000
0.87,1.2520645583840376E+003,1.5496151829557532E+000
0.872,1.2520612952815047E+003,1.5495605575539242E+000
0.874,1.2520580323680801E+003,1.5495059350898286E+000
0.876,1.2520547696437495E+003,1.5494513155632534E+000
0.878,1.2520515071084992E+003,1.5493966989739878E+000
0.88,1.2520482447623147E+003,1.5493420853218174E+000
0.882,1.2520449826051845E+003,1.5492874746065384E+000
0.884,1.2520417206370930E+003,1.5492328668279338E+000
0.886,1.2520384588580271E+003,1.5491782619857948E+000
0.888,1.2520351972679737E+003,1.5491236600799114E+000
0.89,1.2520319358669144E+003,1.5490690611100613E+000
0.892,1.2520286746548409E+003,1.5490144650760462E+000
0.894,1.2520254136317380E+003,1.5489598719776521E+000
0.896,1.2520221527975896E+003,1.5489052818146609E+000
0.898,1.2520188921523841E+003,1.5488506945868683E+000
0.9,1.2520156316961079E+003,1.5487961102940628E+000
0.902,1.2520123714287442E+003,1.5487415289360267E+000
0.904,1.2520091113502831E+003,1.5486869505125571E+000
0.906,1.2520058514607085E+003,1.5486323750234383E+000
0.908,1.2520025917600042E+003,1.5485778024684502E+000
0.91,1.2519993322481621E+003,1.5485232328474012E+000
0.912,1.2519960729251634E+003,1.5484686661600626E+000
0.914,1.2519928137909974E+003,1.5484141024062348E+000
0.916,1.2519895548456502E+003,1.5483595415857057E+000
0.918,1.2519862960891030E+003,1.5483049836982490E+000
0.92,1.2519830375213508E+003,1.5482504287436791E+000
0.922,1.2519797791423714E+003,1.5481958767217625E+000
0.924,1.2519765209521556E+003,1.5481413276322993E+000
0.926,1.2519732629506877E+003,1.5480867814750741E+000
0.928,1.2519700051379557E+003,1.5480322382498817E+000
0.93,1.2519667475139431E+003,1.5479776979565012E+000
0.932,1.2519634900786386E+003,1.5479231605947315E+000
0.934,1.2519602328320270E+003,1.5478686261643557E+000
0.936,1.2519569757740958E+003,1.5478140946651679E+000
0.938,1.2519537189048294E+003,1.5477595660969519E+000
0.94,1.2519504622242137E+003,1.5477050404594950E+000
0.942,1.2519472057322369E+003,1.5476505177525932E+000
0.944,1.2519439494288849E+003,1.5475959979760336E+000
0.946,1.2519406933141436E+003,1.5475414811296055E+000
0.948,1.2519374373879991E+003,1.5474869672130975E+000
0.95,1.2519341816504357E+003,1.5474324562262933E+000
0.952,1.2519309261014421E+003,1.5473779481689891E+000
0.954,1.2519276707410045E+003,1.5473234430409752E+000
0.956,1.2519244155691076E+003,1.5472689408420355E+000
0.958,1.2519211605857363E+003,1.5472144415719549E+000
0.96,1.2519179057908814E+003,1.5471599452305371E+000
0.962,1.2519146511845261E+003,1.5471054518175622E+000
0.964,1.2519113967666560E+003,1.5470509613328183E+000
0.966,1.2519081425372592E+003,1.5469964737761004E+000
0.968,1.2519048884963206E+003,1.5469419891471927E+000
0.97,1.2519016346438273E+003,1.5468875074458872E+000
0.972,1.2518983809797637E+003,1.5468330286719700E+000
0.974,1.2518951275041165E+003,1.5467785528252300E+000
0.976,1.2518918742168751E+003,1.5467240799054676E+000
0.978,1.2518886211180222E+003,1.5466696099124597E+000
