"time","yRising","yFalling","yEither"
3.601,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.621,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.641,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.661,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.681,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.701,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.721,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.741,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.761,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.781,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.801,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.821,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.841,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.861,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.881,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.901,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.921,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.941,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.961,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.981,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
4.001,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.021,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.041,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.061,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.081,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.101,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.121,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.141,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.161,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.181,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.201,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.221,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.241,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.261,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.281,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.301,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.321,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.341,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
