"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
5.18,1.3692282017995820E+001,1.2092853239995771E+001,1.1414759999935473E+000,1.1488499999375976E-001
5.2,1.3713247637995698E+001,1.2093287039995644E+001,9.4527599999348255E-001,-8.1315000006305746E-002
5.22,1.3730289257995576E+001,1.2089796839995518E+001,7.4907599999341623E-001,-2.7751500000637136E-001
5.24,1.3743406877995445E+001,1.2082382639995389E+001,5.5287599999334991E-001,-4.7371500000643657E-001
5.26,1.3752600497995315E+001,1.2071044439995255E+001,3.5667599999328442E-001,-6.6991500000650273E-001
5.28,1.3757870117995186E+001,1.2055782239995121E+001,1.6047599999321893E-001,-8.6611500000656905E-001
5.3,1.3759215737995047E+001,1.2036596039994985E+001,-3.5724000006846605E-002,-1.0623150000066346E+000
5.32,1.3756637357994910E+001,1.2013485839994843E+001,-2.3192400000691224E-001,-1.2585150000066987E+000
5.34,1.3750134977994772E+001,1.1986451639994701E+001,-4.2812400000697748E-001,-1.4547150000067628E+000
5.36,1.3739708597994627E+001,1.1955493439994557E+001,-6.2432400000704336E-001,-1.6509150000068269E+000
5.38,1.3725358217994481E+001,1.1920611239994408E+001,-8.2052400000710968E-001,-1.8471150000068910E+000
5.4,1.3707083837994336E+001,1.1881805039994257E+001,-1.0167240000071758E+000,-2.0433150000069560E+000
5.42,1.3684885457994183E+001,1.1839074839994101E+001,-1.2129240000072399E+000,-2.2395150000070245E+000
5.44,1.3658763077994029E+001,1.1792420639993942E+001,-1.4091240000073040E+000,-2.4357150000070931E+000
5.46,1.3628716697993877E+001,1.1741842439993784E+001,-1.6053240000073681E+000,-2.6319150000071616E+000
5.48,1.3594746317993716E+001,1.1687340239993620E+001,-1.8015240000074322E+000,-2.8281150000072302E+000
5.5,1.3556851937993555E+001,1.1628914039993454E+001,-1.9977240000074963E+000,-3.0243150000072987E+000
5.52,1.3515033557993393E+001,1.1566563839993288E+001,-2.1939240000075646E+000,-3.2205150000073672E+000
5.54,1.3469291177993222E+001,1.1500289639993117E+001,-2.3901240000076331E+000,-3.4167150000074358E+000
5.56,1.3419624797993052E+001,1.1430091439992943E+001,-2.5863240000077017E+000,-3.6129150000075043E+000
5.58,1.3366034417992880E+001,1.1355969239992769E+001,-2.7825240000077702E+000,-3.8091150000075729E+000
5.6,1.3308520037992702E+001,1.1277923039992590E+001,-2.9787240000078388E+000,-4.0053150000076414E+000
5.62,1.3247081657992524E+001,1.1195952839992408E+001,-3.1749240000079073E+000,-4.2015150000077099E+000
5.64,1.3181719277992345E+001,1.1110058639992227E+001,-3.3711240000079759E+000,-4.3977150000077785E+000
5.66,1.3112432897992159E+001,1.1020240439992040E+001,-3.5673240000080444E+000,-4.5939150000078470E+000
5.68,1.3039222517991973E+001,1.0926498239991851E+001,-3.7635240000081129E+000,-4.7901150000079156E+000
5.7,1.2962088137991786E+001,1.0828832039991662E+001,-3.9597240000081815E+000,-4.9863150000079841E+000
5.72,1.2881029757991593E+001,1.0727241839991468E+001,-4.1559240000082500E+000,-5.1825150000080527E+000
5.74,1.2796047377991400E+001,1.0621727639991271E+001,-4.3521240000083186E+000,-5.3787150000081212E+000
5.76,1.2707140997991205E+001,1.0512289439991074E+001,-4.5483240000083871E+000,-5.5749150000081897E+000
5.78,1.2614310617991004E+001,1.0398927239990870E+001,-4.7445240000084556E+000,-5.7711150000082583E+000
5.8,1.2517556237990803E+001,1.0281641039990664E+001,-4.9407240000085242E+000,-5.9673150000083268E+000
5.82,1.2416877857990601E+001,1.0160430839990457E+001,-5.1369240000085927E+000,-6.1635150000083954E+000
5.84,1.2312275477990392E+001,1.0035296639990245E+001,-5.3331240000086613E+000,-6.3597150000084639E+000
5.86,1.2203749097990183E+001,9.9062384399900303E+000,-5.5293240000087298E+000,-6.5559150000085324E+000
5.88,1.2091298717989973E+001,9.7732562399898164E+000,-5.7255240000087984E+000,-6.7521150000086010E+000
5.9,1.1974924337989755E+001,9.6363500399895958E+000,-5.9217240000088669E+000,-6.9483150000086695E+000
5.92,1.1854625957989537E+001,9.4955198399893739E+000,-6.1179240000089354E+000,-7.1445150000087381E+000
5.94,1.1730403577989316E+001,9.3507656399891523E+000,-6.3141240000090040E+000,-7.3407150000088066E+000
5.96,1.1602257197989090E+001,9.2020874399889241E+000,-6.5103240000090725E+000,-7.5369150000088752E+000
5.98,1.1470186817988864E+001,9.0494852399886945E+000,-6.7065240000091411E+000,-7.7331150000089437E+000
6,1.1334192437988635E+001,8.8929590399884653E+000,-6.9027240000092096E+000,-7.9293150000090122E+000
6.02,1.1194274057988402E+001,8.7325088399882294E+000,-7.0989240000092781E+000,-8.1255150000090808E+000
6.04,1.1050431677988168E+001,8.5681346399879921E+000,-7.2951240000093467E+000,-8.3217150000091493E+000
6.06,1.0902665297987932E+001,8.3998364399877552E+000,-7.4913240000094152E+000,-8.5179150000092179E+000
6.08,1.0750974917987691E+001,8.2276142399875116E+000,-7.6875240000094838E+000,-8.7141150000092864E+000
6.1,1.0595360537987450E+001,8.0514680399872667E+000,-7.8837240000095523E+000,-8.9103150000093549E+000
6.12,1.0435822157987205E+001,7.8713978399870212E+000,-8.0799240000096209E+000,-9.1065150000094235E+000
6.14,1.0272359777986956E+001,7.6874036399867709E+000,-8.2761240000096894E+000,-9.3027150000094920E+000
6.16,1.0104973397986708E+001,7.4994854399865174E+000,-8.4723240000097579E+000,-9.4989150000095606E+000
6.18,9.9336630179864560E+000,7.3076432399862616E+000,-8.6685240000098265E+000,-9.6951150000096291E+000
6.2,9.7584286379861993E+000,7.1118770399860036E+000,-8.8647240000098950E+000,-9.8913150000096977E+000
6.22,9.5792702579859430E+000,6.9121868399857425E+000,-9.0609240000099636E+000,-1.0087515000009766E+001
6.24,9.3961878779856836E+000,6.7085726399854790E+000,-9.2571240000100321E+000,-1.0283715000009835E+001
6.26,9.2091814979854192E+000,6.5010344399852125E+000,-9.4533240000101006E+000,-1.0479915000009903E+001
6.28,9.0182511179851534E+000,6.2895722399849427E+000,-9.6495240000101692E+000,-1.0676115000009972E+001
6.3,8.8233967379848828E+000,6.0741860399846699E+000,-9.8457240000102377E+000,-1.0872315000010040E+001
6.32,8.6246183579846090E+000,5.8548758399843956E+000,-1.0041924000010306E+001,-1.1068515000010109E+001
6.34,8.4219159779843356E+000,5.6316416399841183E+000,-1.0238124000010375E+001,-1.1264715000010177E+001
6.36,8.2152895979840572E+000,5.4044834399838377E+000,-1.0434324000010443E+001,-1.1460915000010246E+001
6.38,8.0047392179837757E+000,5.1734012399835558E+000,-1.0630524000010512E+001,-1.1657115000010315E+001
6.4,7.7902648379834929E+000,4.9383950399832708E+000,-1.0826724000010580E+001,-1.1853315000010383E+001
6.42,7.5718664579832078E+000,4.6994648399829826E+000,-1.1022924000010649E+001,-1.2049515000010452E+001
6.44,7.3495440779829195E+000,4.4566106399826912E+000,-1.1219124000010718E+001,-1.2245715000010520E+001
6.46,7.1232976979826290E+000,4.2098324399823976E+000,-1.1415324000010786E+001,-1.2441915000010589E+001
6.48,6.8931273179823362E+000,3.9591302399821018E+000,-1.1611524000010855E+001,-1.2638115000010657E+001
6.5,6.6590329379820403E+000,3.7045040399818028E+000,-1.1807724000010923E+001,-1.2834315000010726E+001
6.52,6.4210145579817421E+000,3.4459538399815011E+000,-1.2003924000010992E+001,-1.3030515000010794E+001
6.54,6.1790721779814417E+000,3.1834796399811971E+000,-1.2200124000011060E+001,-1.3226715000010863E+001
6.56,5.9332057979811363E+000,2.9170814399808904E+000,-1.2396324000011129E+001,-1.3422915000010931E+001
6.58,5.6834154179808296E+000,2.6467592399805810E+000,-1.2592524000011197E+001,-1.3619115000011000E+001
6.6,5.4297010379805206E+000,2.3725130399802685E+000,-1.2788724000011266E+001,-1.3815315000011068E+001
