"time","Out1","Out2[1]","Out2[2]","Out3","Out4","Out5"
3.181,1.9992431629752661E+000,3.2183976427045762E+000,1.9992431629752661E+000,1.2490947897377525E+001,5.0091249276643235E-001,-9.9741817744239691E-001
3.201,1.9982654221984879E+000,3.2583738816249364E+000,1.9982654221984879E+000,1.2722967079472639E+001,4.9001968167852100E-001,-1.0182260588414416E+000
3.221,1.9968883885295263E+000,3.2983267716642919E+000,1.9968883885295263E+000,1.2959694576675380E+001,4.7894714804654559E-001,-1.0389940924364307E+000
3.241,1.9951126127634886E+000,3.3382483319319949E+000,1.9951126127634886E+000,1.3201233520498956E+001,4.6769899823491690E-001,-1.0597146162936506E+000
3.261,1.9929388051870049E+000,3.3781305940688888E+000,1.9929388051870049E+000,1.3447689112141347E+001,4.5627941524129534E-001,-1.0803799747044098E+000
3.281,1.9903678352941221E+000,3.4179656054345462E+000,1.9903678352941221E+000,1.3699168661053672E+001,4.4469265689687165E-001,-1.1009825215003741E+000
3.301,1.9874007314385176E+000,3.4577454322882160E+000,1.9874007314385176E+000,1.3955781624293683E+001,4.3294305403922273E-001,-1.1215146233600672E+000
3.321,1.9840386804221732E+000,3.4974621629622189E+000,1.9840386804221732E+000,1.4217639646681450E+001,4.2103500865842503E-001,-1.1419686631053172E+000
3.341,1.9802830270206682E+000,3.5371079110265038E+000,1.9802830270206682E+000,1.4484856601774768E+001,4.0897299201711590E-001,-1.1623370429864313E+000
3.361,1.9761352734452891E+000,3.5766748184431196E+000,1.9761352734452891E+000,1.4757548633682131E+001,3.9676154274520825E-001,-1.1826121879548672E+000
3.381,1.9715970787421635E+000,3.6161550587093214E+000,1.9715970787421635E+000,1.5035834199731363E+001,3.8440526490997523E-001,-1.2027865489222074E+000
3.401,1.9666702581286639E+000,3.6555408399880669E+000,1.9666702581286639E+000,1.5319834114012606E+001,3.7190882606222841E-001,-1.2228526060042015E+000
3.421,1.9613567822673457E+000,3.6948244082246537E+000,1.9613567822673457E+000,1.5609671591814450E+001,3.5927695525932796E-001,-1.2428028717486839E+000
3.441,1.9556587764777076E+000,3.7339980502482315E+000,1.9556587764777076E+000,1.5905472294972558E+001,3.4651444106577034E-001,-1.2626298943461614E+000
3.461,1.9495785198860935E+000,3.7730540968569684E+000,1.9495785198860935E+000,1.6207364378150459E+001,3.3362612953211129E-001,-1.2823262608218655E+000
3.481,1.9431184445140708E+000,3.8119849258856329E+000,1.9431184445140708E+000,1.6515478536072557E+001,3.2061692215298909E-001,-1.3018846002080873E+000
3.501,1.9362811343056550E+000,3.8507829652543535E+000,1.9362811343056550E+000,1.6829948051729900E+001,3.0749177380502368E-001,-1.3212975866956027E+000
3.521,1.9290693240937669E+000,3.8894406959973535E+000,1.9290693240937669E+000,1.7150908845579430E+001,2.9425569066537671E-001,-1.3405579427630085E+000
3.541,1.9214858985063352E+000,3.9279506552704349E+000,1.9214858985063352E+000,1.7478499525758149E+001,2.8091372811176285E-001,-1.3596584422828049E+000
3.561,1.9135338908124837E+000,3.9663054393360184E+000,1.9135338908124837E+000,1.7812861439333879E+001,2.6747098860471613E-001,-1.3785919136030473E+000
3.581,1.9052164817092652E+000,4.0044977065245382E+000,1.9052164817092652E+000,1.8154138724614601E+001,2.5393261955291796E-001,-1.3973512426034242E+000
3.601,1.8965369980494227E+000,4.0425201801710129E+000,1.8965369980494227E+000,1.8502478364539233E+001,2.4030381116240479E-001,-1.4159293757246079E+000
3.621,1.8874989115106946E+000,4.0803656515256117E+000,1.8874989115106946E+000,1.8858030241172550E+001,2.2658979427047671E-001,-1.4343193229697366E+000
3.641,1.8781058372071917E+000,4.1180269826370655E+000,1.8781058372071917E+000,1.9220947191327976E+001,2.1279583816513956E-001,-1.4525141608769083E+000
3.661,1.8683615322433955E+000,4.1554971092077420E+000,1.8683615322433955E+000,1.9591385063342020E+001,1.9892724839091641E-001,-1.4705070354615584E+000
3.681,1.8582698942113691E+000,4.1927690434192817E+000,1.8582698942113691E+000,1.9969502775024861E+001,1.8498936454187093E-001,-1.4882911651276232E+000
3.701,1.8478349596317720E+000,4.2298358767276181E+000,1.8478349596317720E+000,2.0355462372811882E+001,1.7098755804269247E-001,-1.5058598435463830E+000
3.721,1.8370609023393054E+000,4.2666907826263207E+000,1.8370609023393054E+000,2.0749429092141632E+001,1.5692722991869618E-001,-1.5232064425019094E+000
3.741,1.8259520318132343E+000,4.3033270193770861E+000,1.8259520318132343E+000,2.1151571419086054E+001,1.4281380855559830E-001,-1.5403244147020343E+000
3.761,1.8145127914536532E+000,4.3397379327063659E+000,1.8145127914536532E+000,2.1562061153259314E+001,1.2865274744993027E-001,-1.5572072965537891E+000
3.781,1.8027477568041839E+000,4.3759169584669708E+000,1.8027477568041839E+000,2.1981073472032204E+001,1.1444952295095949E-001,-1.5738487109022610E+000
