"time","h","v","der(h)","der(v)","v_new","e","g","_D_whenCondition1"
0.27405,6.3192025916874561E-01,-2.6884305000000350E+00,-2.6884305000000350E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.274275,6.3131536230624563E-01,-2.6906377500000347E+00,-2.6906377500000347E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2745,6.3070996881249564E-01,-2.6928450000000344E+00,-2.6928450000000344E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.274725,6.3010407868749574E-01,-2.6950522500000340E+00,-2.6950522500000340E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27495,6.2949769193124583E-01,-2.6972595000000337E+00,-2.6972595000000337E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.275175,6.2889080854374591E-01,-2.6994667500000333E+00,-2.6994667500000333E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2754,6.2828342852499597E-01,-2.7016740000000330E+00,-2.7016740000000330E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.275625,6.2767555187499602E-01,-2.7038812500000327E+00,-2.7038812500000327E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27585,6.2706717859374606E-01,-2.7060885000000323E+00,-2.7060885000000323E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.276075,6.2645830868124608E-01,-2.7082957500000320E+00,-2.7082957500000320E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2763,6.2584894213749609E-01,-2.7105030000000316E+00,-2.7105030000000316E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.276525,6.2523907896249620E-01,-2.7127102500000313E+00,-2.7127102500000313E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27675,6.2462871915624629E-01,-2.7149175000000310E+00,-2.7149175000000310E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.276975,6.2401786271874637E-01,-2.7171247500000306E+00,-2.7171247500000306E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2772,6.2340650964999644E-01,-2.7193320000000303E+00,-2.7193320000000303E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.277425,6.2279465994999650E-01,-2.7215392500000299E+00,-2.7215392500000299E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27765,6.2218231361874654E-01,-2.7237465000000296E+00,-2.7237465000000296E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.277875,6.2156947065624657E-01,-2.7259537500000293E+00,-2.7259537500000293E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2781,6.2095613106249659E-01,-2.7281610000000289E+00,-2.7281610000000289E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.278325,6.2034229483749670E-01,-2.7303682500000286E+00,-2.7303682500000286E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27855,6.1972796198124680E-01,-2.7325755000000282E+00,-2.7325755000000282E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.278775,6.1911313249374689E-01,-2.7347827500000279E+00,-2.7347827500000279E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.279,6.1849780637499696E-01,-2.7369900000000276E+00,-2.7369900000000276E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.279225,6.1788198362499702E-01,-2.7391972500000272E+00,-2.7391972500000272E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27945,6.1726566424374707E-01,-2.7414045000000269E+00,-2.7414045000000269E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.279675,6.1664884823124710E-01,-2.7436117500000266E+00,-2.7436117500000266E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2799,6.1603153558749713E-01,-2.7458190000000262E+00,-2.7458190000000262E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.280125,6.1541372631249713E-01,-2.7480262500000259E+00,-2.7480262500000259E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28035,6.1479542040624724E-01,-2.7502335000000255E+00,-2.7502335000000255E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.280575,6.1417661786874733E-01,-2.7524407500000252E+00,-2.7524407500000252E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2808,6.1355731869999741E-01,-2.7546480000000249E+00,-2.7546480000000249E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.281025,6.1293752289999748E-01,-2.7568552500000245E+00,-2.7568552500000245E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28125,6.1231723046874753E-01,-2.7590625000000242E+00,-2.7590625000000242E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
