"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.0245,2.4399999999999906E+002,5.0870510095025401E+002,3.0549133499999812E+002,-1.0227752709999130E+002,-2.0321380780000686E+002
0.0246,2.4499999999999906E+002,5.0288967429692030E+002,3.0717107389999848E+002,-1.1145243229999140E+002,-1.9571864160000703E+002
0.0247,2.4599999999999906E+002,4.9657795627884082E+002,3.0854767209999869E+002,-1.2051734739999151E+002,-1.8803032470000718E+002
0.0248,2.4699999999999906E+002,4.8977617579508353E+002,3.0961977099999899E+002,-1.2946332639999162E+002,-1.8015644460000738E+002
0.0249,2.4799999999999906E+002,4.8249104524469135E+002,3.1038631249999929E+002,-1.3828154069999172E+002,-1.7210477180000754E+002
0.025,2.4899999999999906E+002,4.7472975442668434E+002,3.1084654029999956E+002,-1.4696328789999188E+002,-1.6388325240000771E+002
0.0251,2.4999999999999903E+002,4.6649997189337643E+002,3.1099999999999983E+002,-1.5549999999999170E+002,-1.5550000000000813E+002
0.0252,2.5099999999999903E+002,4.7472975473050104E+002,3.1084654030000019E+002,-1.6388325239999187E+002,-1.4696328790000831E+002
0.0253,2.5199999999999903E+002,4.8249104586230493E+002,3.1038631250000043E+002,-1.7210477179999202E+002,-1.3828154070000843E+002
0.0254,2.5299999999999903E+002,4.8977617673557575E+002,3.0961977100000075E+002,-1.8015644459999214E+002,-1.2946332640000855E+002
0.0255,2.5399999999999901E+002,4.9657795755039342E+002,3.0854767210000102E+002,-1.8803032469999235E+002,-1.2051734740000870E+002
0.0256,2.5499999999999903E+002,5.0288967590679943E+002,3.0717107390000132E+002,-1.9571864159999254E+002,-1.1145243230000879E+002
0.0257,2.5599999999999901E+002,5.0870510290479643E+002,3.0549133500000170E+002,-2.0321380779999248E+002,-1.0227752710000922E+002
0.0258,2.5699999999999898E+002,5.1401849944434946E+002,3.0351011300000204E+002,-2.1050842659999267E+002,-9.3001686390009340E+001
0.0259,2.5799999999999898E+002,5.1882462162538491E+002,3.0122936310000227E+002,-2.1759529889999286E+002,-8.3634064210009427E+001
0.026,2.5899999999999898E+002,5.2311872654779165E+002,2.9865133620000262E+002,-2.2446743089999308E+002,-7.4183905310009507E+001
0.0261,2.5999999999999903E+002,5.2689657661142132E+002,2.9577857660000285E+002,-2.3111804069999332E+002,-6.4660535840009587E+001
0.0262,2.6099999999999898E+002,5.3015444321608868E+002,2.9261391910000327E+002,-2.3754056489999331E+002,-5.5073354240009984E+001
0.0263,2.6199999999999898E+002,5.3288911146157216E+002,2.8916048710000359E+002,-2.4372866519999354E+002,-4.5431821880010034E+001
0.0264,2.6299999999999892E+002,5.3509788254761418E+002,2.8542168860000390E+002,-2.4967623479999384E+002,-3.5745453800010083E+001
0.0265,2.6399999999999898E+002,5.3677857647392091E+002,2.8140121330000414E+002,-2.5537740399999407E+002,-2.6023809280010116E+001
0.0266,2.6499999999999898E+002,5.3792953484016437E+002,2.7710302900000448E+002,-2.6082654659999429E+002,-1.6276482390010145E+001
0.0267,2.6599999999999892E+002,5.3854962174598165E+002,2.7253137750000479E+002,-2.6601828489999463E+002,-6.5130925840101614E+000
0.0268,2.6699999999999892E+002,5.3863822519097596E+002,2.6769077040000519E+002,-2.7094749529999473E+002,3.2567248599894927E+000
0.0269,2.6799999999999892E+002,5.3819525757471672E+002,2.6258598480000546E+002,-2.7560931309999501E+002,1.3023328309989495E+001
0.027,2.6899999999999892E+002,5.3722115639674143E+002,2.5722205860000582E+002,-2.7999913789999528E+002,2.2777079309989510E+001
0.0271,2.6999999999999892E+002,5.3571688275655447E+002,2.5160428530000601E+002,-2.8411263729999558E+002,3.2508352079989535E+001
0.0272,2.7099999999999892E+002,5.3368392115362985E+002,2.4573820880000630E+002,-2.8794575189999591E+002,4.2207543029989566E+001
0.0273,2.7199999999999892E+002,5.3112427798740964E+002,2.3962961850000659E+002,-2.9149469869999615E+002,5.1865080229989609E+001
0.0274,2.7299999999999886E+002,5.2804047935730716E+002,2.3328454270000705E+002,-2.9475597549999634E+002,6.1471432859989335E+001
0.0275,2.7399999999999886E+002,5.2443556836270477E+002,2.2670924310000731E+002,-2.9772636369999668E+002,7.1017120599989397E+001
0.0276,2.7499999999999892E+002,5.2031310290295778E+002,2.1991020890000755E+002,-3.0040293199999707E+002,8.0492723029989477E+001
0.0277,2.7599999999999886E+002,5.1567715117739237E+002,2.1289414990000779E+002,-3.0278303879999731E+002,8.9888888849989556E+001
0.0278,2.7699999999999892E+002,5.1053228838530896E+002,2.0566799010000801E+002,-3.0486433529999772E+002,9.9196345189989671E+001
0.0279,2.7799999999999886E+002,5.0488359182598055E+002,1.9823886080000824E+002,-3.0664476749999801E+002,1.0840590669998979E+002
0.028,2.7899999999999886E+002,4.9873663619865590E+002,1.9061409370000874E+002,-3.0812257839999830E+002,1.1750848469998957E+002
0.0281,2.7999999999999886E+002,4.9209748770255771E+002,1.8280121350000894E+002,-3.0929630949999864E+002,1.2649509599998972E+002
0.0282,2.8099999999999886E+002,4.8497269823688669E+002,1.7480793050000915E+002,-3.1016480239999896E+002,1.3535687189998984E+002
0.0283,2.8199999999999886E+002,4.7736929940081944E+002,1.6664213320000934E+002,-3.1072720019999940E+002,1.4408506689999001E+002
0.0284,2.8299999999999886E+002,4.6929479469351099E+002,1.5831188030000953E+002,-3.1098294769999973E+002,1.5267106739999016E+002
0.0285,2.8399999999999881E+002,4.7203815911625480E+002,1.4982539260001002E+002,-3.1093179260000011E+002,1.6110639989999004E+002
0.0286,2.8499999999999886E+002,4.7995649137484645E+002,1.4119104540001018E+002,-3.1057378530000040E+002,1.6938273989999024E+002
0.0287,2.8599999999999881E+002,4.8740116446977339E+002,1.3241735970001034E+002,-3.0990927920000081E+002,1.7749191949999042E+002
0.0288,2.8699999999999881E+002,4.9436483160117137E+002,1.2351299400001051E+002,-3.0893893010000113E+002,1.8542593609999065E+002
0.0289,2.8799999999999881E+002,5.0084062036914150E+002,1.1448673590001066E+002,-3.0766369560000146E+002,1.9317695969999085E+002
0.029,2.8899999999999886E+002,5.0682213977374977E+002,1.0534749320001077E+002,-3.0608483410000190E+002,2.0073734089999110E+002
0.0291,2.8999999999999875E+002,5.1230348691502729E+002,9.6104285250011216E+001,-3.0420390380000225E+002,2.0809961859999106E+002
0.0292,2.9099999999999875E+002,5.1727925249297152E+002,8.6766233980011336E+001,-3.0202276110000270E+002,2.1525652709999130E+002
0.0293,2.9199999999999881E+002,5.2174452580754462E+002,7.7342554910011444E+001,-2.9954355830000299E+002,2.2220100339999155E+002
0.0294,2.9299999999999881E+002,5.2569490025867572E+002,6.7842548070011546E+001,-2.9676874220000337E+002,2.2892619409999185E+002
