"Time [s]","heatCapacitor.T [K]","TAmb [K]","TDif [K]","TRes [K]"
1.87273534792311,298.446892618152,293.15,2,298.446892618152
1.87373534792311,298.446362955475,293.15,2,298.446362955475
1.87473534792311,298.445833345762,293.15,2,298.445833345762
1.87573534792311,298.445303789008,293.15,2,298.445303789008
1.87673534792311,298.444774285206,293.15,2,298.444774285206
1.87773534792311,298.444244834352,293.15,2,298.444244834352
1.87873534792311,298.443715436441,293.15,2,298.443715436441
1.87973534792311,298.443186091466,293.15,2,298.443186091466
1.88073534792311,298.442656799424,293.15,2,298.442656799424
1.88173534792311,298.442127560308,293.15,2,298.442127560308
1.88273534792311,298.441598374113,293.15,2,298.441598374113
1.8837353479231,298.441069240834,293.15,2,298.441069240834
1.8847353479231,298.440540160466,293.15,2,298.440540160466
1.8857353479231,298.440011133004,293.15,2,298.440011133004
1.8867353479231,298.439482158441,293.15,2,298.439482158441
1.8877353479231,298.438953236774,293.15,2,298.438953236774
1.8887353479231,298.438424367995,293.15,2,298.438424367995
1.8897353479231,298.437895552101,293.15,2,298.437895552101
1.8907353479231,298.437366789086,293.15,2,298.437366789086
1.8917353479231,298.436838078945,293.15,2,298.436838078945
1.8927353479231,298.436309421672,293.15,2,298.436309421672
1.8937353479231,298.435780817262,293.15,2,298.435780817262
1.8947353479231,298.43525226571,293.15,2,298.43525226571
1.8957353479231,298.434723767011,293.15,2,298.434723767011
1.8967353479231,298.434195321158,293.15,2,298.434195321158
1.8977353479231,298.433666928148,293.15,2,298.433666928148
1.8987353479231,298.433138587974,293.15,2,298.433138587974
1.8997353479231,298.432610300632,293.15,2,298.432610300632
1.9007353479231,298.432082066115,293.15,2,298.432082066115
1.9017353479231,298.43155388442,293.15,2,298.43155388442
1.9027353479231,298.43102575554,293.15,2,298.43102575554
1.9037353479231,298.43049767947,293.15,2,298.43049767947
1.9047353479231,298.429969656205,293.15,2,298.429969656205
1.9057353479231,298.42944168574,293.15,2,298.42944168574
1.9067353479231,298.42891376807,293.15,2,298.42891376807
1.9077353479231,298.428385903188,293.15,2,298.428385903188
1.9087353479231,298.427858091091,293.15,2,298.427858091091
1.9097353479231,298.427330331771,293.15,2,298.427330331771
1.9107353479231,298.426802625226,293.15,2,298.426802625226
1.9117353479231,298.426274971448,293.15,2,298.426274971448
1.9127353479231,298.425747370433,293.15,2,298.425747370433
1.9137353479231,298.425219822175,293.15,2,298.425219822175
1.9147353479231,298.42469232667,293.15,2,298.42469232667
1.9157353479231,298.424164883911,293.15,2,298.424164883911
1.9167353479231,298.423637493894,293.15,2,298.423637493894
1.9177353479231,298.423110156614,293.15,2,298.423110156614
1.9187353479231,298.422582872065,293.15,2,298.422582872065
1.9197353479231,298.422055640241,293.15,2,298.422055640241
1.9207353479231,298.421528461138,293.15,2,298.421528461138
1.9217353479231,298.42100133475,293.15,2,298.42100133475
1.9227353479231,298.420474261073,293.15,2,298.420474261073
