"time","spring_length_out"
4.39,9.3482126527179162E+02
4.4,9.2832918434087651E+02
4.41,9.2142479799085265E+02
4.42,9.1412761599413307E+02
4.43,9.0645814345648819E+02
4.44,8.9843782348787727E+02
4.45,8.9008897753012502E+02
4.46,8.8143474347561437E+02
4.47,8.7249901180387542E+02
4.48,8.6330635986475568E+02
4.49,8.5388198455506495E+02
4.5,8.4425163343083454E+02
4.51,8.3444153460090808E+02
4.52,8.2447832551000602E+02
4.53,8.1438898082366177E+02
4.54,8.0420073960085097E+02
4.55,7.9394090034340184E+02
4.56,7.8363727522059094E+02
4.57,7.7331759788420072E+02
4.58,7.6300942765090394E+02
4.59,7.5274021892049473E+02
4.6,7.4253724825490633E+02
4.61,7.3242754212783586E+02
4.62,7.2243780553581246E+02
4.63,7.1259376691240368E+02
4.64,7.0292137528417572E+02
4.65,6.9344619688614807E+02
4.66,6.8419297073516282E+02
4.67,6.7518577806513952E+02
4.68,6.6644797985219111E+02
4.69,6.5800215643028741E+02
4.7,6.4987004932005834E+02
4.71,6.4207250568636687E+02
4.72,6.3462942495388324E+02
4.73,6.2755970826149075E+02
4.74,6.2088121081809027E+02
4.75,6.1461069707435445E+02
4.76,6.0876379886641951E+02
4.77,6.0335497679122830E+02
4.78,5.9839748481283266E+02
4.79,5.9390333807956586E+02
4.8,5.8988328418839990E+02
4.81,5.8634677797248014E+02
4.82,5.8330195976011396E+02
4.83,5.8075563692234505E+02
4.84,5.7871326955755410E+02
4.85,5.7717895945122200E+02
4.86,5.7615544274455112E+02
4.87,5.7564408628092633E+02
4.88,5.7564488761327254E+02
4.89,5.7615647866252402E+02
4.9,5.7717613300771325E+02
4.91,5.7869977677855616E+02
4.92,5.8072200311187999E+02
4.93,5.8323609012384247E+02
4.94,5.8623402234064247E+02
4.95,5.8970651552135689E+02
4.96,5.9364304479766633E+02
4.97,5.9803187604658979E+02
4.98,6.0286010040395468E+02
4.99,6.0811367194374066E+02
5,6.1377744787078268E+02
5.01,6.1983523197254340E+02
5.02,6.2626982069103497E+02
5.03,6.3306305162331364E+02
5.04,6.4019585450676368E+02
5.05,6.4764830448458326E+02
5.06,6.5539967753133305E+02
5.07,6.6342850783496476E+02
5.08,6.7171264701896257E+02
5.09,6.8022932498155922E+02
5.1,6.8895521231353018E+02
5.11,6.9786648398147747E+02
5.12,7.0693888417733774E+02
5.13,7.1614779214045143E+02
5.14,7.2546828878216286E+02
5.15,7.3487522394557368E+02
5.16,7.4434344097704434E+02
5.17,7.5384715614556444E+02
5.18,7.6336089687378831E+02
5.19,7.7285926900381867E+02
5.2,7.8231698775866857E+02
5.21,7.9170894486620170E+02
5.22,8.0101027503163505E+02
5.23,8.1019642158312263E+02
5.24,8.1924378782749318E+02
5.25,8.2812846859635852E+02
5.26,8.3682701289660383E+02
5.27,8.4531672299896468E+02
5.28,8.5357551856831287E+02
5.29,8.6158199388155663E+02
5.3,8.6931547308558902E+02
5.31,8.7675606344757239E+02
5.32,8.8388470617269672E+02
5.33,8.9068322512830014E+02
5.34,8.9713437288886234E+02
5.35,9.0322187431284613E+02
5.36,9.0893046731023992E+02
5.37,9.1424594079171584E+02
5.38,9.1915516982207851E+02
5.39,9.2364614772499499E+02
5.4,9.2770801504230201E+02
5.41,9.3133108548968698E+02
5.42,9.3450686865639352E+02
5.43,9.3722808936680212E+02
5.44,9.3948870408860785E+02
5.45,9.4128391347808406E+02
5.46,9.4261017196735202E+02
5.47,9.4346519387456374E+02
5.48,9.4384795613838094E+02
5.49,9.4375869767845450E+02
5.5,9.4319891539261221E+02
5.51,9.4217135681039963E+02
5.52,9.4068000943147626E+02
5.53,9.3873008678614065E+02
5.54,9.3632801126389359E+02
5.55,9.3348139376444840E+02
5.56,9.3019901023391742E+02
5.57,9.2649077515705301E+02
5.58,9.2236771208433538E+02
5.59,9.1784192128041366E+02
5.6,9.1292654447062887E+02
5.61,9.0763572729523753E+02
5.62,9.0198457877358919E+02
5.63,8.9598912837660498E+02
5.64,8.8966628088505297E+02
5.65,8.8303376898215504E+02
5.66,8.7611010376169338E+02
5.67,8.6891452327846741E+02
5.68,8.6146693931960976E+02
5.69,8.5378788253450705E+02
5.7,8.4589844602770927E+02
5.71,8.3782022760707571E+02
5.72,8.2957527085435800E+02
5.73,8.2118600515946173E+02
5.74,8.1267518489074700E+02
5.75,8.0406582783514102E+02
5.76,7.9538113234446564E+02
5.77,7.8664436505075332E+02
5.78,7.7787930698939499E+02
5.79,7.6910940525306444E+02
5.8,7.6035805669160277E+02
5.81,7.5164854566269435E+02
5.82,7.4300398225016784E+02
5.83,7.3444724111339167E+02
5.84,7.2600090112911607E+02
5.85,7.1768661504705074E+02
5.86,7.0952637764349856E+02
5.87,7.0154170865195556E+02
5.88,6.9375343047858178E+02
5.89,6.8618178633223908E+02
5.9,6.7884638777776172E+02
5.91,6.7176616413779198E+02
5.92,6.6495931382606261E+02
5.93,6.5844325783724764E+02
5.94,6.5223459528869830E+02
5.95,6.4634906140193721E+02
5.96,6.4080148783036589E+02
5.97,6.3560576547611413E+02
5.98,6.3077481002825357E+02
5.99,6.2632053011730147E+02
6,6.2225379820232456E+02
6.01,6.1858442437041458E+02
6.02,6.1532113303823598E+02
6.03,6.1247154256763633E+02
6.04,6.1004214788068339E+02
6.05,6.0803830606339204E+02
6.06,6.0646422527757045E+02
6.07,6.0532295652930475E+02
6.08,6.0461638861980509E+02
6.09,6.0434524620866921E+02
6.1,6.0450909098642569E+02
6.11,6.0510632594493904E+02
6.12,6.0613420272602582E+02
6.13,6.0758883202048003E+02
6.14,6.0946519698164150E+02
6.15,6.1175716960970237E+02
6.16,6.1445753005513984E+02
6.17,6.1755798878201938E+02
6.18,6.2104921152444297E+02
6.19,6.2492084696214829E+02
6.2,6.2916155703421191E+02
6.21,6.3375904991236303E+02
6.22,6.3870011506454512E+02
6.23,6.4397066106114323E+02
6.24,6.4955575556195959E+02
6.25,6.5543966732471245E+02
6.26,6.6160591029489444E+02
6.27,6.6803728957200758E+02
6.28,6.7471594913147760E+02
6.29,6.8162342121079359E+02
6.3,6.8874067719151196E+02
6.31,6.9604817982863267E+02
6.32,7.0352593670107149E+02
6.33,7.1115355472887495E+02
6.34,7.1891029563671475E+02
6.35,7.2677513216241107E+02
6.36,7.3472680490147343E+02
6.37,7.4274396281572103E+02
6.38,7.5080495780958495E+02
6.39,7.5888797614819941E+02
6.4,7.6697140619127265E+02
6.41,7.7503369341458381E+02
6.42,7.8305339772847162E+02
6.43,7.9100925033679960E+02
6.44,7.9888020998603395E+02
6.45,8.0664551845609446E+02
