"time","revolute1.w","revolute2.w"
1.9561,-1.2520315167966050E+000,-2.4222832459645987E+000
1.9621,-1.4202595352053291E+000,-2.1984588654532220E+000
1.9681,-1.5888166145786082E+000,-1.9703106791936433E+000
1.9741,-1.7577861506343333E+000,-1.7369897812822297E+000
1.9801,-1.9272417909631558E+000,-1.4976588178260781E+000
1.9861,-2.0972503430280804E+000,-1.2514880452257167E+000
1.9921,-2.2678750773167677E+000,-9.9765102548518203E-001
1.9981,-2.4391794534957598E+000,-7.3531989049757907E-001
2.0041,-2.6112313008887544E+000,-4.6366008033427392E-001
2.0101,-2.7841074857946317E+000,-1.8182443892818489E-001
2.0161,-2.9578990972241326E+000,1.1105346553900371E-001
2.0221,-3.1327171793247901E+000,4.1586693709152961E-001
2.0281,-3.3086990323310346E+000,7.3354480495550567E-001
2.0341,-3.4860150927318250E+000,1.0650612540415378E+000
2.0401,-3.6648763845974264E+000,1.4114469078520933E+000
2.0461,-3.8455425026330592E+000,1.7738011486177940E+000
2.0521,-4.0283300350682198E+000,2.1533054979333617E+000
2.0581,-4.2136212469149239E+000,2.5512376043171927E+000
2.0641,-4.4018726984190089E+000,2.9689849213778965E+000
2.0701,-4.5936232322509598E+000,3.4080563984409147E+000
2.0761,-4.7895003657618300E+000,3.8700892637692106E+000
2.0821,-4.9902234751167800E+000,4.3568459723835948E+000
2.0881,-5.1966011049734826E+000,4.8701931683469963E+000
2.0941,-5.4095180489984092E+000,5.4120493936427616E+000
2.1,-5.6261657891931973E+000,5.9744848434902398E+000
2.106,-5.8547946601938037E+000,6.5781681902616231E+000
2.112,-6.0926025975082654E+000,7.2148878486962511E+000
2.118,-6.3401072631043318E+000,7.8846057986476454E+000
2.124,-6.5972607656389961E+000,8.5853331778147481E+000
2.13,-6.8630258869651897E+000,9.3118478347277271E+000
2.136,-7.1347737641157032E+000,1.0053886105420361E+001
2.142,-7.4075178797564813E+000,1.0793862300999123E+001
2.148,-7.6731259178831692E+000,1.1504552797232304E+001
2.154,-7.9198849921766987E+000,1.2147884594148577E+001
2.16,-8.1330655848173379E+000,1.2676773283103879E+001
2.166,-8.2971355592235856E+000,1.3041960941223364E+001
2.172,-8.3995683732202480E+000,1.3203664348339609E+001
2.178,-8.4348124310285861E+000,1.3143695939010817E+001
2.184,-8.4061480333533964E+000,1.2871192502627695E+001
2.19,-8.3242148015228370E+000,1.2418264738105357E+001
2.196,-8.2032526858623633E+000,1.1828685728860508E+001
2.202,-8.0572804141423120E+000,1.1146310686699751E+001
2.208,-7.8977190987096497E+000,1.0407793678977455E+001
2.214,-7.7326264516235295E+000,9.6401393376886801E+000
2.22,-7.5669635213312203E+000,8.8613795875281181E+000
2.226,-7.4032728626466602E+000,8.0825175100516589E+000
2.232,-7.2423870240538255E+000,7.3095887693287267E+000
2.238,-7.0840104991973112E+000,6.5453599379154914E+000
2.244,-6.9271459978188554E+000,5.7905669123019585E+000
2.25,-6.7703877357996900E+000,5.0447545992990959E+000
2.256,-6.6121164244546584E+000,4.3068176247227452E+000
2.262,-6.4506268383389038E+000,3.5753326307902977E+000
2.268,-6.2842110116219496E+000,2.8487509502548773E+000
2.274,-6.1112127854077718E+000,2.1254997270329001E+000
2.28,-5.9300638248459974E+000,1.4040236447706329E+000
2.286,-5.7393073302815321E+000,6.8278833599753830E-001
2.292,-5.5376131293024171E+000,-3.9740754001457247E-002
2.298,-5.3237862997645218E+000,-7.6513484462721781E-001
2.304,-5.0967706711938190E+000,-1.4950470736547445E+000
2.31,-4.8556483195574920E+000,-2.2312611546271204E+000
2.316,-4.5996364413632129E+000,-2.9757379959106345E+000
2.322,-4.3280837985929921E+000,-3.7306533866245535E+000
2.328,-4.0404704138514225E+000,-4.4984165376153102E+000
2.334,-3.7364166704424964E+000,-5.2816531217093514E+000
2.34,-3.4157119599603849E+000,-6.0831258496604947E+000
2.346,-3.0783793296964888E+000,-6.9055480193225556E+000
2.352,-2.7248022907899450E+000,-7.7512174540064489E+000
2.358,-2.3559540447207103E+000,-8.6213563849357708E+000
