"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.0138,1.0000000000000000E+000,5.3508722149504354E+002,-2.8542168859999884E+002,3.5745453799997307E+001,2.4967623480000159E+002
0.0139,1.0000000000000000E+000,5.3287849457024481E+002,-2.8916048709999899E+002,4.5431821879997308E+001,2.4372866520000164E+002
0.014,1.0000000000000000E+000,5.3014388096333744E+002,-2.9261391909999901E+002,5.5073354239997329E+001,2.3754056490000170E+002
0.0141,1.0000000000000000E+000,5.2688607942034582E+002,-2.9577857659999910E+002,6.4660535839997166E+001,2.3111804070000187E+002
0.0142,1.0000000000000000E+000,5.2310830477697220E+002,-2.9865133619999915E+002,7.4183905309997201E+001,2.2446743090000197E+002
0.0143,1.0000000000000000E+000,5.1881428555864500E+002,-3.0122936309999920E+002,8.3634064209997064E+001,2.1759529890000215E+002
0.0144,1.0000000000000000E+000,5.1400825928061261E+002,-3.0351011299999925E+002,9.3001686389997076E+001,2.1050842660000222E+002
0.0145,1.0000000000000000E+000,5.0869496874801735E+002,-3.0549133499999942E+002,1.0227752709999710E+002,2.0321380780000229E+002
0.0146,1.0000000000000000E+000,5.0287965775598207E+002,-3.0717107389999944E+002,1.1145243229999697E+002,1.9571864160000248E+002
0.0147,1.0000000000000000E+000,4.9656806528972498E+002,-3.0854767209999955E+002,1.2051734739999702E+002,1.8803032470000252E+002
0.0148,1.0000000000000000E+000,4.8976642012466908E+002,-3.0961977099999967E+002,1.2946332639999707E+002,1.8015644460000260E+002
0.0149,1.0000000000000000E+000,4.8248143452656672E+002,-3.1038631249999975E+002,1.3828154069999692E+002,1.7210477180000279E+002
0.015,1.0000000000000000E+000,4.7472029815162284E+002,-3.1084654029999984E+002,1.4696328789999700E+002,1.6388325240000285E+002
0.0151,1.0000000000000000E+000,4.6649300248833862E+002,-3.1099999999999994E+002,1.5549999999999704E+002,1.5550000000000293E+002
0.0152,1.0000000000000000E+000,4.7472029815161687E+002,-3.1084654030000007E+002,1.6388325239999696E+002,1.4696328790000311E+002
0.0153,1.0000000000000000E+000,4.8248143452656115E+002,-3.1038631250000014E+002,1.7210477179999700E+002,1.3828154070000318E+002
0.0154,1.0000000000000000E+000,4.8976642012466385E+002,-3.0961977100000030E+002,1.8015644459999706E+002,1.2946332640000321E+002
0.0155,1.0000000000000000E+000,4.9656806528972010E+002,-3.0854767210000040E+002,1.8803032469999701E+002,1.2051734740000342E+002
0.0156,1.0000000000000000E+000,5.0287965775597741E+002,-3.0717107390000052E+002,1.9571864159999708E+002,1.1145243230000345E+002
0.0157,1.0000000000000000E+000,5.0869496874801331E+002,-3.0549133500000067E+002,2.0321380779999714E+002,1.0227752710000351E+002
0.0158,1.0000000000000000E+000,5.1400825928060874E+002,-3.0351011300000073E+002,2.1050842659999722E+002,9.3001686390003542E+001
0.0159,1.0000000000000000E+000,5.1881428555864136E+002,-3.0122936310000097E+002,2.1759529889999706E+002,8.3634064210003913E+001
0.016,1.0000000000000000E+000,5.2310830477696902E+002,-2.9865133620000108E+002,2.2446743089999714E+002,7.4183905310003937E+001
0.0161,1.0000000000000000E+000,5.2688607942034309E+002,-2.9577857660000120E+002,2.3111804069999721E+002,6.4660535840003959E+001
0.0162,1.0000000000000000E+000,5.3014388096333505E+002,-2.9261391910000128E+002,2.3754056489999732E+002,5.5073354240003994E+001
0.0163,1.0000000000000000E+000,5.3287849457024276E+002,-2.8916048710000143E+002,2.4372866519999744E+002,4.5431821880004016E+001
0.0164,1.0000000000000000E+000,5.3508722149504183E+002,-2.8542168860000157E+002,2.4967623479999753E+002,3.5745453800004036E+001
0.0165,1.0000000000000000E+000,5.3676788178133211E+002,-2.8140121330000176E+002,2.5537740399999745E+002,2.6023809280004382E+001
0.0166,1.0000000000000000E+000,5.3791881706228151E+002,-2.7710302900000192E+002,2.6082654659999753E+002,1.6276482390004396E+001
0.0167,1.0000000000000000E+000,5.3853889146060772E+002,-2.7253137750000207E+002,2.6601828489999770E+002,6.5130925840044034E+000
0.0168,1.0000000000000000E+000,5.3862749298855090E+002,-2.6769077040000224E+002,2.7094749529999780E+002,-3.2567248599955927E+000
0.0169,1.0000000000000000E+000,5.3818453404786283E+002,-2.6258598480000228E+002,2.7560931309999791E+002,-1.3023328309995595E+001
0.017,1.0000000000000000E+000,5.3721045212979345E+002,-2.5722205860000247E+002,2.7999913789999800E+002,-2.2777079309995603E+001
0.0171,1.0000000000000000E+000,5.3570620831512133E+002,-2.5160428530000272E+002,2.8411263729999803E+002,-3.2508352079995277E+001
0.0172,1.0000000000000000E+000,5.3367328707415618E+002,-2.4573820880000284E+002,2.8794575189999819E+002,-4.2207543029995286E+001
0.0173,1.0000000000000000E+000,5.3111369476677078E+002,-2.3962961850000298E+002,2.9149469869999825E+002,-5.1865080229995307E+001
0.0174,1.0000000000000000E+000,5.2802995744244242E+002,-2.3328454270000307E+002,2.9475597549999839E+002,-6.1471432859995332E+001
0.0175,1.0000000000000000E+000,5.2442511814031036E+002,-2.2670924310000322E+002,2.9772636369999856E+002,-7.1017120599995366E+001
0.0176,1.0000000000000000E+000,5.2030273468921644E+002,-2.1991020890000354E+002,3.0040293199999860E+002,-8.0492723029995062E+001
0.0177,1.0000000000000000E+000,5.1566687520779703E+002,-2.1289414990000364E+002,3.0278303879999879E+002,-8.9888888849995112E+001
0.0178,1.0000000000000000E+000,5.1052211480454889E+002,-2.0566799010000378E+002,3.0486433529999891E+002,-9.9196345189995156E+001
0.0179,1.0000000000000000E+000,5.0487353067792628E+002,-1.9823886080000386E+002,3.0664476749999903E+002,-1.0840590669999521E+002
0.018,1.0000000000000000E+000,4.9872669741643585E+002,-1.9061409370000396E+002,3.0812257839999927E+002,-1.1750848469999525E+002
0.0181,1.0000000000000000E+000,4.9208768109875416E+002,-1.8280121350000405E+002,3.0929630949999938E+002,-1.2649509599999533E+002
0.0182,1.0000000000000000E+000,4.8496303349384402E+002,-1.7480793050000443E+002,3.1016480239999947E+002,-1.3535687189999507E+002
0.0183,1.0000000000000000E+000,4.7735978606107415E+002,-1.6664213320000451E+002,3.1072720019999974E+002,-1.4408506689999516E+002
0.0184,1.0000000000000000E+000,4.6928544215037476E+002,-1.5831188030000465E+002,3.1098294769999984E+002,-1.5267106739999522E+002
0.0185,1.0000000000000000E+000,4.7202875178335012E+002,-1.4982539260000470E+002,3.1093179260000005E+002,-1.6110639989999532E+002
0.0186,1.0000000000000000E+000,4.7994692611748815E+002,-1.4119104540000478E+002,3.1057378530000017E+002,-1.6938273989999541E+002
0.0187,1.0000000000000000E+000,4.8739145072476293E+002,-1.3241735970000488E+002,3.0990927920000041E+002,-1.7749191949999548E+002
0.0188,1.0000000000000000E+000,4.9435497895210926E+002,-1.2351299400000525E+002,3.0893893010000056E+002,-1.8542593609999531E+002
0.0189,1.0000000000000000E+000,5.0083063853697513E+002,-1.1448673590000533E+002,3.0766369560000072E+002,-1.9317695969999542E+002
0.019,1.0000000000000000E+000,5.0681203860717972E+002,-1.0534749320000539E+002,3.0608483410000099E+002,-2.0073734089999553E+002
0.0191,1.0000000000000000E+000,5.1229327638078007E+002,-9.6104285250005461E+001,3.0420390380000106E+002,-2.0809961859999567E+002
0.0192,1.0000000000000000E+000,5.1726894266596196E+002,-8.6766233980005509E+001,3.0202276110000133E+002,-2.1525652709999579E+002
0.0193,1.0000000000000000E+000,5.2173412686093889E+002,-7.7342554910005560E+001,2.9954355830000145E+002,-2.2220100339999587E+002
0.0194,1.0000000000000000E+000,5.2568442245384222E+002,-6.7842548070005947E+001,2.9676874220000178E+002,-2.2892619409999580E+002
0.0195,1.0000000000000000E+000,5.2911593092264354E+002,-5.8275588840005973E+001,2.9370105110000185E+002,-2.3542546229999593E+002
0.0196,1.0000000000000000E+000,5.3202526593507082E+002,-4.8651118630006010E+001,2.9034351260000210E+002,-2.4169239399999609E+002
0.0197,1.0000000000000000E+000,5.3440955624854962E+002,-3.8978635640006040E+001,2.8669944010000228E+002,-2.4772080449999626E+002
0.0198,1.0000000000000000E+000,5.3626644891013950E+002,-2.9267685440006066E+001,2.8277242990000246E+002,-2.5350474449999638E+002
0.0199,1.0000000000000000E+000,5.3759411125649467E+002,-1.9527851570006419E+001,2.7856635740000280E+002,-2.5903850589999638E+002
0.02,1.0000000000000000E+000,5.3839123311381888E+002,-9.7687460730064348E+000,2.7408537360000298E+002,-2.6431662749999651E+002
0.0201,1.0000000000000000E+000,5.3865702789784370E+002,-1.2870050068938311E-011,2.6933390060000312E+002,-2.6933390059999664E+002
0.0202,1.0000000000000000E+000,5.3839123311381957E+002,9.7687460729935616E+000,2.6431662750000334E+002,-2.7408537359999690E+002
0.0203,1.0000000000000000E+000,5.3759411125649592E+002,1.9527851569993565E+001,2.5903850590000349E+002,-2.7856635739999706E+002
0.0204,1.0000000000000000E+000,5.3626644891014166E+002,2.9267685439993581E+001,2.5350474450000362E+002,-2.8277242989999729E+002
0.0205,1.0000000000000000E+000,5.3440955624855224E+002,3.8978635639993257E+001,2.4772080450000402E+002,-2.8669944009999728E+002
0.0206,1.0000000000000000E+000,5.3202526593507423E+002,4.8651118629993292E+001,2.4169239400000419E+002,-2.9034351259999750E+002
0.0207,1.0000000000000000E+000,5.2911593092264764E+002,5.8275588839993318E+001,2.3542546230000434E+002,-2.9370105109999764E+002
0.0208,1.0000000000000000E+000,5.2568442245384688E+002,6.7842548069993356E+001,2.2892619410000452E+002,-2.9676874219999786E+002
0.0209,1.0000000000000000E+000,5.2173412686094412E+002,7.7342554909993424E+001,2.2220100340000465E+002,-2.9954355829999804E+002
0.021,1.0000000000000000E+000,5.1726894266596810E+002,8.6766233979993444E+001,2.1525652710000483E+002,-3.0202276109999832E+002
0.0211,1.0000000000000000E+000,5.1229327638078701E+002,9.6104285249993197E+001,2.0809961860000524E+002,-3.0420390379999839E+002
0.0212,1.0000000000000000E+000,5.0681203860718716E+002,1.0534749319999327E+002,2.0073734090000536E+002,-3.0608483409999860E+002
0.0213,1.0000000000000000E+000,5.0083063853698337E+002,1.1448673589999335E+002,1.9317695970000551E+002,-3.0766369559999885E+002
0.0214,1.0000000000000000E+000,4.9435497895211813E+002,1.2351299399999343E+002,1.8542593610000563E+002,-3.0893893009999908E+002
