"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6"
3.861,1.7528549442842034E+000,5.0570534663964994E-001,4.5181864761993600E+000,1.7528549442842034E+000,2.3780005219008959E+001,5.7868250041774538E-002,-1.6371184442006537E+000
3.881,1.7395415264243281E+000,4.7907851091989923E-001,4.5531109383918871E+000,1.7395415264243281E+000,2.4245318015734252E+001,4.3540722584267187E-002,-1.6524600812557928E+000
3.901,1.7259323018143058E+000,4.5186006169985454E-001,4.5877661651851414E+000,1.7259323018143058E+000,2.4720302689913986E+001,2.9204039747655737E-002,-1.6675242223189932E+000
3.921,1.7120327139625264E+000,4.2406088599629604E-001,4.6221462946838052E+000,1.7120327139625264E+000,2.5205160547515252E+001,1.4863772448433879E-002,-1.6823051690656576E+000
3.941,1.6978483225188057E+000,3.9569210310885444E-001,4.6562455750278122E+000,1.6978483225188057E+000,2.5700096850016205E+001,5.2549627564634199E-004,-1.6967973299675121E+000
3.961,1.6833848010505983E+000,3.6676506017243932E-001,4.6900583666930133E+000,1.6833848010505983E+000,2.6205320891988766E+001,-1.3805210803405183E-002,-1.7109952226574077E+000
3.981,1.6686479347736467E+000,3.3729132761853647E-001,4.7235791447469095E+000,1.6686479347736467E+000,2.6721046080294027E+001,-2.8122770737137495E-002,-1.7248934762479209E+000
4.001,1.6536436182379732E+000,3.0728269454718959E-001,4.7568025010585542E+000,1.6536436182379732E+000,2.7247490014923741E+001,-4.2421607682450284E-002,-1.7384868336028729E+000
4.021,1.6383778529701372E+000,2.7675116401151745E-001,4.7897231464617320E+000,1.6383778529701372E+000,2.7784874571522170E+001,-5.6696150295387028E-002,-1.7517701535609105E+000
4.041,1.6228567450727047E+000,2.4570894821665271E-001,4.8223359128705541E+000,1.6228567450727047E+000,2.8333425985623009E+001,-7.0940834018800331E-002,-1.7647384131103045E+000
4.061,1.6070865027818897E+000,2.1416846363502257E-001,4.8546357553466253E+000,1.6070865027818897E+000,2.8893374938636914E+001,-8.5150103366130339E-002,-1.7773867095141496E+000
4.081,1.5910734339843413E+000,1.8214232603992550E-001,4.8866177541169504E+000,1.5910734339843413E+000,2.9464956645625893E+001,-9.9318414200406074E-002,-1.7897102623851524E+000
4.101,1.5748239436940736E+000,1.4964334545939009E-001,4.9182771165417805E+000,1.5748239436940736E+000,3.0048410944901377E+001,-1.1344023600758059E-001,-1.8017044157092339E+000
4.121,1.5583445314905460E+000,1.1668452105233459E-001,4.9496091790316008E+000,1.5583445314905460E+000,3.0643982389483686E+001,-1.2751005416331329E-001,-1.8133646398171717E+000
4.141,1.5416417889189171E+000,8.3279035909076690E-002,4.9806094089125077E+000,1.5416417889189171E+000,3.1251920340461208E+001,-1.4152237219231434E-001,-1.8246865333035447E+000
4.161,1.5247223968535155E+000,4.9440251778273159E-002,5.0112734062392166E+000,1.5247223968535155E+000,3.1872479062288470E+001,-1.5547171401936902E-001,-1.8356658248922524E+000
4.181,1.5075931228255783E+000,1.5181703722398538E-002,5.0415969055549823E+000,1.5075931228255783E+000,3.2505917820062983E+001,-1.6935262621116259E-001,-1.8462983752479023E+000
4.201,1.4902608183163295E+000,0.0000000000000000E+000,5.0715757775977224E+000,1.4902608183163295E+000,3.3152500978821543E+001,-1.8315968020802953E-001,-1.8565801787323872E+000
4.221,1.4727324160164783E+000,0.0000000000000000E+000,5.1012060309516691E+000,1.4727324160164783E+000,3.3812498104897394E+001,-1.9688747454475472E-001,-1.8665073651059862E+000
4.241,1.4550149270532360E+000,0.0000000000000000E+000,5.1304838136438837E+000,1.4550149270532360E+000,3.4486184069380819E+001,-2.1053063705955813E-001,-1.8760762011723506E+000
4.261,1.4371154381859577E+000,0.0000000000000000E+000,5.1594054146849908E+000,1.4371154381859577E+000,3.5173839153725908E+001,-2.2408382709039859E-001,-1.8852830923667532E+000
4.281,1.4190411089715336E+000,0.0000000000000000E+000,5.1879672655535272E+000,1.4190411089715336E+000,3.5875749157547787E+001,-2.3754173765773737E-001,-1.8941245842870065E+000
4.301,1.4007991689006616E+000,0.0000000000000000E+000,5.2161659416233030E+000,1.4007991689006616E+000,3.6592205508655042E+001,-2.5089909763290708E-001,-1.9025973641664742E+000
4.321,1.3823969145061477E+000,0.0000000000000000E+000,5.2439981635332025E+000,1.3823969145061477E+000,3.7323505375363084E+001,-2.6415067389123692E-001,-1.9106982622886199E+000
4.341,1.3638417064443893E+000,0.0000000000000000E+000,5.2714607984988913E+000,1.3638417064443893E+000,3.8069951781135039E+001,-2.7729127344909044E-001,-1.9184242533425686E+000
4.361,1.3451409665512117E+000,0.0000000000000000E+000,5.2985508615658832E+000,1.3451409665512117E+000,3.8831853721597817E+001,-2.9031574558397960E-001,-1.9257724577191693E+000
4.381,1.3263021748732324E+000,0.0000000000000000E+000,5.3252655168034844E+000,1.3263021748732324E+000,3.9609526283981729E+001,-3.0321898393692309E-001,-1.9327401427470770E+000
4.401,1.3073328666759418E+000,0.0000000000000000E+000,5.3516020784391278E+000,1.3073328666759418E+000,4.0403290769033219E+001,-3.1599592859622594E-001,-1.9393247238683924E+000
4.421,1.2882406294296984E+000,0.0000000000000000E+000,5.3775580119326456E+000,1.2882406294296984E+000,4.1213474815450972E+001,-3.2864156816186241E-001,-1.9455237657534219E+000
4.441,1.2690330997748409E+000,0.0000000000000000E+000,5.4031309349900507E+000,1.2690330997748409E+000,4.2040412526896993E+001,-3.4115094178965388E-001,-1.9513349833541471E+000
4.461,1.2497179604671342E+000,0.0000000000000000E+000,5.4283186185164256E+000,1.2497179604671342E+000,4.2884444601634897E+001,-3.5351914121443861E-001,-1.9567562428960095E+000
4.481,1.2303029373047696E+000,0.0000000000000000E+000,5.4531189875075281E+000,1.2303029373047696E+000,4.3745918464849048E+001,-3.6574131275144073E-001,-1.9617855628076488E+000
4.501,1.2107957960381481E+000,0.0000000000000000E+000,5.4775301218797656E+000,1.2107957960381481E+000,4.4625188403698928E+001,-3.7781265927505270E-001,-1.9664211145882518E+000
4.521,1.1912043392636853E+000,0.0000000000000000E+000,5.5015502572382031E+000,1.1912043392636853E+000,4.5522615705164341E+001,-3.8972844217425490E-001,-1.9706612236121932E+000
4.541,1.1715364033028748E+000,0.0000000000000000E+000,5.5251777855822999E+000,1.1715364033028748E+000,4.6438568796738245E+001,-4.0148398328390472E-001,-1.9745043698706823E+000
4.561,1.1517998550678652E+000,0.0000000000000000E+000,5.5484112559490830E+000,1.1517998550678652E+000,4.7373423390024911E+001,-4.1307466679113691E-001,-1.9779491886501370E+000
4.581,1.1320025889148000E+000,0.0000000000000000E+000,5.5712493749935188E+000,1.1320025889148000E+000,4.8327562627302441E+001,-4.2449594111612721E-001,-1.9809944711470524E+000
4.601,1.1121525234861804E+000,0.0000000000000000E+000,5.5936910075058304E+000,1.1121525234861804E+000,4.9301377231109647E+001,-4.3574332076648031E-001,-1.9836391650191390E+000
4.621,1.0922575985435139E+000,0.0000000000000000E+000,5.6157351768655683E+000,1.0922575985435139E+000,5.0295265656918758E+001,-4.4681238816451424E-001,-1.9858823748725405E+000
4.641,1.0723257717915156E+000,0.0000000000000000E+000,5.6373810654322423E+000,1.0723257717915156E+000,5.1309634248956328E+001,-4.5769879544672309E-001,-1.9877233626849597E+000
4.661,1.0523650156951319E+000,0.0000000000000000E+000,5.6586280148723720E+000,1.0523650156951319E+000,5.2344897399236224E+001,-4.6839826623471198E-001,-1.9891615481645539E+000
4.681,1.0323833142906613E+000,0.0000000000000000E+000,5.6794755264228067E+000,1.0323833142906613E+000,5.3401477709869624E+001,-4.7890659737690827E-001,-1.9901965090444760E+000
4.701,1.0123886599922469E+000,0.0000000000000000E+000,5.6999232610902260E+000,1.0123886599922469E+000,5.4479806158718318E+001,-4.8921966066036460E-001,-1.9908279813129743E+000
4.721,9.9238905039501613E-001,0.0000000000000000E+000,5.7199710397867332E+000,9.9238905039501613E-001,5.5580322268459064E+001,-4.9933340449198199E-001,-1.9910558593789784E+000
4.741,9.7239248507614984E-001,0.0000000000000000E+000,5.7396188434014865E+000,9.7239248507614984E-001,5.6703474279127818E+001,-5.0924385554849183E-001,-1.9908801961731317E+000
4.761,9.5240696239515832E-001,0.0000000000000000E+000,5.7588668128083436E+000,9.5240696239515832E-001,5.7849719324214249E+001,-5.1894712039454893E-001,-1.9903012031842544E+000
4.781,9.3244047629464388E-001,0.0000000000000000E+000,5.7777152488095149E+000,9.3244047629464388E-001,5.9019523610378208E+001,-5.2843938706829985E-001,-1.9893192504312420E+000
4.801,9.1250101310283049E-001,0.0000000000000000E+000,5.7961646120152466E+000,9.1250101310283049E-001,6.0213362600861309E+001,-5.3771692663380377E-001,-1.9879348663704364E+000
4.821,8.9259654833913882E-001,0.0000000000000000E+000,5.8142155226595822E+000,8.9259654833913882E-001,6.1431721202668328E+001,-5.4677609469969546E-001,-1.9861487377385281E+000
4.841,8.7273504352408515E-001,0.0000000000000000E+000,5.8318687603522745E+000,8.7273504352408515E-001,6.2675093957594292E+001,-5.5561333290349468E-001,-1.9839617093310731E+000
4.861,8.5292444299477888E-001,0.0000000000000000E+000,5.8491252637669584E+000,8.5292444299477888E-001,6.3943985237175013E+001,-5.6422517036097819E-001,-1.9813747837167337E+000
4.881,8.3317267072729395E-001,0.0000000000000000E+000,5.8659861302656875E+000,8.3317267072729395E-001,6.5238909441640146E+001,-5.7260822508004505E-001,-1.9783891208873825E+000
4.901,8.1348762716718392E-001,0.0000000000000000E+000,5.8824526154600081E+000,8.1348762716718392E-001,6.6560391202949532E+001,-5.8075920533852055E-001,-1.9750060378442233E+000
4.921,7.9387718606940905E-001,0.0000000000000000E+000,5.8985261327087306E+000,7.9387718606940905E-001,6.7908965591994928E+001,-5.8867491102535729E-001,-1.9712270081201222E+000
4.941,7.7434919134893931E-001,0.0000000000000000E+000,5.9142082525526014E+000,7.7434919134893931E-001,6.9285178330051423E+001,-5.9635223494470657E-001,-1.9670536612383511E+000
4.961,7.5491145394329329E-001,0.0000000000000000E+000,5.9295007020861128E+000,7.5491145394329329E-001,7.0689586004563765E+001,-6.0378816408234859E-001,-1.9624877821079889E+000
4.981,7.3557174868826669E-001,0.0000000000000000E+000,5.9444053642666850E+000,7.3557174868826669E-001,7.2122756289355252E+001,-6.1097978083398374E-001,-1.9575313103562326E+000
5,7.1633781120810236E-001,0.0000000000000000E+000,5.9589242771615085E+000,7.1633781120810236E-001,7.3585268169348112E+001,-6.1792426419490354E-001,-1.9521863395979082E+000
5.02,6.9721733482134329E-001,0.0000000000000000E+000,5.9730596331323449E+000,6.9721733482134329E-001,7.5077712169886013E+001,-6.2461889091057421E-001,-1.9464551166424902E+000
5.04,6.7821796746360774E-001,0.0000000000000000E+000,5.9868137779586128E+000,6.7821796746360774E-001,7.6600690590751839E+001,-6.3106103658768120E-001,-1.9403400406389688E+000
5.06,6.5934730862851731E-001,0.0000000000000000E+000,6.0001892098991041E+000,6.5934730862851731E-001,7.8154817744974565E+001,-6.3724817676519963E-001,-1.9338436621589152E+000
5.08,6.4061290632800072E-001,0.0000000000000000E+000,6.0131885786927164E+000,6.4061290632800072E-001,7.9740720202522368E+001,-6.4317788794507003E-001,-1.9269686822181396E+000
5.1,6.2202225407318945E-001,0.0000000000000000E+000,6.0258146844985916E+000,6.2202225407318945E-001,8.1359037038979423E+001,-6.4884784858207667E-001,-1.9197179512373417E+000
5.12,6.0358278787711328E-001,0.0000000000000000E+000,6.0380704767760900E+000,6.0358278787711328E-001,8.3010420089307416E+001,-6.5425584003253878E-001,-1.9120944679421896E+000
5.14,5.8530188328039445E-001,0.0000000000000000E+000,6.0499590531050451E+000,5.8530188328039445E-001,8.4695534206793582E+001,-6.5939974746144547E-001,-1.9041013782032841E+000
5.16,5.6718685240112954E-001,0.0000000000000000E+000,6.0614836579467761E+000,5.6718685240112954E-001,8.6415057527289605E+001,-6.6427756070767807E-001,-1.8957419738164842E+000
5.18,5.4924494101013965E-001,0.0000000000000000E+000,6.0726476813463410E+000,5.4924494101013965E-001,8.8169681738848013E+001,-6.6888737510698137E-001,-1.8870196912241011E+000
5.2,5.3148332563275891E-001,0.0000000000000000E+000,6.0834546575765698E+000,5.3148332563275891E-001,8.9960112356864201E+001,-6.7322739227236339E-001,-1.8779381101774844E+000
5.22,5.1390911067831990E-001,0.0000000000000000E+000,6.0939082637243978E+000,5.1390911067831990E-001,9.1787069004835175E+001,-6.7729592083161727E-001,-1.8685009523415528E+000
5.24,4.9652932559848467E-001,0.0000000000000000E+000,6.1040123182200823E+000,4.9652932559848467E-001,9.3651285700847481E+001,-6.8109137712167911E-001,-1.8587120798418413E+000
5.26,4.7935092207555768E-001,0.0000000000000000E+000,6.1137707793098803E+000,4.7935092207555768E-001,9.5553511149909923E+001,-6.8461228583955036E-001,-1.8485754937546570E+000
5.28,4.6238077124190591E-001,0.0000000000000000E+000,6.1231877434728057E+000,4.6238077124190591E-001,9.7494509042248040E+001,-6.8785728064953156E-001,-1.8380953325409675E+000
