"time","J1.w","J2.w","J3.w","J4.w"
0.2431,7.8561956859746278E+000,2.3936572325653453E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2461,7.8571529328292131E+000,2.4222583808677811E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2491,7.8584898165954566E+000,2.4508251935792646E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2521,7.8599413159440612E+000,2.4793572647021556E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2551,7.8612417000847570E+000,2.5078541887325674E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2581,7.8621268910051247E+000,2.5363155606661323E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2611,7.8623368110348046E+000,2.5647409760037547E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2641,7.8616176948979444E+000,2.5931300307573619E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2671,7.8597243457318298E+000,2.6214823214556473E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2701,7.8564223150471015E+000,2.6497974451498036E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2731,7.8514899872800177E+000,2.6780749994192465E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2761,7.8447205504340829E+000,2.7063145823773382E+000,2.1783927876267834E-034,0.0000000000000000E+000
0.2791,7.8359238353194351E+000,2.7345157926770947E+000,1.9393648513553536E-034,0.0000000000000000E+000
0.2821,7.8249280070647087E+000,2.7626782295168946E+000,1.9465175133615548E-034,0.0000000000000000E+000
0.2851,7.8115810938873835E+000,2.7908014926461715E+000,1.7182945840430806E-034,0.0000000000000000E+000
0.2881,7.7957523395530322E+000,2.8188851823711074E+000,1.7154062430267382E-034,0.0000000000000000E+000
0.2911,7.7773333675189456E+000,2.8469288995603073E+000,1.4871829907255021E-034,0.0000000000000000E+000
0.2941,7.7562391464290510E+000,2.8749322456504749E+000,1.7146324873101566E-034,0.0000000000000000E+000
0.2971,7.7324087483902595E+000,2.9028948226520765E+000,1.7146357584611772E-034,0.0000000000000000E+000
0.3001,7.7058058932996758E+000,2.9308162331549972E+000,1.6507785210582697E-034,0.0000000000000000E+000
0.3031,7.6764192743911579E+000,2.9586960803341920E+000,3.1451718308816576E-034,0.0000000000000000E+000
0.3061,7.6442626621115881E+000,2.9865339679553156E+000,3.0897591271802889E-034,0.0000000000000000E+000
